"","taxa","diversity","node","age_mean","clade","CM"
"33","Cucurbitella",1,"SG",9.615,"Cucurbitaceae",2
"42","Doyerea",1,"SG",7.723,"Cucurbitaceae",2
"61","Linnaeosicyos",1,"SG",17.869,"Cucurbitaceae",2
"80","Polyclathra",1,"SG",10.923,"Cucurbitaceae",2
