"","taxa","diversity","node","age_mean","clade","CM"
"29","Cochliasanthus",1,"SG",7.635,"Fabaceae",1
"35","Cymbosema",1,"SG",6.087,"Fabaceae",1
"59","Lablab",1,"SG",14.062,"Fabaceae",1
"69","Neorudolphia",1,"SG",4.637,"Fabaceae",1
"86","Rhodopis",1,"SG",4.637,"Fabaceae",1
