"","taxa","diversity","node","age_mean","clade","CM"
"22","Campsis",2,"SG",27.024,"Bignoniaceae",2
"64","Manaosella",1,"SG",13.325,"Bignoniaceae",2
"77","Perianthomega",1,"SG",17.678,"Bignoniaceae",6
"101","Tourrettia",1,"SG",23.615,"Bignoniaceae",2
