Genus;Epithet;Author;Whole
Mendoncia;zarucchii;Wassh.        ;Mendoncia zarucchii Wassh.        
Neriacanthus;nitidus;Leonard        ;Neriacanthus nitidus Leonard        
Odontonema;ampelocaule;Leonard        ;Odontonema ampelocaule Leonard        
Oplonia;armata;(Sw.) Stearn       ;Oplonia armata (Sw.) Stearn       
Oplonia;jamaicensis;(Lindau) Stearn       ;Oplonia jamaicensis (Lindau) Stearn       
Oplonia;spinosa;Raf.        ;Oplonia spinosa Raf.        
Oplonia;tetrasticha;(C.Wright ex Griseb.) Stearn     ;Oplonia tetrasticha (C.Wright ex Griseb.) Stearn     
Pachystachys;spicata;(Ruiz & Pav.) Wassh.     ;Pachystachys spicata (Ruiz & Pav.) Wassh.     
Ruellia;affinis;(Schrad.) Lindau       ;Ruellia affinis (Schrad.) Lindau       
Ruellia;beckii;Wassh. & J.R.I.Wood      ;Ruellia beckii Wassh. & J.R.I.Wood      
Ruellia;inflata;Rich.        ;Ruellia inflata Rich.        
Ruellia;sprucei;Lindau        ;Ruellia sprucei Lindau        
Ruellia;steyermarkii;Wassh.        ;Ruellia steyermarkii Wassh.        
Sapphoa;ekmanii;Borhidi        ;Sapphoa ekmanii Borhidi        
Sapphoa;rigidifolia;Urb.        ;Sapphoa rigidifolia Urb.        
Thunbergia;alata;Bojer ex Sims      ;Thunbergia alata Bojer ex Sims      
Thyrsacanthus;boliviensis;(Nees) A.L.A.Côrtes & Rapini     ;Thyrsacanthus boliviensis (Nees) A.L.A.Côrtes & Rapini     
Anisacanthus;ramosissimus;(Moric.) V.M.Baum       ;Anisacanthus ramosissimus (Moric.) V.M.Baum       
Thyrsacanthus;secundus;(Leonard) A.L.A.Côrtes & Rapini     ;Thyrsacanthus secundus (Leonard) A.L.A.Côrtes & Rapini     
Viburnum;undulatum;(Oerst.) Killip & A.C.Sm.     ;Viburnum undulatum (Oerst.) Killip & A.C.Sm.     
Sesuvium;portulacastrum;(L.) L.       ;Sesuvium portulacastrum (L.) L.       
Bomarea;acutifolia;(Link & Otto) Herb.     ;Bomarea acutifolia (Link & Otto) Herb.     
