Genus;Epithet;Author;Whole
Matelea;oblongata;(Griseb.) Woodson       ;Matelea oblongata (Griseb.) Woodson       
Matelea;ocellata;W.D.Stevens        ;Matelea ocellata W.D.Stevens        
Matelea;ochracea;Morillo        ;Matelea ochracea Morillo        
Matelea;oldemanii;Morillo        ;Matelea oldemanii Morillo        
Matelea;orthoneura;Morillo        ;Matelea orthoneura Morillo        
Matelea;orthosioides;(E.Fourn.) Fontella       ;Matelea orthosioides (E.Fourn.) Fontella       
Matelea;ovatifolia;(Griseb.) Woodson       ;Matelea ovatifolia (Griseb.) Woodson       
Matelea;palustris;Aubl.        ;Matelea palustris Aubl.        
Matelea;panamensis;Spellman & Dwyer      ;Matelea panamensis Spellman & Dwyer      
Matelea;parvifolia;(Torr.) Woodson       ;Matelea parvifolia (Torr.) Woodson       
Matelea;pastazana;Morillo        ;Matelea pastazana Morillo        
Matelea;pauciflora;(Spreng.) Woodson       ;Matelea pauciflora (Spreng.) Woodson       
Matelea;pedalis;(E.Fourn.) Fontella & E.A.Schwarz     ;Matelea pedalis (E.Fourn.) Fontella & E.A.Schwarz     
Matelea;pedicellata;(Malme) Morillo       ;Matelea pedicellata (Malme) Morillo       
Matelea;pentactina;Krings        ;Matelea pentactina Krings        
Matelea;peruviana;Morillo        ;Matelea peruviana Morillo        
Matelea;petiolaris;(A.Gray) Woodson       ;Matelea petiolaris (A.Gray) Woodson       
Matelea;phainops;Krings        ;Matelea phainops Krings        
Matelea;picturata;(Hemsl.) Woodson       ;Matelea picturata (Hemsl.) Woodson       
Matelea;pilosa;(Benth.) Woodson       ;Matelea pilosa (Benth.) Woodson       
Matelea;pinguifolia;(Standl.) Woodson       ;Matelea pinguifolia (Standl.) Woodson       
Matelea;planiflora;(Jacq.) Dugand       ;Matelea planiflora (Jacq.) Dugand       
Matelea;porphyrocephala;Morillo        ;Matelea porphyrocephala Morillo        
Metastelma;pringlei;A.Gray        ;Metastelma pringlei A.Gray        
Matelea;proctorii;Krings        ;Matelea proctorii Krings        
Matelea;producta;(Torr.) Woodson       ;Matelea producta (Torr.) Woodson       
Matelea;pseudobarbata;(Pittier) Woodson       ;Matelea pseudobarbata (Pittier) Woodson       
Matelea;pubescens;(Griseb.) Krings       ;Matelea pubescens (Griseb.) Krings       
Matelea;purpurea;(Decne.) Goyder       ;Matelea purpurea (Decne.) Goyder       
Matelea;purpureolineata;Woodson        ;Matelea purpureolineata Woodson        
Matelea;pusilliflora;L.O.Williams        ;Matelea pusilliflora L.O.Williams        
Matelea;pyrrhotricha;(Decne.) Fontella       ;Matelea pyrrhotricha (Decne.) Fontella       
Matelea;quercetorum;(Standl.) W.D.Stevens       ;Matelea quercetorum (Standl.) W.D.Stevens       
Matelea;quindecimlobata;Farinaccio & W.D.Stevens      ;Matelea quindecimlobata Farinaccio & W.D.Stevens      
Matelea;quinquedentata;(E.Fourn.) Morillo       ;Matelea quinquedentata (E.Fourn.) Morillo       
Gonolobus;reflexus;Hemsl.        ;Gonolobus reflexus Hemsl.        
Matelea;refracta;(E.Fourn.) Morillo       ;Matelea refracta (E.Fourn.) Morillo       
Matelea;reitzii;Fontella        ;Matelea reitzii Fontella        
Matelea;rhamnifolia;(Griseb.) Krings       ;Matelea rhamnifolia (Griseb.) Krings       
Matelea;rhynchocephala;Krings        ;Matelea rhynchocephala Krings        
Matelea;riparia;Morillo        ;Matelea riparia Morillo        
Matelea;romeroi;Morillo        ;Matelea romeroi Morillo        
Matelea;roulinioides;Agra & W.D.Stevens      ;Matelea roulinioides Agra & W.D.Stevens      
Matelea;santosii;Fontella & Morillo      ;Matelea santosii Fontella & Morillo      
Matelea;sastrei;Morillo        ;Matelea sastrei Morillo        
Matelea;schreiteri;(T.Mey.) Pontiroli       ;Matelea schreiteri (T.Mey.) Pontiroli       
Matelea;schunkei;Morillo        ;Matelea schunkei Morillo        
Matelea;sintenisii;(Schltr.) Woodson       ;Matelea sintenisii (Schltr.) Woodson       
Matelea;sprucei;Morillo        ;Matelea sprucei Morillo        
Matelea;squiresii;(Rusby) Morillo       ;Matelea squiresii (Rusby) Morillo       
Matelea;stenopetala;Sandwith        ;Matelea stenopetala Sandwith        
Matelea;stergiosii;Morillo        ;Matelea stergiosii Morillo        
Matelea;suareziae;Morillo        ;Matelea suareziae Morillo        
Matelea;subsessilifolia;Morillo        ;Matelea subsessilifolia Morillo        
Matelea;sucrensis;Morillo        ;Matelea sucrensis Morillo        
Matelea;sugillata;W.D.Stevens        ;Matelea sugillata W.D.Stevens        
Matelea;surinamensis;Morillo        ;Matelea surinamensis Morillo        
Matelea;tamnifolia;(Griseb.) Woodson       ;Matelea tamnifolia (Griseb.) Woodson       
Matelea;torulosa;Krings        ;Matelea torulosa Krings        
Matelea;trichopedicellata;Krings & Morillo      ;Matelea trichopedicellata Krings & Morillo      
Matelea;tristiflora;(Standl.) Woodson       ;Matelea tristiflora (Standl.) Woodson       
Matelea;tuerckheimii;(Donn.Sm.) Woodson       ;Matelea tuerckheimii (Donn.Sm.) Woodson       
Matelea;vargasii;Morillo        ;Matelea vargasii Morillo        
Matelea;variifolia;(Schltr.) Woodson       ;Matelea variifolia (Schltr.) Woodson       
Matelea;virginiae;Morillo        ;Matelea virginiae Morillo        
Matelea;viridis;(Moldenke) Spellman       ;Matelea viridis (Moldenke) Spellman       
Matelea;viridivenia;Alain        ;Matelea viridivenia Alain        
Matelea;weberbaueri;Morillo        ;Matelea weberbaueri Morillo        
Matelea;woytkowskii;Morillo        ;Matelea woytkowskii Morillo        
Matelea;yanomamica;Morillo        ;Matelea yanomamica Morillo        
Philibertia;parviflora;(Malme) Goyder       ;Philibertia parviflora (Malme) Goyder       
Mesechites;acuminatus;(Ruiz & Pav.) Müll.Arg.     ;Mesechites acuminatus (Ruiz & Pav.) Müll.Arg.     
Mesechites;acutisepalus;Monach.        ;Mesechites acutisepalus Monach.        
Mesechites;angustifolius;(Poir.) Miers       ;Mesechites angustifolius (Poir.) Miers       
Mesechites;citrifolius;(Kunth) Woodson       ;Mesechites citrifolius (Kunth) Woodson       
Mesechites;mansoanus;(A.DC.) Woodson       ;Mesechites mansoanus (A.DC.) Woodson       
Mesechites;minimus;(Britton & P.Wilson) Woodson     ;Mesechites minimus (Britton & P.Wilson) Woodson     
Mesechites;repens;(Jacq.) Miers       ;Mesechites repens (Jacq.) Miers       
Mesechites;roseus;(A.DC.) Miers       ;Mesechites roseus (A.DC.) Miers       
Mesechites;trifidus;(Jacq.) Müll.Arg.       ;Mesechites trifidus (Jacq.) Müll.Arg.       
Cynanchum;subpaniculatum;Woodson        ;Cynanchum subpaniculatum Woodson        
Cynanchum;cubense;(A.Rich.) Woodson       ;Cynanchum cubense (A.Rich.) Woodson       
Cynanchum;gentryi;(Morillo) Liede       ;Cynanchum gentryi (Morillo) Liede       
Cynanchum;haughtii;Woodson        ;Cynanchum haughtii Woodson        
Cynanchum;peraffine;Woodson        ;Cynanchum peraffine Woodson        
Cynanchum;gilbertii;Liede        ;Cynanchum gilbertii Liede        
Cynanchum;aemulans;(Schltr.) Jiménez       ;Cynanchum aemulans (Schltr.) Jiménez       
Metastelma;alainii;Acev.-Rodr.        ;Metastelma alainii Acev.-Rodr.        
Cynanchum;proctorianum;Spellman & Morillo      ;Cynanchum proctorianum Spellman & Morillo      
Metastelma;arizonicum;A.Gray        ;Metastelma arizonicum A.Gray        
Metastelma;grisebachianum;Schltr.        ;Metastelma grisebachianum Schltr.        
Metastelma;angustifolium;(Rusby) Morillo       ;Metastelma angustifolium (Rusby) Morillo       
Metastelma;astephanoides;Schltr.        ;Metastelma astephanoides Schltr.        
Metastelma;atrorubens;Schltr.        ;Metastelma atrorubens Schltr.        
Metastelma;atrovirens;Rusby        ;Metastelma atrovirens Rusby        
Metastelma;bahamense;Griseb.        ;Metastelma bahamense Griseb.        
Metastelma;barbadense;Schltr.        ;Metastelma barbadense Schltr.        
Metastelma;barbigerum;Scheele        ;Metastelma barbigerum Scheele        
Metastelma;blodgettii;A.Gray        ;Metastelma blodgettii A.Gray        
Metastelma;bonplandianum;(Schult.) Schltr.       ;Metastelma bonplandianum (Schult.) Schltr.       
Metastelma;brachystephanum;Griseb.        ;Metastelma brachystephanum Griseb.        
Metastelma;broadwayi;(Schltr.) R.A.Howard       ;Metastelma broadwayi (Schltr.) R.A.Howard       
Metastelma;calcicola;(Alain) Alain       ;Metastelma calcicola (Alain) Alain       
Metastelma;crassiusculum;Schltr.        ;Metastelma crassiusculum Schltr.        
Metastelma;cubense;Decne.        ;Metastelma cubense Decne.        
Metastelma;decipiens;Pittier        ;Metastelma decipiens Pittier        
Orthosia;virgata;(Poir.) E.Fourn.       ;Orthosia virgata (Poir.) E.Fourn.       
Metastelma;schlechteri;J.F.Macbr.        ;Metastelma schlechteri J.F.Macbr.        
Metastelma;domingense;Schltr.        ;Metastelma domingense Schltr.        
Metastelma;dorrii;(Morillo) Liede & Meve     ;Metastelma dorrii (Morillo) Liede & Meve     
Metastelma;eggersii;Schltr.        ;Metastelma eggersii Schltr.        
Metastelma;ekmanii;Markgr.        ;Metastelma ekmanii Markgr.        
Metastelma;eliasianum;Dugand        ;Metastelma eliasianum Dugand        
Metastelma;exasperatum;(R.W.Holm) Liede       ;Metastelma exasperatum (R.W.Holm) Liede       
Metastelma;fawcettii;Schltr.        ;Metastelma fawcettii Schltr.        
Metastelma;fiebrigii;Schltr.        ;Metastelma fiebrigii Schltr.        
Tylodontia;fuscula;(C.Wright) Mangelsdorff & al.     ;Tylodontia fuscula (C.Wright) Mangelsdorff & al.     
Metastelma;giuliettianum;Fontella        ;Metastelma giuliettianum Fontella        
Orthosia;glaberrima;(Woodson) W.D.Stevens       ;Orthosia glaberrima (Woodson) W.D.Stevens       
Metastelma;glabrius;Markgr.        ;Metastelma glabrius Markgr.        
Metastelma;gracile;Decne.        ;Metastelma gracile Decne.        
Tassadia;guanchezii;(Morillo) Liede & Meve     ;Tassadia guanchezii (Morillo) Liede & Meve     
Metastelma;hamatum;Griseb.        ;Metastelma hamatum Griseb.        
Metastelma;harleyi;Fontella        ;Metastelma harleyi Fontella        
Metastelma;harrisii;Schltr.        ;Metastelma harrisii Schltr.        
Metastelma;hirtellum;(Oliv.) Liede       ;Metastelma hirtellum (Oliv.) Liede       
Metastelma;inaguense;Vail ex Britton      ;Metastelma inaguense Vail ex Britton      
Metastelma;jamaicense;Schltr.        ;Metastelma jamaicense Schltr.        
Metastelma;latifolium;Rose        ;Metastelma latifolium Rose        
Metastelma;leptocladum;(Decne.) Schltr.       ;Metastelma leptocladum (Decne.) Schltr.       
Metastelma;leptophyllum;(Schltr.) Alain       ;Metastelma leptophyllum (Schltr.) Alain       
Cynanchum;belloi;P.T.Li        ;Cynanchum belloi P.T.Li        
Metastelma;linearifolium;A.Rich.        ;Metastelma linearifolium A.Rich.        
Metastelma;longicoronatum;(L.O.Williams) Liede       ;Metastelma longicoronatum (L.O.Williams) Liede       
Metastelma;martinicense;Schltr.        ;Metastelma martinicense Schltr.        
Metastelma;mexicanum;(Brandegee) Fishbein & R.A.Levin     ;Metastelma mexicanum (Brandegee) Fishbein & R.A.Levin     
Orthosia;misera;(L.O.Williams) W.D.Stevens       ;Orthosia misera (L.O.Williams) W.D.Stevens       
Metastelma;monense;Britton        ;Metastelma monense Britton        
Cynanchum;northropiae;(Schltr.) Alain       ;Cynanchum northropiae (Schltr.) Alain       
Metastelma;occidentale;(Spreng.) Alain       ;Metastelma occidentale (Spreng.) Alain       
Metastelma;oranensis;Lillo ex T.Mey.      ;Metastelma oranensis Lillo ex T.Mey.      
Metastelma;ovalifolium;(A.Rich.) Liede       ;Metastelma ovalifolium (A.Rich.) Liede       
Metastelma;parviflorum;(Sw.) R.Br. ex Schult.     ;Metastelma parviflorum (Sw.) R.Br. ex Schult.     
Metastelma;pauciflorum;(Griseb.) Schltr.       ;Metastelma pauciflorum (Griseb.) Schltr.       
Metastelma;penicillatum;Griseb.        ;Metastelma penicillatum Griseb.        
Metastelma;picardae;Schltr.        ;Metastelma picardae Schltr.        
Metastelma;priorii;Rendle        ;Metastelma priorii Rendle        
Metastelma;pubipetalum;(Alain) Liede       ;Metastelma pubipetalum (Alain) Liede       
Metastelma;purpurascens;Benth.        ;Metastelma purpurascens Benth.        
Metastelma;readii;Schltr.        ;Metastelma readii Schltr.        
Metastelma;rodriguezii;(Morillo) Morillo       ;Metastelma rodriguezii (Morillo) Morillo       
Scyphostelma;rugosum;(Turcz.) Morillo       ;Scyphostelma rugosum (Turcz.) Morillo       
Metastelma;rupicola;Urb.        ;Metastelma rupicola Urb.        
Metastelma;schlechtendalii;Decne.        ;Metastelma schlechtendalii Decne.        
Metastelma;sepium;(Decne.) W.D.Stevens       ;Metastelma sepium (Decne.) W.D.Stevens       
Metastelma;sigmoideum;(Correll) Acev.-Rodr.       ;Metastelma sigmoideum (Correll) Acev.-Rodr.       
Metastelma;stenoglossum;Schltr.        ;Metastelma stenoglossum Schltr.        
Metastelma;stenomeres;(Standl. & Steyerm.) W.D.Stevens     ;Metastelma stenomeres (Standl. & Steyerm.) W.D.Stevens     
Metastelma;tubatum;Griseb.        ;Metastelma tubatum Griseb.        
Metastelma;tylophoroides;Schltr.        ;Metastelma tylophoroides Schltr.        
Metastelma;urbanianum;Schltr.        ;Metastelma urbanianum Schltr.        
Metastelma;warmingii;Schltr.        ;Metastelma warmingii Schltr.        
Metastelma;woodsonii;Acev.-Rodr.        ;Metastelma woodsonii Acev.-Rodr.        
Minaria;volubilis;Rapini & U.C.S.Silva      ;Minaria volubilis Rapini & U.C.S.Silva      
Molongum;lucidum;(Kunth) Zarucchi       ;Molongum lucidum (Kunth) Zarucchi       
Monsanima;morrenioides;(Goyder) Liede & Meve     ;Monsanima morrenioides (Goyder) Liede & Meve     
Monsanima;tinguaensis;R.Santos & Fontella      ;Monsanima tinguaensis R.Santos & Fontella      
Araujia;stuckertiana;        ;Araujia stuckertiana         
Nephradenia;asparagoides;(Decne.) E.Fourn.       ;Nephradenia asparagoides (Decne.) E.Fourn.       
Nephradenia;linearis;Benth. ex E.Fourn.      ;Nephradenia linearis Benth. ex E.Fourn.      
Odontadenia;killipii;Woodson        ;Odontadenia killipii Woodson        
Odontadenia;anomala;(VanHeurck & Müll.Arg.) J.F.Macbr.     ;Odontadenia anomala (VanHeurck & Müll.Arg.) J.F.Macbr.     
Odontadenia;campanulata;J.F.Morales        ;Odontadenia campanulata J.F.Morales        
Odontadenia;verrucosa;(Willd. ex Roem. & Schult.) K.Schum. Markgr.  ;Odontadenia verrucosa (Willd. ex Roem. & Schult.) K.Schum. Markgr.  
Odontadenia;funigera;Woodson        ;Odontadenia funigera Woodson        
Odontadenia;geminata;(Hoffmanns. ex Roem. & Schult.) Müll.Arg.   ;Odontadenia geminata (Hoffmanns. ex Roem. & Schult.) Müll.Arg.   
Odontadenia;glauca;Woodson        ;Odontadenia glauca Woodson        
Odontadenia;gracilipes;(Stadelm.) Woodson       ;Odontadenia gracilipes (Stadelm.) Woodson       
Odontadenia;hypoglauca;(Stadelm.) Müll.Arg.       ;Odontadenia hypoglauca (Stadelm.) Müll.Arg.       
Odontadenia;kochii;Pilg.        ;Odontadenia kochii Pilg.        
Odontadenia;laxiflora;(Rusby) Woodson       ;Odontadenia laxiflora (Rusby) Woodson       
Odontadenia;lutea;(Vell.) Markgr.       ;Odontadenia lutea (Vell.) Markgr.       
Odontadenia;macrantha;(Roem. & Schult.) Markgr.     ;Odontadenia macrantha (Roem. & Schult.) Markgr.     
Odontadenia;markgrafiana;J.F.Morales        ;Odontadenia markgrafiana J.F.Morales        
Odontadenia;matogrossana;J.F.Morales        ;Odontadenia matogrossana J.F.Morales        
Odontadenia;nitida;(Vahl) Müll.Arg.       ;Odontadenia nitida (Vahl) Müll.Arg.       
Odontadenia;perrottetii;(A.DC.) Woodson       ;Odontadenia perrottetii (A.DC.) Woodson       
Odontadenia;polyneura;(Urb.) Woodson       ;Odontadenia polyneura (Urb.) Woodson       
Odontadenia;puncticulosa;(Rich.) Pulle       ;Odontadenia puncticulosa (Rich.) Pulle       
Odontadenia;stemmadeniifolia;Woodson        ;Odontadenia stemmadeniifolia Woodson        
Orthosia;arenosa;Decne.        ;Orthosia arenosa Decne.        
Orthosia;cassythoides;(Suess.) Liede & Meve     ;Orthosia cassythoides (Suess.) Liede & Meve     
Orthosia;congesta;(Vell.) Decne.       ;Orthosia congesta (Vell.) Decne.       
Orthosia;dusenii;(Malme) Fontella       ;Orthosia dusenii (Malme) Fontella       
Orthosia;guilleminiana;(Decne.) Liede & Meve     ;Orthosia guilleminiana (Decne.) Liede & Meve     
Orthosia;henriqueana;(Silveira) Liede & Meve     ;Orthosia henriqueana (Silveira) Liede & Meve     
Orthosia;itatiaiensis;Malme        ;Orthosia itatiaiensis Malme        
Orthosia;loandensis;Fontella & C.Valente      ;Orthosia loandensis Fontella & C.Valente      
Tassadia;subulata;(Vell.) Fontella & E.A.Schwarz     ;Tassadia subulata (Vell.) Fontella & E.A.Schwarz     
Orthosia;mollis;Schltr.        ;Orthosia mollis Schltr.        
Orthosia;multiflora;E.Fourn.        ;Orthosia multiflora E.Fourn.        
Orthosia;parviflora;(E.Fourn.) Liede & Meve     ;Orthosia parviflora (E.Fourn.) Liede & Meve     
Orthosia;pearcei;(Rusby) Liede & Meve     ;Orthosia pearcei (Rusby) Liede & Meve     
Orthosia;scoparia;(Nutt.) Liede & Meve     ;Orthosia scoparia (Nutt.) Liede & Meve     
Orthosia;selloana;(E.Fourn.) Liede & Meve     ;Orthosia selloana (E.Fourn.) Liede & Meve     
Orthosia;stenophylla;Schltr.        ;Orthosia stenophylla Schltr.        
Orthosia;umbrosa;Decne.        ;Orthosia umbrosa Decne.        
Orthosia;urceolata;E.Fourn.        ;Orthosia urceolata E.Fourn.        
Orthosia;ventensis;(Morillo) Morillo       ;Orthosia ventensis (Morillo) Morillo       
Orthosia;woodii;Meve & Liede      ;Orthosia woodii Meve & Liede      
Oxypetalum;alpinum;(Vell.) Fontella & E.A.Schwarz     ;Oxypetalum alpinum (Vell.) Fontella & E.A.Schwarz     
Oxypetalum;appendiculatum;Mart.        ;Oxypetalum appendiculatum Mart.        
Oxypetalum;arachnoideum;E.Fourn.        ;Oxypetalum arachnoideum E.Fourn.        
Oxypetalum;attenuatum;(Rusby) Malme       ;Oxypetalum attenuatum (Rusby) Malme       
Oxypetalum;balansae;Malme        ;Oxypetalum balansae Malme        
Oxypetalum;banksii;R.Br. ex Schult.      ;Oxypetalum banksii R.Br. ex Schult.      
Oxypetalum;boudetii;Fontella & Goes      ;Oxypetalum boudetii Fontella & Goes      
Oxypetalum;brachystemma;Malme        ;Oxypetalum brachystemma Malme        
Oxypetalum;burchellii;(E.Fourn.) Malme       ;Oxypetalum burchellii (E.Fourn.) Malme       
Oxypetalum;capitatum;Mart.        ;Oxypetalum capitatum Mart.        
Oxypetalum;cordifolium;(Vent.) Schltr.       ;Oxypetalum cordifolium (Vent.) Schltr.       
Oxypetalum;costae;Occhioni        ;Oxypetalum costae Occhioni        
Oxypetalum;dactylostelma;Goyder        ;Oxypetalum dactylostelma Goyder        
Oxypetalum;dombeyanum;Decne.        ;Oxypetalum dombeyanum Decne.        
Oxypetalum;ekblomii;Malme        ;Oxypetalum ekblomii Malme        
Oxypetalum;erianthum;Decne.        ;Oxypetalum erianthum Decne.        
Oxypetalum;erostre;E.Fourn.        ;Oxypetalum erostre E.Fourn.        
Oxypetalum;fiebrigii;(Malme) Goyder & Rapini     ;Oxypetalum fiebrigii (Malme) Goyder & Rapini     
Oxypetalum;flavopurpureum;Goyder & Fontella      ;Oxypetalum flavopurpureum Goyder & Fontella      
Oxypetalum;fuscum;Goyder & Fontella      ;Oxypetalum fuscum Goyder & Fontella      
Oxypetalum;glabrum;(Decne.) Malme       ;Oxypetalum glabrum (Decne.) Malme       
Oxypetalum;glaziouvii;(E.Fourn.) Fontella & Marquete     ;Oxypetalum glaziouvii (E.Fourn.) Fontella & Marquete     
Oxypetalum;gyrophyllum;Farinaccio & Mello-Silva      ;Oxypetalum gyrophyllum Farinaccio & Mello-Silva      
Oxypetalum;habrogynum;Farinaccio        ;Oxypetalum habrogynum Farinaccio        
Oxypetalum;harleyi;(Fontella & Goyder) Farin.     ;Oxypetalum harleyi (Fontella & Goyder) Farin.     
Oxypetalum;helios;Farinaccio        ;Oxypetalum helios Farinaccio        
Oxypetalum;heptalobum;Goyder & Rapini      ;Oxypetalum heptalobum Goyder & Rapini      
Oxypetalum;hoehnei;Malme        ;Oxypetalum hoehnei Malme        
Oxypetalum;insigne;(Decne.) Malme       ;Oxypetalum insigne (Decne.) Malme       
Oxypetalum;jacobinae;Decne.        ;Oxypetalum jacobinae Decne.        
Oxypetalum;kleinii;Fontella & Marquete      ;Oxypetalum kleinii Fontella & Marquete      
Oxypetalum;kuhlmannianum;Occhioni        ;Oxypetalum kuhlmannianum Occhioni        
Oxypetalum;laciniatum;Rapini & Farinaccio      ;Oxypetalum laciniatum Rapini & Farinaccio      
Oxypetalum;lanatum;Decne. ex E.Fourn.      ;Oxypetalum lanatum Decne. ex E.Fourn.      
Oxypetalum;leonii;Fontella        ;Oxypetalum leonii Fontella        
Oxypetalum;lutescens;E.Fourn.        ;Oxypetalum lutescens E.Fourn.        
Tweedia;macrolepis;Hook. & Arn.      ;Tweedia macrolepis Hook. & Arn.      
Ditassa;oxypetala;Decne.        ;Ditassa oxypetala Decne.        
Oxypetalum;melinioides;Goyder        ;Oxypetalum melinioides Goyder        
Oxypetalum;minarum;E.Fourn.        ;Oxypetalum minarum E.Fourn.        
Oxypetalum;molle;Hook. & Arn.      ;Oxypetalum molle Hook. & Arn.      
Oxypetalum;montanum;Mart. & Zucc.      ;Oxypetalum montanum Mart. & Zucc.      
Oxypetalum;mosenii;(Malme) Malme       ;Oxypetalum mosenii (Malme) Malme       
Oxypetalum;multiflorum;(Malme) Malme       ;Oxypetalum multiflorum (Malme) Malme       
Oxypetalum;oblanceolatum;Farinaccio & Mello-Silva      ;Oxypetalum oblanceolatum Farinaccio & Mello-Silva      
Oxypetalum;obtusifolium;Malme        ;Oxypetalum obtusifolium Malme        
Oxypetalum;ostenii;Malme        ;Oxypetalum ostenii Malme        
Oxypetalum;pachyglossum;Decne.        ;Oxypetalum pachyglossum Decne.        
Oxypetalum;pachygynum;Decne.        ;Oxypetalum pachygynum Decne.        
Oxypetalum;pannosum;Decne.        ;Oxypetalum pannosum Decne.        
Oxypetalum;pardense;E.Fourn.        ;Oxypetalum pardense E.Fourn.        
Oxypetalum;pearsonii;(Rusby) Goyder & Fontella     ;Oxypetalum pearsonii (Rusby) Goyder & Fontella     
Oxypetalum;pentasetum;(Rusby) Goyder & Rapini     ;Oxypetalum pentasetum (Rusby) Goyder & Rapini     
Oxypetalum;pilosum;Gardner        ;Oxypetalum pilosum Gardner        
Oxypetalum;pubescens;(Malme) Goyder & Rapini     ;Oxypetalum pubescens (Malme) Goyder & Rapini     
Oxypetalum;reitzii;Fontella & Marquete      ;Oxypetalum reitzii Fontella & Marquete      
Oxypetalum;retusum;(Markgr.) Goyder       ;Oxypetalum retusum (Markgr.) Goyder       
Oxypetalum;schottii;E.Fourn.        ;Oxypetalum schottii E.Fourn.        
Oxypetalum;stipatum;Malme        ;Oxypetalum stipatum Malme        
Jobinia;streptantha;(Malme) Liede & Meve     ;Jobinia streptantha (Malme) Liede & Meve     
Oxypetalum;strictum;Mart.        ;Oxypetalum strictum Mart.        
Oxypetalum;sylvestre;(Hook. & Arn.) Goyder & Rapini   ;Oxypetalum sylvestre (Hook. & Arn.) Goyder & Rapini   
Oxypetalum;tomentosum;Wight ex Hook. & Arn.    ;Oxypetalum tomentosum Wight ex Hook. & Arn.    
Oxypetalum;tubatum;Malme        ;Oxypetalum tubatum Malme        
Oxypetalum;warmingii;(E.Fourn.) Fontella & Marquete     ;Oxypetalum warmingii (E.Fourn.) Fontella & Marquete     
Oxypetalum;weberbaueri;Schltr.        ;Oxypetalum weberbaueri Schltr.        
Oxypetalum;wightianum;Hook. & Arn.      ;Oxypetalum wightianum Hook. & Arn.      
Pacouria;boliviensis;(Markgr.) A.Chev.       ;Pacouria boliviensis (Markgr.) A.Chev.       
Pacouria;guianensis;Aubl.        ;Pacouria guianensis Aubl.        
Pacouria;paraensis;(Huber) Pichon       ;Pacouria paraensis (Huber) Pichon       
Macropharynx;gigantea;(Woodson) J.F.Morales & al.     ;Macropharynx gigantea (Woodson) J.F.Morales & al.     
Macropharynx;bahiensis;(Markgr.) comb.ined.       ;Macropharynx bahiensis (Markgr.) comb.ined.       
Macropharynx;isthmica;(Woodson) J.F.Morales & al.     ;Macropharynx isthmica (Woodson) J.F.Morales & al.     
Macropharynx;macrocalyx;(Müll.Arg.) J.F.Morales & al.     ;Macropharynx macrocalyx (Müll.Arg.) J.F.Morales & al.     
Macropharynx;peltata;(Vell.) J.F.Morales & al.     ;Macropharynx peltata (Vell.) J.F.Morales & al.     
Macropharynx;peruviana;(Woodson) J.F.Morales & al.     ;Macropharynx peruviana (Woodson) J.F.Morales & al.     
Macropharynx;pulchra;(Miers) J.F.Morales & al.     ;Macropharynx pulchra (Miers) J.F.Morales & al.     
Pentacyphus;lehmannii;(Schltr.) Liede       ;Pentacyphus lehmannii (Schltr.) Liede       
Pentalinon;andrieuxii;(Müll.Arg.) B.F.Hansen & Wunderlin     ;Pentalinon andrieuxii (Müll.Arg.) B.F.Hansen & Wunderlin     
Pentalinon;luteum;(L.) B.F.Hansen & Wunderlin     ;Pentalinon luteum (L.) B.F.Hansen & Wunderlin     
Peplonia;adnata;(E.Fourn.) U.C.S.Silva & Rapini     ;Peplonia adnata (E.Fourn.) U.C.S.Silva & Rapini     
Peplonia;asteria;(Vell.) Fontella & E.A.Schwarz     ;Peplonia asteria (Vell.) Fontella & E.A.Schwarz     
Peplonia;axillaris;(Vell.) Fontella & Rapini     ;Peplonia axillaris (Vell.) Fontella & Rapini     
Peplonia;bradeana;(Fontella & E.A.Schwarz) Fontella & Rapini   ;Peplonia bradeana (Fontella & E.A.Schwarz) Fontella & Rapini   
Peplonia;macrophylla;(Malme) U.C.S.Silva & Rapini     ;Peplonia macrophylla (Malme) U.C.S.Silva & Rapini     
Peplonia;organensis;(E.Fourn.) Fontella & Rapini     ;Peplonia organensis (E.Fourn.) Fontella & Rapini     
Peplonia;riedelii;(E.Fourn.) Fontella & Rapini     ;Peplonia riedelii (E.Fourn.) Fontella & Rapini     
Petalostelma;bracteolatum;(E.Fourn.) Fontella       ;Petalostelma bracteolatum (E.Fourn.) Fontella       
Petalostelma;cearense;Malme        ;Petalostelma cearense Malme        
Petalostelma;dardanoi;Fontella        ;Petalostelma dardanoi Fontella        
Petalostelma;martianum;(Decne.) E.Fourn.       ;Petalostelma martianum (Decne.) E.Fourn.       
Petalostelma;sarcostemma;(Lillo) Liede & Meve     ;Petalostelma sarcostemma (Lillo) Liede & Meve     
Philibertia;alba;Goyder        ;Philibertia alba Goyder        
Philibertia;amblystigma;Goyder        ;Philibertia amblystigma Goyder        
Philibertia;bicornuta;(Griseb.) Goyder       ;Philibertia bicornuta (Griseb.) Goyder       
Philibertia;boliviana;(Baill.) Goyder       ;Philibertia boliviana (Baill.) Goyder       
Philibertia;boliviensis;(Schltr.) Goyder       ;Philibertia boliviensis (Schltr.) Goyder       
Philibertia;campanulata;(Lindl.) G.Nicholson       ;Philibertia campanulata (Lindl.) G.Nicholson       
Philibertia;discolor;(Schltr.) Goyder       ;Philibertia discolor (Schltr.) Goyder       
Philibertia;fiebrigii;(Schltr.) Liede       ;Philibertia fiebrigii (Schltr.) Liede       
Philibertia;fontellae;Goyder        ;Philibertia fontellae Goyder        
