Heteropterys,163,SG,4.317,Mech1,,,,
Ditassa,107,SG,0.731,Mech1,,,,
Prestonia,68,SG,9.077,Mech1,,,,
Dioclea,66,SG,12.375,Mech1,,,,
Forsteronia,48,SG,8.62,Mech1,,,,
Centrosema,47,SG,8.008,Mech1,,,,
Odontocarya,42,SG,2.916,Mech1,,,,
Serjania,264,SG,18.516,Mech2,,,,
Adenocalymma,91,SG,13.447,Mech2,,,,
Fridericia,71,SG,9.905,Mech2,,,,
Amphilophium,51,SG,11.792,Mech2,,,,
Schnella,49,SG,6.609,Mech2,,,,
,,,,,,,,
,,,,,,,,
