"","taxa","diversity","node","age_mean","clade","CM"
"74","Fridericia",61,"SG",9.90500000000003,"Superasterids","2"
"116","Odontadenia",21,"SG",2.25400000000002,"Superasterids","1"
"148","Schlegelia",23,"SG",4.08199999999999,"Superasterids","4"
"153","Scyphostelma",28,"SG",3.86900000000003,"Superasterids","1"
