"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"245","Dioscorea ancachsensis R.Knuth",5.662431,0.037511,3.7e-05,6.9586,0.514469,0.069706,6.997504,0.222138,0.005669,9.363475,0.132645,0.075653,"Mechanism_1"
"246","Dioscorea anomala Griseb.",5.685068,0.005224,1.8e-05,7.444688,0.061616,0.034853,7.298159,0.056916,0.002834,9.301853,0.055966,0.037827,"Mechanism_1"
"247","Dioscorea argyrogyna Uline ex R.Knuth",5.696236,0.006046,3.7e-05,7.408217,0.130278,0.069706,7.352244,0.019875,0.005669,9.150537,0.047225,0.075653,"Mechanism_1"
"248","Dioscorea arifolia C.Presl",5.697932,NA,7.4e-05,7.963112,NA,0.139413,7.066467,NA,0.011337,10.070738,NA,0.151306,"Mechanism_1"
"249","Dioscorea aspera Humb. & Bonpl. ex Willd.",5.698602,NA,7.4e-05,7.776115,NA,0.139413,7.375882,NA,0.011337,9.737138,NA,0.151306,"Mechanism_1"
"250","Dioscorea atrescens R.Knuth",5.698195,0.00113,7e-06,7.865505,0.074707,0.013941,7.362061,0.018087,0.001134,9.713606,0.059124,0.015131,"Mechanism_1"
"251","Dioscorea bartlettii C.V.Morton",5.694448,0.001832,4e-06,7.539242,0.110792,0.008201,7.471744,0.011722,0.000667,9.328583,0.104024,0.0089,"Mechanism_1"
"252","Dioscorea bernoulliana Prain & Burkill",5.698937,0.00134,3.7e-05,7.1168,0.000406,0.069706,7.459227,0.014978,0.005669,8.815634,0.014617,0.075653,"Mechanism_1"
"253","Dioscorea biplicata R.Knuth",5.679667,0.007241,1.8e-05,7.547242,0.133604,0.034853,7.146407,0.078664,0.002834,9.798821,0.169324,0.037827,"Mechanism_1"
"254","Dioscorea bolivarensis Steyerm.",5.697261,NA,7.4e-05,7.965546,NA,0.139413,7.436617,NA,0.011337,9.52252,NA,0.151306,"Mechanism_1"
"255","Dioscorea bradei R.Knuth",5.671087,NA,7.4e-05,7.467942,NA,0.139413,7.06732,NA,0.011337,9.570041,NA,0.151306,"Mechanism_1"
"256","Dioscorea campanulata Uline ex R.Knuth",5.686124,0.002714,3.7e-05,7.144327,0.012629,0.069706,7.173522,0.010349,0.005669,9.147817,0.058515,0.075653,"Mechanism_1"
"257","Dioscorea campestris Griseb.",5.693811,0.001074,1e-06,6.870635,0.05064,0.002285,7.352801,0.015754,0.000186,8.674402,0.054352,0.00248,"Mechanism_1"
"258","Dioscorea campos-portoi R.Knuth",5.68341,NA,7.4e-05,6.850126,NA,0.139413,7.126891,NA,0.011337,9.224736,NA,0.151306,"Mechanism_1"
"259","Dioscorea carpomaculata O.Téllez & B.G.Schub.",5.68764,0.002742,6e-06,7.334808,0.109232,0.011618,7.499554,0.024458,0.000945,9.00677,0.150101,0.012609,"Mechanism_1"
"260","Dioscorea ceratandra Uline",5.694795,0.002993,9e-06,7.317585,0.159913,0.017427,7.320064,0.028178,0.001417,9.143117,0.178891,0.018913,"Mechanism_1"
"261","Dioscorea chagllaensis R.Knuth",5.64527,NA,7.4e-05,6.875232,NA,0.139413,7.117206,NA,0.011337,8.552753,NA,0.151306,"Mechanism_1"
"262","Dioscorea chaponensis R.Knuth",5.691014,0.007321,1.2e-05,7.742535,0.129923,0.023235,7.342388,0.048677,0.00189,9.599826,0.063666,0.025218,"Mechanism_1"
"263","Dioscorea chiapasensis Matuda",5.690288,0.011994,3.7e-05,7.679937,0.142507,0.069706,7.460604,0.091633,0.005669,9.287154,0.154774,0.075653,"Mechanism_1"
"264","Dioscorea chondrocarpa Griseb.",5.695137,0.001156,1e-06,7.513144,0.054915,0.002535,7.294691,0.018104,0.00021,9.419653,0.060257,0.002802,"Mechanism_1"
"265","Dioscorea choriandra Uline ex R.Knuth",5.668048,0.00708,2.5e-05,7.507382,0.423955,0.046471,7.085488,0.083828,0.003779,9.526614,0.235456,0.050435,"Mechanism_1"
"266","Dioscorea cienegensis R.Knuth",5.625641,NA,7.4e-05,6.974479,NA,0.139413,7.46451,NA,0.011337,7.661056,NA,0.151306,"Mechanism_1"
"267","Dioscorea cinnamomifolia Hook.",5.684978,0.003755,7e-06,7.090139,0.128058,0.013941,7.198884,0.033668,0.001134,9.019567,0.116735,0.015131,"Mechanism_1"
"268","Dioscorea composita Hemsl.",5.692866,0.001604,2e-06,7.424484,0.070995,0.003983,7.450044,0.014577,0.000324,9.217862,0.067284,0.004323,"Mechanism_1"
"269","Dioscorea convolvulacea Cham. & Schltdl.",5.688546,0.001463,1e-06,7.228388,0.052284,0.001811,7.482765,0.009213,0.000147,8.957931,0.058249,0.001965,"Mechanism_1"
"270","Dioscorea coriacea Humb. & Bonpl. ex Willd.",5.667248,0.003183,3e-06,7.71902,0.108472,0.006337,7.155503,0.018318,0.000515,9.683015,0.059722,0.006878,"Mechanism_1"
"271","Dioscorea coronata Hauman",5.668305,0.005677,1.2e-05,7.291548,0.202625,0.023235,7.300437,0.042828,0.00189,9.006809,0.221662,0.025218,"Mechanism_1"
"272","Dioscorea crateriflora R.Knuth",5.696926,NA,7.4e-05,7.957177,NA,0.139413,7.280008,NA,0.011337,9.883183,NA,0.151306,"Mechanism_1"
"273","Dioscorea crotalariifolia Uline",5.697992,0.000612,5e-06,7.867535,0.057341,0.008713,7.195457,0.028797,0.000709,9.856928,0.075455,0.009457,"Mechanism_1"
"274","Dioscorea cubensis R.Knuth",5.699607,NA,7.4e-05,7.307873,NA,0.139413,7.556951,NA,0.011337,8.756368,NA,0.151306,"Mechanism_1"
"275","Dioscorea cuspidata Humb. & Bonpl. ex Willd.",5.693176,0.001984,7e-06,7.998673,0.080189,0.013941,7.254987,0.022027,0.001134,9.95124,0.059285,0.015131,"Mechanism_1"
"276","Dioscorea cymosula Hemsl.",5.690917,0.002458,4e-06,7.374356,0.107533,0.008201,7.451872,0.018478,0.000667,9.153715,0.110228,0.0089,"Mechanism_1"
"277","Dioscorea davidsei O.Téllez",5.697924,0.004023,3.7e-05,8.227783,0.219417,0.069706,7.390032,0.017286,0.005669,9.870938,0.136639,0.075653,"Mechanism_1"
"278","Dioscorea debilis Uline ex R.Knuth",5.682862,0.002386,5e-06,7.142669,0.088059,0.009958,7.231401,0.024388,0.00081,9.072056,0.090467,0.010808,"Mechanism_1"
"279","Dioscorea decorticans C.Presl",5.692879,0.001353,1e-06,7.379257,0.054326,0.002404,7.290851,0.014265,0.000195,9.307316,0.060959,0.002609,"Mechanism_1"
"280","Dioscorea deflexa Griseb.",5.68443,NA,7.4e-05,7.38709,NA,0.139413,7.250636,NA,0.011337,9.312626,NA,0.151306,"Mechanism_1"
"281","Dioscorea densiflora Hemsl.",5.693167,0.001769,2e-06,7.410319,0.06582,0.004225,7.445499,0.015606,0.000344,9.171779,0.084586,0.004585,"Mechanism_1"
"282","Dioscorea dumetosa Uline ex R.Knuth",5.706442,0.002826,3.7e-05,7.49506,0.084108,0.069706,7.397846,0.08596,0.005669,9.108729,0.188339,0.075653,"Mechanism_1"
"283","Dioscorea fendleri R.Knuth",5.691436,0.014511,3.7e-05,6.830982,0.224331,0.069706,7.393763,0.141,0.005669,8.770837,0.011639,0.075653,"Mechanism_1"
"284","Dioscorea floribunda M.Martens & Galeotti",5.69443,0.00143,1e-06,7.305141,0.052109,0.002788,7.482279,0.010399,0.000231,9.048531,0.063412,0.003088,"Mechanism_1"
"285","Dioscorea fodinarum Kunth",5.692174,0.001464,7e-06,7.440298,0.174056,0.012674,7.262106,0.033925,0.001031,9.431563,0.174333,0.013755,"Mechanism_1"
"286","Dioscorea glauca Rusby",5.685594,0.006959,3.7e-05,6.901638,0.014086,0.069706,7.414561,0.00482,0.005669,8.836469,0.0462,0.075653,"Mechanism_1"
"287","Dioscorea glomerulata Hauman",5.665803,0.009303,1.5e-05,6.66739,0.102348,0.027883,7.431383,0.021989,0.002267,8.361294,0.12457,0.030261,"Mechanism_1"
"288","Dioscorea gomez-pompae O.Téllez",5.697186,0.003018,1.1e-05,7.338024,0.133971,0.019916,7.526603,0.028175,0.00162,9.127504,0.122401,0.021615,"Mechanism_1"
"289","Dioscorea grandiflora Mart. ex Griseb.",5.697106,0.001977,1.1e-05,7.187118,0.107786,0.019916,7.379438,0.018154,0.00162,9.003871,0.123442,0.021615,"Mechanism_1"
"290","Dioscorea grisebachii Kunth",5.682172,0.002765,4e-06,7.156538,0.076639,0.007745,7.198928,0.029389,0.00063,9.113216,0.084292,0.008406,"Mechanism_1"
"291","Dioscorea haenkeana C.Presl",5.693335,0.0021,2.5e-05,7.545098,0.218953,0.046471,7.057306,0.084773,0.003779,9.780738,0.19727,0.050435,"Mechanism_1"
"292","Dioscorea hassleriana Chodat",5.693753,0.001186,2e-06,7.169467,0.053042,0.003575,7.351814,0.017456,0.000291,8.997193,0.058645,0.00388,"Mechanism_1"
"293","Dioscorea hastiformis R.Knuth",5.654767,NA,7.4e-05,7.013016,NA,0.139413,7.428333,NA,0.011337,8.372167,NA,0.151306,"Mechanism_1"
"294","Dioscorea hieronymi Uline ex R.Knuth",5.674483,0.007443,1.5e-05,6.775419,0.196048,0.027883,7.379719,0.038231,0.002267,8.626419,0.207502,0.030261,"Mechanism_1"
"295","Dioscorea hondurensis R.Knuth",5.699269,0.000884,8e-06,7.834688,0.086995,0.01549,7.415203,0.055823,0.001417,9.710767,0.065839,0.018913,"Mechanism_1"
"296","Dioscorea incayensis R.Knuth",5.661397,NA,7.4e-05,7.664347,NA,0.139413,7.178545,NA,0.011337,9.298809,NA,0.151306,"Mechanism_1"
"297","Dioscorea iquitosensis R.Knuth",5.694773,0.003161,1.2e-05,7.923899,0.054061,0.023235,7.106084,0.022908,0.00189,9.899019,0.124819,0.025218,"Mechanism_1"
"298","Dioscorea jamesonii R.Knuth",5.658262,NA,7.4e-05,7.059618,NA,0.139413,7.06732,NA,0.011337,8.626048,NA,0.151306,"Mechanism_1"
"299","Dioscorea killipii R.Knuth",5.64915,NA,7.4e-05,7.286192,NA,0.139413,7.204149,NA,0.011337,8.935509,NA,0.151306,"Mechanism_1"
"300","Dioscorea lawrancei R.Knuth",5.672677,0.016161,3.7e-05,7.407112,0.261916,0.069706,7.203813,0.085798,0.005669,9.690549,0.101224,0.075653,"Mechanism_1"
