"","species","temp","prec","pet","aridity","lon","lat"
"1","Pacouria guianensis Aubl.",263,2137,1729,13150,-55.050667,5.137667
"2","Pacouria guianensis Aubl.",254,3414,1589,19062,-52.57,3.98
"3","Pacouria guianensis Aubl.",261,2177,1715,12609,-56.1833,4.73333
"4","Pacouria guianensis Aubl.",255,1828,1630,11496,-56.78,2.37
"5","Pacouria guianensis Aubl.",247,2092,1584,13642,-54.75,2.56666
"6","Pacouria guianensis Aubl.",261,2613,1594,17644,-52.933333,5.266667
"7","Pacouria guianensis Aubl.",255,1889,1615,12510,-57.343333,3.37
"8","Pacouria guianensis Aubl.",257,3759,1554,20699,-52.4,4.58
"9","Pacouria guianensis Aubl.",257,1779,1462,14938,-54.43,-0.92
"10","Pacouria guianensis Aubl.",248,2006,1523,14384,-54.43333,0.91666
"11","Pacouria guianensis Aubl.",253,2218,1656,13037,-57.75,4.5
"12","Pacouria guianensis Aubl.",256,2359,1579,15323,-52.875,2.208
"13","Pacouria guianensis Aubl.",253,2052,1644,12726,-56.816667,3.333333
"14","Pacouria guianensis Aubl.",261,2181,1584,13780,-51.067071,0.850079
