Order;Family;Nr;;x;;
Liliales;;;;Cryptocorynaceae; Araceae ;Alismatales
Liliales;;;;Cryptogammaceae; Pteridaceae ;Polypodiales
Liliales;;;;Cryptomeriaceae; Cupressaceae ;Cupressales
Liliales;;;;Ctenolophonaceae ;;Malpighiales
Liliales;;;;Cucurbitaceae ;;Cucurbitales
Liliales;;;;Culcitaceae ;;Cyatheales
Liliales;;;;Cunninghamiaceae; Cupressaceae ;Cupressales
Liliales;;;;Cunoniaceae ;;Oxalidales
Liliales;;;;Cupressaceae ;;Cupressales
Liliales;;;;Curcumaceae; Zingiberaceae ;Zingiberales
Liliales;;;;Curtisiaceae ;;Cornales
Liliales;;;;Cuscutaceae; Convolvulaceae ;Solanales
Liliales;;;;Cyananthaceae; Campanulaceae ;Asterales
Liliales;;;;Cyanastraceae; Tecophilaeaceae ;Asparagales
Liliales;;;;Cynanchaceae; Apocynaceae ;Gentianales
Liliales;;;;Cyanellaceae; Tecophilaeaceae ;Asparagales
Liliales;;;;Cyatheaceae ;;Cyatheales
Liliales;;;;Cycadaceae ;;Cycadales
Liliales;;;;Cyclanthaceae ;;Pandanales
Liliales;;;;Cyclantheraceae; Cucurbitaceae ;Cucurbitales
Liliales;;;;Cyclocheilaceae; Orobanchaceae ;Lamiales
Liliales;;;;Cydoniaceae; Rosaceae ;Rosales
Liliales;;;;Cymodoceaceae ;;Alismatales
Liliales;;;;Cynaraceae; Asteraceae ;Asterales
Liliales;;;;Cynocrambaceae; Rubiaceae ;Gentianales
Liliales;;;;Cynodontaceae; Poaceae ;Poales
Liliales;;;;Cynoglossaceae; Boraginaceae ;Boraginales
Liliales;;;;Cynomoriaceae ;;Saxifragales
Liliales;;;;Cynosuraceae; Poaceae ;Poales
Liliales;;;;Cyperaceae ;;Poales
Liliales;;;;Cyphiaceae; Campanulaceae ;Asterales
Liliales;;;;Cyphocarpaceae; Campanulaceae ;Asterales
Liliales;;;;Cypripediaceae; Orchidaceae ;Asparagales
Liliales;;;;Cyrillaceae ;;Ericales
Liliales;;;;Cyrtandraceae; Gesneriaceae ;Lamiales
Liliales;;;;Cyrtanthaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Cystodiaceae ;;Polypodiales
Liliales;;;;Cystopteridaceae ;;Polypodiales-eupolypod II
Liliales;;;;Cytinaceae ;;Malvales
Liliales;;;;Dacrycarpaceae ; Podocarpaceae ;Cupressales
Liliales;;;;Dactylanthaceae; Mystropetalaceae ;Santalales
Liliales;;;;Dalbergiaceae; Fabaceae ;Fabales
Liliales;;;;Daleaceae; Fabaceae ;Fabales
Liliales;;;;Damasoniaceae; Alismataceae ;Alismatales
Liliales;;;;Danaeaceae; Marattiaceae ;Marattiales
Liliales;;;;Daphnaceae; Thymelaeaceae ;Malvales
Liliales;;;;Daphniphyllaceae ;;Saxifragales
Liliales;;;;Dasypogonaceae ;;Arecales
Liliales;;;;Datiscaceae ;;Cucurbitales
Liliales;;;;Daturaceae; Solanaceae ;Solanales
Liliales;;;;Daucaceae; Apiaceae ;Apiales
Liliales;;;;Davalliaceae ;;Polypodiales-eupolypod I
Liliales;;;;Davidiaceae; Nyssaceae ;Cornales
Liliales;;;;Davidsoniaceae; Cunoniaceae ;Oxalidales
Liliales;;;;Decaisneaceae; Lardizabalaceae ;Ranunculales
Liliales;;;;Deeringiaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Degeneriaceae ;;Magnoliales
Liliales;;;;Delimaceae; Dilleniaceae ;Dilleniales
Liliales;;;;Delphiniaceae; Ranunculaceae ;Ranunculales
Liliales;;;;Dendrophthoaceae; Loranthaceae ;Santalales
Liliales;;;;Dennstaedtiaceae ;;Polypodiales
Liliales;;;;Desfontainiaceae; Columelliaceae ;Desfontainiales
Liliales;;;;Detariaceae; Fabaceae ;Fabales
Liliales;;;;Dialypetalanthaceae; Rubiaceae ;Gentianales
Liliales;;;;Dianellaceae; Asphodelaceae ;Asparagales
Liliales;;;;Dianthaceae; Caryophyllaceae ;Caryophyllales
Liliales;;;;Diapensiaceae ;;Ericales
Liliales;;;;Dichapetalaceae ;;Malpighiales
Liliales;;;;Dichondraceae; Convolvulaceae ;Solanales
Liliales;;;;Dicksoniaceae ;;Cyatheales
Liliales;;;;Diclidantheraceae; Polygalaceae ;Fabales
Liliales;;;;Dicrastylidiaceae; Lamiaceae ;Lamiales
Liliales;;;;Dictamnaceae; Rutaceae ;Sapindales
Liliales;;;;Didiereaceae ;;Caryophyllales
Liliales;;;;Didymelaceae; Buxaceae ;Buxales
Liliales;;;;Didymocarpaceae; Gesneriaceae ;Lamiales
Liliales;;;;Diegodendraceae; Bixaceae ;Malvales
Liliales;;;;Diervillaceae; Caprifoliaceae ;Dipsacales
Liliales;;;;Digitalidaceae; Plantaginaceae ;Lamiales
Liliales;;;;Dilatridaceae; Haemodoraceae ;Commelinales
Liliales;;;;Dilleniaceae ;;Dilleniales
Liliales;;;;Dioaceae; Zamiaceae ;Cycadales
Liliales;;;;Dionaeaceae; Droseraceae ;Caryophyllales
Liliales;;;;Dioncophyllaceae ;;Caryophyllales
Liliales;;;;Dioscoreaceae ;;Dioscoreales
Liliales;;;;Diosmaceae; Rutaceae ;Sapindales
Liliales;;;;Diospyraceae; Ebenaceae ;Ericales
Liliales;;;;Dipentodontaceae ;;Huerteales
Liliales;;;;Diphylleiaceae; Berberidaceae ;Ranunculales
Liliales;;;;Diplaziopsidaceae ;;eupolypod II
Liliales;;;;Diplolaenaceae; Rutaceae ;Sapindales
Liliales;;;;Dipsacaceae; Caprifoliaceae ;Dipsacales
Liliales;;;;Dipteridaceae ;;Gleicheniales
Liliales;;;;Dipterocarpaceae ;;Malvales
Liliales;;;;Dirachmaceae ;;Rosales
Liliales;;;;Disanthaceae; Hamamelidaceae ;Saxifragales
Liliales;;;;Diselmaceae; Cupressaceae ;Cupressales
Liliales;;;;Dodonaeaceae; Sapindaceae ;Sapindales
Liliales;;;;Dombeyaceae; Malvaceae ;Malvales
Liliales;;;;Donatiaceae; Stylidiaceae ;Asterales
Liliales;;;;Dorsteniaceae; Moraceae ;Rosales
Liliales;;;;Dortmannaceae; Campanulaceae ;Asterales
Liliales;;;;Doryanthaceae ;;Asparagales
Liliales;;;;Drabaceae; Brassicaceae ;Brassicales
Liliales;;;;Dracaenaceae; Asparagaceae ;Asparagales
Liliales;;;;Dracontiaceae; Araceae ;Alismatales
Liliales;;;;Drimyidaceae; Winteraceae ;Canellales
Liliales;;;;Droseraceae ;;Caryophyllales
Liliales;;;;Drosophyllaceae ;;Caryophyllales
Liliales;;;;Dryadaceae; Rosaceae ;Rosales
Liliales;;;;Drynariaceae; Polypodiaceae ;Polypodiales-eupolypod I
Liliales;;;;Dryopteridaceae ;;Polypodiales-eupolypod I
Liliales;;;;Duabangaceae; Lythraceae ;Myrtales
Liliales;;;;Duckeodendraceae; Solanaceae ;Solanales
Liliales;;;;Dulongiaceae; Phyllonomaceae ;Aquifoliales
Liliales;;;;Durantaceae; Verbenaceae ;Lamiales
Liliales;;;;Durionaceae; Malvaceae ;Malvales
Liliales;;;;Dysphaniaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Ebenaceae ;;Ericales
Liliales;;;;Eccremidaceae; Asphodelaceae ;Asparagales
Liliales;;;;Ecdeiocoleaceae ;;Poales
Liliales;;;;Echiaceae; Boraginaceae ;Boraginales
Liliales;;;;Echinariaceae; Poaceae ;Poales
Liliales;;;;Echinopaceae; Asteraceae ;Asterales
Liliales;;;;Ehretiaceae ;;Boraginales
Liliales;;;;Ehrhartaceae; Poaceae ;Poales
Liliales;;;;Elaeagnaceae ;;Rosales
Liliales;;;;Elaeocarpaceae ;;Oxalidales
Liliales;;;;Elaphoglossaceae; Dryopteridaceae ;Polypodiales-eupolypod I
Liliales;;;;Elegiaceae; Restionaceae ;Poales
Liliales;;;;Elatinaceae ;;Malpighiales
Liliales;;;;Ellisiaceae; Hydrophyllaceae ;Boraginales
Liliales;;;;Ellisiophyllaceae; Plantaginaceae ;Lamiales
Liliales;;;;Elodeaceae; Hydrocharitaceae ;Alismatales
Liliales;;;;Elytranthaceae; Loranthaceae ;Santalales
Liliales;;;;Embeliaceae; Primulaceae ;Ericales
Liliales;;;;Emblingiaceae ;;Brassicales
Liliales;;;;Emmotaceae; Metteniusaceae ;Metteniusales
Liliales;;;;Empetraceae; Ericaceae ;Ericales
Liliales;;;;Encephalartaceae; Zamiaceae ;Cycadales
Liliales;;;;Engelhardtiaceae; Juglandaceae ;Fagales
Liliales;;;;Enhalaceae; Hydrocharitaceae ;Alismatales
Liliales;;;;Epacridaceae; Ericaceae ;Ericales
Liliales;;;;Ephedraceae ;;Gnetales
Liliales;;;;Ephemeranthaceae; Commelinaceae ;Commelinales
Liliales;;;;Epilobiaceae; Onagraceae ;Myrtales
Liliales;;;;Epimediaceae; Berberidaceae ;Ranunculales
Liliales;;;;Equisetaceae ;;Equisetales
Liliales;;;;Eragrostidaceae; Poaceae ;Poales
Liliales;;;;Eremolepidaceae; Santalaceae ;Santalales
Liliales;;;;Eremosynaceae; Escalloniaceae ;Escalloniales
Liliales;;;;Ericaceae ;;Ericales
Liliales;;;;Erinaceae; Orobanchaceae ;Lamiales
Liliales;;;;Eriocaulaceae ;;Poales
Liliales;;;;Eriogonaceae; Polygonaceae ;Caryophyllales
Liliales;;;;Eriospermaceae; Asparagaceae ;Asparagales
Liliales;;;;Erodiaceae; Geraniaceae ;Geraniales
Liliales;;;;Erycibaceae; Convolvulaceae ;Solanales
Liliales;;;;Eryngiaceae; Apiaceae ;Apiales
Liliales;;;;Erysimaceae; Brassicaceae ;Brassicales
Liliales;;;;Erythroniaceae; Liliaceae ;Liliales
Liliales;;;;Erythropalaceae ;;Santalales
Liliales;;;;Erythrospermaceae; Achariaceae ;Malpighiales
Liliales;;;;Erythroxylaceae ;;Malpighiales
Liliales;;;;Escalloniaceae ;;Escalloniales
Liliales;;;;Eschscholziaceae; Papaveraceae ;Ranunculales
Liliales;;;;Eucomidaceae; Asparagaceae ;Asparagales
Liliales;;;;Eucommiaceae ;;Garryales
Liliales;;;;Eucryphiaceae; Cunoniaceae ;Oxalidales
Liliales;;;;Eugeniaceae; Myrtaceae ;Myrtales
Liliales;;;;Euonymaceae; Celastraceae ;Celastrales
Liliales;;;;Eupatoriaceae; Asteraceae ;Asterales
Liliales;;;;Euphorbiaceae ;;Malpighiales
Liliales;;;;Euphrasiaceae; Orobanchaceae ;Lamiales
Liliales;;;;Euphroniaceae ;;Malpighiales
Liliales;;;;Eupomatiaceae ;;Magnoliales
Liliales;;;;Eupteleaceae ;;Ranunculales
Liliales;;;;Euryalaceae; Nymphaeaceae ;Nymphaeales
Liliales;;;;Eustrephaceae; Asparagaceae ;Asparagales
Liliales;;;;Euthemidaceae; Ochnaceae ;Malpighiales
Liliales;;;;Eutocaceae; Hydrophyllaceae ;Boraginales
Liliales;;;;Evolvulaceae; Convolvulaceae ;Solanales
Liliales;;;;Exbucklandiaceae; Hamamelidaceae ;Saxifragales
Liliales;;;;Exocarpaceae; Santalaceae ;Santalales
Liliales;;;;Fabaceae ;;Fabales
Liliales;;;;Fagaceae ;;Fagales
Liliales;;;;Falcatifoliaceae; Podocarpaceae ;Cupressales
Liliales;;;;Ferulaceae; Apiaceae ;Apiales
Liliales;;;;Festucaceae; Poaceae ;Poales
Liliales;;;;Ficaceae; Moraceae ;Rosales
Liliales;;;;Ficoidaceae; Aizoaceae ;Caryophyllales
Liliales;;;;Filicaceae; Dryopteridaceae ;Polypodiales-eupolypod I
Liliales;;;;Fitzroyaceae; Cupressaceae ;Cupressales
Liliales;;;;Flacourtiaceae; Salicaceae ;Malpighiales
Liliales;;;;Flagellariaceae ;;Poales
Liliales;;;;Flindersiaceae; Rutaceae ;Sapindales
Liliales;;;;Foetidiaceae; Lecythidaceae ;Ericales
Liliales;;;;Forestieraceae; Oleaceae ;Lamiales
Liliales;;;;Fothergillaceae; Hamamelidaceae ;Saxifragales
Liliales;;;;Fouquieriaceae ;;Ericales
Liliales;;;;Fragariaceae; Rosaceae ;Rosales
Liliales;;;;Francoaceae ;;Geraniales
Liliales;;;;Frangulaceae; Rhamnaceae ;Rosales
Liliales;;;;Frankeniaceae ;;Caryophyllales
Liliales;;;;Fraxinaceae; Oleaceae ;Lamiales
Liliales;;;;Fraxinellaceae; Rutaceae ;Sapindales
Liliales;;;;Freycinetiaceae; Pandanaceae ;Pandanales
Liliales;;;;Fritillariaceae; Liliaceae ;Liliales
Liliales;;;;Fuchsiaceae; Onagraceae ;Myrtales
Liliales;;;;Fumariaceae; Papaveraceae ;Ranunculales
Liliales;;;;Funkiaceae; Asparagaceae ;Asparagales
Liliales;;;;Gaiadendraceae ; Loranthaceae ;Santalales
Liliales;;;;Galacinaceae; Diapensiaceae ;Ericales
Liliales;;;;Galanthaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Galaxiaceae; Iridaceae ;Asparagales
Liliales;;;;Galedupaceae; Fabaceae ;Fabales
Liliales;;;;Galeniaceae; Aizoaceae ;Caryophyllales
Liliales;;;;Galiaceae; Rubiaceae ;Gentianales
Liliales;;;;Garciniaceae; Clusiaceae ;Malpighiales
Liliales;;;;Gardeniaceae; Rubiaceae ;Gentianales
Liliales;;;;Gardneriaceae; Loganiaceae ;Gentianales
Liliales;;;;Garryaceae ;;Garryales
Liliales;;;;Geissolomataceae ;;Crossosomatales
Liliales;;;;Geitonoplesiaceae; Asphodelaceae ;Asparagales
Liliales;;;;Gelsemiaceae ;;Gentianales
Liliales;;;;Geniostomataceae; Loganiaceae ;Gentianales
Liliales;;;;Gentianaceae ;;Gentianales
Liliales;;;;Geoffroeaceae; Fabaceae ;Fabales
Liliales;;;;Geonomataceae; Arecaceae ;Arecales
Liliales;;;;Geosiridaceae; Iridaceae ;Asparagales
Liliales;;;;Geraniaceae ;;Geraniales
Liliales;;;;Gerrardinaceae ;;Huerteales
Liliales;;;;Gesneriaceae ;;Lamiales
Liliales;;;;Gethyllidaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Gilliesiaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Ginalloaceae; Santalaceae ;Santalales
Liliales;;;;Ginkgoaceae ;;Ginkgoales
Liliales;;;;Gisekiaceae ;;Caryophyllales
Liliales;;;;Gladiolaceae; Iridaceae ;Asparagales
Liliales;;;;Glaucidiaceae; Ranunculaceae ;Ranunculales
Liliales;;;;Glechomaceae; Lamiaceae ;Lamiales
Liliales;;;;Gleicheniaceae ;;Gleicheniales
Liliales;;;;Glinaceae; Molluginaceae ;Caryophyllales
Liliales;;;;Globulariaceae; Plantaginaceae ;Lamiales
Liliales;;;;Glyceriaceae; Poaceae ;Poales
Liliales;;;;Gnaphaliaceae; Asteraceae ;Asterales
Liliales;;;;Gnetaceae ;;Gnetales
Liliales;;;;Gnidiaceae; Thymelaeaceae ;Malvales
Liliales;;;;Goetzeaceae; Solanaceae ;Solanales
Liliales;;;;Gomortegaceae ;;Laurales
Liliales;;;;Gomphiaceae; Ochnaceae ;Malpighiales
Liliales;;;;Gomphrenaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Gonystylaceae; Thymelaeaceae ;Malvales
Liliales;;;;Goodeniaceae ;;Asterales
Liliales;;;;Gordoniaceae; Theaceae ;Ericales
Liliales;;;;Gouaniaceae; Rhamnaceae ;Rosales
Liliales;;;;Goupiaceae ;;Malpighiales
Liliales;;;;Gramineae ;;Poales
Liliales;;;;Grammitidaceae; Polypodiaceae ;Polypodiales-eupolypod I
Liliales;;;;Gratiolaceae; Plantaginaceae ;Lamiales
Liliales;;;;Grewiaceae; Malvaceae ;Malvales
Liliales;;;;Greyiaceae; Francoaceae ;Geraniales
Liliales;;;;Grielaceae; Neuradaceae ;Malvales
Liliales;;;;Grindeliaceae; Asteraceae ;Asterales
Liliales;;;;Griseliniaceae ;;Apiales
Liliales;;;;Gronoviaceae; Loasaceae ;Cornales
Liliales;;;;Grossulariaceae ;;Saxifragales
Liliales;;;;Grubbiaceae ;;Cornales
Liliales;;;;Guaiacanaceae; Ebenaceae ;Ericales
Liliales;;;;Guamatelaceae ;;Crossosomatales
Liliales;;;;Guettardaceae; Rubiaceae ;Gentianales
Liliales;;;;Gunneraceae ;;Gunnerales
Liliales;;;;Gustaviaceae; Lecythidaceae ;Ericales
Liliales;;;;Guttiferae; Clusiaceae ;Malpighiales
Liliales;;;;Gymnogrammitidaceae; Polypodiaceae ;Polypodiales-eupolypod I
Liliales;;;;Gyrocarpaceae; Hernandiaceae ;Laurales
Liliales;;;;Gyrostemonaceae ;;Brassicales
Liliales;;;;Hachetteaceae ; Mystropetalaceae ;Santalales
Liliales;;;;Haemanthaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Haemodoraceae ;;Commelinales
Liliales;;;;Halesiaceae; Styracaceae ;Ericales
Liliales;;;;Halleriaceae; Stilbaceae ;Lamiales
Liliales;;;;Halocarpaceae; Podocarpaceae ;Cupressales
Liliales;;;;Halophilaceae; Hydrocharitaceae ;Alismatales
Liliales;;;;Halophytaceae ;;Caryophyllales
Liliales;;;;Haloragaceae ;;Saxifragales
Liliales;;;;Hamamelidaceae ;;Saxifragales
Liliales;;;;Hameliaceae; Rubiaceae ;Gentianales
Liliales;;;;Hanguanaceae ;;Commelinales
Liliales;;;;Haptanthaceae; Buxaceae;Buxales
Liliales;;;;Harmandiaceae; Aptandraceae ;Santalales
Liliales;;;;Hebenstretiaceae; Scrophulariaceae ;Lamiales
Liliales;;;;Hectorellaceae; Montiaceae ;Caryophyllales
Liliales;;;;Hederaceae; Araliaceae ;Apiales
Liliales;;;;Hedyosmaceae; Chloranthaceae ;Chloranthales
Liliales;;;;Hedyotidaceae; Rubiaceae ;Gentianales
Liliales;;;;Hedysaraceae; Fabaceae ;Fabales
Liliales;;;;Heisteriaceae; Erythropalaceae ;Santalales
Liliales;;;;Heleniaceae; Asteraceae ;Asterales
Liliales;;;;Heliamphoraceae; Sarraceniaceae ;Ericales
Liliales;;;;Helianthaceae; Asteraceae ;Asterales
Liliales;;;;Helianthemaceae; Cistaceae ;Malvales
Liliales;;;;Helichrysaceae; Asteraceae ;Asterales
Liliales;;;;Heliconiaceae ;;Zingiberales
Liliales;;;;Helicteraceae; Malvaceae ;Malvales
Liliales;;;;Heliotropiaceae ;;Boraginales
Liliales;;;;Helleboraceae; Ranunculaceae ;Ranunculales
Liliales;;;;Helmithostachyaceae; Ophioglossaceae ;Ophioglossales
Liliales;;;;Heloniadaceae; Melanthiaceae ;Liliales
Liliales;;;;Helosidaceae; Balanophoraceae ;Santalales
Liliales;;;;Helwingiaceae ;;Aquifoliales
Liliales;;;;Hemerocallidaceae; Asphodelaceae ;Asparagales
Liliales;;;;Hemidictyaceae ;;Polypodiales-eupolypod II
Liliales;;;;Hemionotidaceae; Pteridaceae ;Polypodiales
Liliales;;;;Hemimeridaceae; Scrophulariaceae ;Lamiales
Liliales;;;;Hemiphylacaceae; Asparagaceae ;Asparagales
Liliales;;;;Henriqueziaceae; Rubiaceae ;Gentianales
Liliales;;;;Henslowiaceae; Crypteroniaceae ;Myrtales
Liliales;;;;Hermanniaceae; Malvaceae ;Malvales
Liliales;;;;Hernandiaceae ;;Laurales
Liliales;;;;Herniariaceae; Caryophyllaceae ;Caryophyllales
Liliales;;;;Herreriaceae; Asparagaceae ;Asparagales
Liliales;;;;Hesperocallidaceae; Asparagaceae ;Asparagales
Liliales;;;;Heterantheraceae; Pontederiaceae ;Commelinales
Liliales;;;;Heteropyxidaceae; Myrtaceae ;Myrtales
Liliales;;;;Heterostylaceae; Juncaginaceae ;Alismatales
Liliales;;;;Hewardiaceae; Iridaceae ;Asparagales
Liliales;;;;Hibbertiaceae; Dilleniaceae ;Dilleniales
Liliales;;;;Hibiscaceae; Malvaceae ;Malvales
Liliales;;;;Hilleriaceae; Petiveriaceae ;Caryophyllales
Liliales;;;;Himantandraceae ;;Magnoliales
Liliales;;;;Hippocastanaceae; Sapindaceae ;Sapindales
Liliales;;;;Hippocrateaceae; Celastraceae ;Celastrales
Liliales;;;;Hippomanaceae; Euphorbiaceae ;Malpighiales
Liliales;;;;Hippophaeaceae; Elaeagnaceae ;Rosales
Liliales;;;;Hippuridaceae; Plantaginaceae ;Lamiales
Liliales;;;;Hirtellaceae; Chrysobalanaceae ;Malpighiales
Liliales;;;;Holacanthaceae; Simaroubaceae ;Sapindales
Liliales;;;;Holcaceae; Poaceae ;Poales
Liliales;;;;Homaliaceae; Salicaceae ;Malpighiales
Liliales;;;;Hopkinsiaceae; Restionaceae ;Poales
Liliales;;;;Hoplestigmataceae; Cordiaceae ;Boraginales
Liliales;;;;Hordeaceae; Poaceae ;Poales
Liliales;;;;Hornschuchiaceae; Annonaceae ;Magnoliales
Liliales;;;;Hortensiaceae; Hydrangeaceae ;Cornales
Liliales;;;;Hortoniaceae; Monimiaceae ;Laurales
Liliales;;;;Hostaceae; Asparagaceae ;Asparagales
Liliales;;;;Hottoniaceae; Primulaceae ;Ericales
Liliales;;;;Houstoniaceae; Rubiaceae ;Gentianales
Liliales;;;;Huaceae ;;Oxalidales
Liliales;;;;Huerteaceae; Tapisciaceae ;Huerteales
Liliales;;;;Hugoniaceae; Linaceae ;Malpighiales
Liliales;;;;Humbertiaceae; Convolvulaceae ;Solanales
Liliales;;;;Humiriaceae ;;Malpighiales
Liliales;;;;Humulaceae; Cannabaceae ;Rosales
Liliales;;;;Hyacinthaceae; Asparagaceae ;Asparagales
Liliales;;;;Hydatellaceae ;;Nymphaeales
Liliales;;;;Hydnoraceae; Aristolochiaceae ;Piperales
Liliales;;;;Hydrangeaceae ;;Cornales
Liliales;;;;Hydrastidaceae; Ranunculaceae ;Ranunculales
Liliales;;;;Hydrillaceae; Hydrocharitaceae ;Alismatales
Liliales;;;;Hydrocharitaceae ;;Alismatales
Liliales;;;;Hydroceraceae; Balsaminaceae ;Ericales
Liliales;;;;Hydrocotylaceae; Araliaceae ;Apiales
Liliales;;;;Hydrogetonaceae; Potamogetonaceae ;Alismatales
Liliales;;;;Hydroleaceae ;;Solanales
Liliales;;;;Hydropeltidaceae; Cabombaceae ;Nymphaeales
Liliales;;;;Hydrophylacaceae; Rubiaceae ;Gentianales
Liliales;;;;Hydrophyllaceae ;;Boraginales
Liliales;;;;Hydrostachyaceae ;;Cornales
Liliales;;;;Hymenocardiaceae; Phyllanthaceae ;Malpighiales
Liliales;;;;Hymenophyllaceae ;;Hymenophyllales
Liliales;;;;Hymenophyllopsidaceae; Cyatheaceae ;Cyatheales
Liliales;;;;Hyoscyamaceae; Solanaceae ;Solanales
Liliales;;;;Hypecoaceae; Papaveraceae ;Ranunculales
Liliales;;;;Hyperantheraceae; Moringaceae ;Brassicales
Liliales;;;;Hypericaceae ;;Malpighiales
Liliales;;;;Hypodematiaceae ;;Polypodiales-eupolypod I
Liliales;;;;Hypolepidaceae; Dennstaedtiaceae ;Polypodiales
Liliales;;;;Hypopityaceae; Ericaceae ;Ericales
Liliales;;;;Hypoxidaceae ;;Asparagales
Liliales;;;;Hypseocharitaceae; Geraniaceae ;Geraniales
Liliales;;;;Icacinaceae ;;Icacinales
Liliales;;;;Idiospermaceae; Calycanthaceae ;Laurales
Liliales;;;;Illecebraceae; Caryophyllaceae ;Caryophyllales
Liliales;;;;Ilicaceae; Aquifoliaceae ;Aquifoliales
Liliales;;;;Illiciaceae; Schisandraceae ;Austrobaileyales
Liliales;;;;Illigeraceae; Hernandiaceae ;Laurales
Liliales;;;;Impatientaceae; Balsaminaceae ;Ericales
Liliales;;;;Imperatoriaceae; Apiaceae ;Apiales
Liliales;;;;Inocarpaceae; Fabaceae ;Fabales
Liliales;;;;Inulaceae; Asteraceae ;Asterales
Liliales;;;;Iodaceae; Icacinaceae ;Icacinales
Liliales;;;;Ionidiaceae; Violaceae ;Malpighiales
Liliales;;;;Iriarteaceae; Arecaceae ;Arecales
Liliales;;;;Iridaceae ;;Asparagales
Liliales;;;;Irvingiaceae ;;Malpighiales
Liliales;;;;Isatidaceae; Brassicaceae ;Brassicales
Liliales;;;;Isnardiaceae; Onagraceae ;Myrtales
Liliales;;;;Isoëtaceae ;;Lycopodiales
Liliales;;;;Isophysidaceae; Iridaceae ;Asparagales
Liliales;;;;Iteaceae ;;Saxifragales
Liliales;;;;Ivaceae; Asteraceae ;Asterales
Liliales;;;;Ixerbaceae; Strasburgeriaceae ;Crossosomatales
Liliales;;;;Ixiaceae; Iridaceae ;Asparagales
Liliales;;;;Ixioliriaceae ;;Asparagales
Liliales;;;;Ixonanthaceae ;;Malpighiales
Liliales;;;;Jalapaceae ; Nyctaginaceae ;Caryophyllales
Liliales;;;;Jamboliferaceae; Rutaceae ;Sapindales
Liliales;;;;Japonoliriaceae; Petrosaviaceae ;Petrosaviales
Liliales;;;;Jasionaceae; Campanulaceae ;Asterales
Liliales;;;;Jasminiaceae; Oleaceae ;Lamiales
Liliales;;;;Johnsoniaceae; Asphodelaceae ;Asparagales
Liliales;;;;Joinvilleaceae ;;Poales
Liliales;;;;Juglandaceae ;;Fagales
Liliales;;;;Julianiaceae; Anacardiaceae ;Sapindales
Liliales;;;;Juncaceae ;;Poales
Liliales;;;;Juncaginaceae ;;Alismatales
Liliales;;;;Juniperaceae; Cupressaceae ;Cupressales
Liliales;;;;Jussiaeaceae; Onagraceae ;Myrtales
Liliales;;;;Justiciaceae; Acanthaceae ;Lamiales
Liliales;;;;Kadsuraceae ; Schisandraceae ;Austrobaileyales
Liliales;;;;Kaliphoraceae; Montiniaceae ;Solanales
Liliales;;;;Kalmiaceae; Ericaceae ;Ericales
Liliales;;;;Kaniaceae; Myrtaceae ;Myrtales
Liliales;;;;Kasicarpaceae ;;fossil_Sarbaicarpales_??near_Hamamelidales
Liliales;;;;Kewaceae ;;Caryophyllales
Liliales;;;;Kiggelariaceae; Achariaceae ;Malpighiales
Liliales;;;;Kingdoniaceae; Circaeasteraceae ;Ranunculales
Liliales;;;;Kingiaceae; Dasypogonaceae ;Arecales
Liliales;;;;Kirengeshomaceae; Hydrangeaceae ;Cornales
Liliales;;;;Kirkiaceae ;;Sapindales
Liliales;;;;Kobresiaceae; Cyperaceae ;Poales
Liliales;;;;Koeberliniaceae ;;Brassicales
Liliales;;;;Koelreuteriaceae; Sapindaceae ;Sapindales
Liliales;;;;Krameriaceae ;;Zygophyllales
Liliales;;;;Labiatae ;;Lamiales
Liliales;;;;Lacandoniaceae; Triuridaceae ;Pandanales
Liliales;;;;Lachenaliaceae; Asparagaceae ;Asparagales
Liliales;;;;Lacistemataceae ;;Malpighiales
Liliales;;;;Lactoridaceae; Aristolochiaceae ;Piperales
Liliales;;;;Lactucaceae; Asteraceae ;Asterales
Liliales;;;;Lagerstroemiaceae; Lythraceae ;Myrtales
Liliales;;;;Lagoeciaceae; Apiaceae ;Apiales
Liliales;;;;Laguraceae; Poaceae ;Poales
Liliales;;;;Lamiaceae ;;Lamiales
Liliales;;;;Lanariaceae ;;Asparagales
Liliales;;;;Langsdorffiaceae; Balanophoraceae ;Santalales
Liliales;;;;Lantanaceae; Verbenaceae ;Lamiales
Liliales;;;;Lapageriaceae; Philesiaceae ;Liliales
Liliales;;;;Lardizabalaceae ;;Ranunculales
Liliales;;;;Lasiaceae; Araceae ;Alismatales
Liliales;;;;Lasiopetalaceae; Malvaceae ;Malvales
Liliales;;;;Lauraceae ;;Laurales
Liliales;;;;Lawsoniaceae; Lythraceae ;Myrtales
Liliales;;;;Laxmanniaceae; Asparagaceae ;Asparagales
Liliales;;;;Lecythidaceae ;;Ericales
Liliales;;;;Ledaceae; Ericaceae ;Ericales
Liliales;;;;Ledocarpaceae; Francoaceae ;Geraniales
Liliales;;;;Leeaceae; Vitaceae ;Vitales
