Order;Family;Nr;;x;;
Liliales;Schlegeliaceae;23;;Androsynaceae; Tecophilaeaceae ;Asparagales
Liliales;Scrophulariaceae;2;;Anemarrhenaceae; Asparagaceae ;Asparagales
Liliales;Siparunaceae;6;;Anemiaceae ;;Schizaeales
Liliales;Smilacaceae;65;;Anemonaceae; Ranunculaceae ;Ranunculales
Liliales;Solanaceae;139;;Angelicaceae; Apiaceae ;Apiales
Liliales;Stegnospermataceae;1;;Angeloniaceae; Plantaginaceae ;Lamiales
Liliales;Symplocaceae;1;;Angiopteridaceae; Marattiaceae ;Marattiales
Liliales;Thymelaeaceae;2;;Anisophylleaceae ;;Cucurbitales
Liliales;Trigoniaceae;23;;Annonaceae ;;Magnoliales
Liliales;Tropaeolaceae;52;;Anomochloaceae; Poaceae ;Poales
Liliales;Urticaceae;8;;Anopteraceae; Escalloniaceae ;Escalloniales
Liliales;Verbenaceae;13;;Anopteridaceae; Pteridaceae ;Polypodiales
Liliales;Viburnaceae;1;;Anrederaceae; Basellaceae ;Caryophyllales
Liliales;Violaceae;12;;Anthemidaceae; Asteroideae ;Asterales
Liliales;Vitaceae;84;;Anthericaceae; Asparagaceae ;Asparagales
Liliales;;;;Anthobolaceae; Opiliaceae ;Santalales
Liliales;;;;Anthoxanthaceae; Poaceae ;Poales
Liliales;;;;Antidesmataceae; Phyllanthaceae ;Malpighiales
Liliales;;;;Antirrhinaceae; Plantaginaceae ;Lamiales
Liliales;;;;Antoniaceae; Loganiaceae ;Gentianales
Liliales;;;;Antrophyaceae; Pteridaceae ;Polypodiales
Liliales;;;;Aparinaceae; Rubiaceae ;Gentianales
Liliales;;;;Aphanopetalaceae ;;Saxifragales
Liliales;;;;Aphloiaceae ;;Crossosomatales
Liliales;;;;Aphyllanthaceae; Asparagaceae ;Asparagales
Liliales;;;;Apiaceae ;;Apiales
Liliales;;;;Apocynaceae ;;Gentianales
Liliales;;;;Apodanthaceae ;;Cucurbitales
Liliales;;;;Aponogetonaceae ;;Alismatales
Liliales;;;;Aporusaceae; Phyllanthaceae ;Malpighiales
Liliales;;;;Aposeridaceae; Asteraceae ;Asterales
Liliales;;;;Apostasiaceae; Orchidaceae ;Asparagales
Liliales;;;;Aptandraceae ;;Santalales
Liliales;;;;Aquifoliaceae ;;Aquifoliales
Liliales;;;;Aquilariaceae; Thymelaeaceae ;Malvales
Liliales;;;;Aquilegiaceae; Ranunculaceae ;Ranunculales
Liliales;;;;Araceae ;;Alismatales
Liliales;;;;Arabidaceae; Brassicaceae ;Brassicales
Liliales;;;;Aragoaceae; Plantaginaceae ;Lamiales
Liliales;;;;Araliaceae ;;Apiales
Liliales;;;;Aralidiaceae; Torricelliaceae ;Apiales
Liliales;;;;Araucariaceae ;;Cupressales
Liliales;;;;Arbutaceae; Ericaceae ;Ericales
Liliales;;;;Arceuthidaceae; Cupressaceae ;Cupressales
Liliales;;;;Arceuthobiaceae; Santalaceae ;Santalales
Liliales;;;;Arctostaphylaceae; Ericaceae ;Ericales
Liliales;;;;Arctotidaceae; Asteraceae ;Asterales
Liliales;;;;Ardisiaceae; Primulaceae ;Ericales
Liliales;;;;Arecaceae ;;Arecales
Liliales;;;;Argophyllaceae ;;Asterales
Liliales;;;;Arisaraceae; Araceae ;Alismatales
Liliales;;;;Aristolochiaceae ;;Piperales
Liliales;;;;Aristoteliaceae; Elaeocarpaceae ;Oxalidales
Liliales;;;;Arjonaceae; Schoepfiaceae ;Santalales
Liliales;;;;Armeriaceae; Plumbaginaceae ;Caryophyllales
Liliales;;;;Artemisiaceae; Asteraceae ;Asterales
Liliales;;;;Arthrotaxidaceae; Cupressaceae ;Cupressales
Liliales;;;;Artocarpaceae; Moraceae ;Rosales
Liliales;;;;Arundinaceae; Poaceae ;Poales
Liliales;;;;Arundinellaceae; Poaceae ;Poales
Liliales;;;;Asaraceae; Aristolochiaceae ;Piperales
Liliales;;;;Asclepiadaceae; Apocynaceae ;Gentianales
Liliales;;;;Ascyraceae; Hypericaceae ;Malpighiales
Liliales;;;;Aspalathaceae; Fabaceae ;Fabales
Liliales;;;;Asparagaceae ;;Asparagales
Liliales;;;;Asperellaceae; Poaceae ;Poales
Liliales;;;;Asperulaceae; Rubiaceae ;Gentianales
Liliales;;;;Asphodelaceae ;;Asparagales
Liliales;;;;Aspidiaceae; Dryopteridaceae ;Polypodiales-eupolypod I
Liliales;;;;Aspidistraceae; Asparagaceae ;Asparagales
Liliales;;;;Aspleniaceae ;;eupolypod II
Liliales;;;;Asteliaceae ;;Asparagales
Liliales;;;;Asteraceae ;;Asterales
Liliales;;;;Asteranthaceae; Lecythidaceae ;Ericales
Liliales;;;;Asteropeiaceae ;;Caryophyllales
Liliales;;;;Astragalaceae; Fabaceae ;Fabales
Liliales;;;;Astrocarpaceae; Resedaceae ;Brassicales
Liliales;;;;Athanasiaceae; Asteraceae ;Asterales
Liliales;;;;Atherospermataceae ;;Laurales
Liliales;;;;Athyriaceae ;;eupolypod II
Liliales;;;;Atriplicaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Atropaceae; Solanaceae ;Solanales
Liliales;;;;Aucubaceae; Garryaceae ;Garryales
Liliales;;;;Aurantiaceae; Rutaceae ;Sapindales
Liliales;;;;Austrobaileyaceae ;;Austrobaileyales
Liliales;;;;Austrotaxaceae; Taxaceae ;Cupressales
Liliales;;;;Avenaceae; Poaceae ;Poales
Liliales;;;;Averrhoaceae; Oxalidaceae ;Oxalidales
Liliales;;;;Avetraceae; Dioscoreaceae ;Dioscoreales
Liliales;;;;Avicenniaceae; Acanthaceae ;Lamiales
Liliales;;;;Azaleaceae; Ericaceae ;Ericales
Liliales;;;;Azimaceae; Salvadoraceae ;Brassicales
Liliales;;;;Azollaceae; Salviniaceae ;Marsileales
Liliales;;;;Balanitaceae ; Zygophyllaceae ;Zygophyllales
Liliales;;;;Baeckeaceae; Myrtaceae ;Myrtales
Liliales;;;;Balanopaceae ;;Malpighiales
