"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"20","Salacia juruana Loes.","34","5.696295","0.004333","0.000743","1e-06","Salacia juruana Loes.","34","7.760696","0.285477","0.048959","0.003434","Salacia juruana Loes.","34","7.194827","0.127445","0.021857","0.000319","Salacia juruana Loes.","34","9.811106","0.297645","0.051046","0.003579"
"21","Salacia kanukuensis A.C.Sm.","3","5.69748","0.003818","0.002204","1.2e-05","Salacia kanukuensis A.C.Sm.","3","7.465933","0.355976","0.205523","0.038913","Salacia kanukuensis A.C.Sm.","3","7.311562","0.133956","0.07734","0.003611","Salacia kanukuensis A.C.Sm.","3","9.439412","0.429642","0.248054","0.040561"
"22","Salacia krigsneri Lombardi","1","5.697261",NA,NA,"3.6e-05","Salacia krigsneri Lombardi","1","7.109062",NA,NA,"0.116739","Salacia krigsneri Lombardi","1","7.211557",NA,NA,"0.010833","Salacia krigsneri Lombardi","1","9.09762",NA,NA,"0.121683"
"23","Salacia maburensis Mennega","4","5.699188","0.001351","0.000676","9e-06","Salacia maburensis Mennega","4","7.51395","0.261095","0.130548","0.029185","Salacia maburensis Mennega","4","7.364917","0.016686","0.008343","0.002708","Salacia maburensis Mennega","4","9.416556","0.1147","0.05735","0.030421"
"24","Salacia macrantha A.C.Sm.","50","5.695744","0.005176","0.000732","1e-06","Salacia macrantha A.C.Sm.","50","7.763165","0.419379","0.059309","0.002335","Salacia macrantha A.C.Sm.","50","7.184734","0.116795","0.016517","0.000217","Salacia macrantha A.C.Sm.","50","9.79749","0.365023","0.051622","0.002434"
"25","Salacia macrocremastra Lombardi","2","5.686458","0.005756","0.00407","1.8e-05","Salacia macrocremastra Lombardi","2","8.000208","0.201847","0.142727","0.05837","Salacia macrocremastra Lombardi","2","7.34667","0.0351","0.024819","0.005416","Salacia macrocremastra Lombardi","2","9.694603","0.030278","0.02141","0.060842"
"26","Salacia mennegana Lombardi","2","5.697256","0.004745","0.003355","1.8e-05","Salacia mennegana Lombardi","2","8.205677","0.468555","0.331318","0.05837","Salacia mennegana Lombardi","2","7.376664","0.043351","0.030654","0.005416","Salacia mennegana Lombardi","2","9.908034","0.15504","0.10963","0.060842"
"27","Salacia miqueliana Loes.","7","5.699176","0.001482","0.00056","5e-06","Salacia miqueliana Loes.","7","7.836182","0.277446","0.104865","0.016677","Salacia miqueliana Loes.","7","7.357731","0.025647","0.009694","0.001548","Salacia miqueliana Loes.","7","9.703172","0.099316","0.037538","0.017383"
"28","Salacia negrensis Lombardi","7","5.699222","0.002266","0.000856","5e-06","Salacia negrensis Lombardi","7","7.904646","0.17037","0.064394","0.016677","Salacia negrensis Lombardi","7","7.284299","0.085158","0.032187","0.001548","Salacia negrensis Lombardi","7","9.79539","0.198369","0.074976","0.017383"
"29","Salacia nemorosa Lombardi","1","5.68375",NA,NA,"3.6e-05","Salacia nemorosa Lombardi","1","7.44132",NA,NA,"0.116739","Salacia nemorosa Lombardi","1","7.126087",NA,NA,"0.010833","Salacia nemorosa Lombardi","1","9.266721",NA,NA,"0.121683"
