"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"20","Salacia juruana Loes.","34","24.614706","1.284201","0.220239","0.091417","Salacia juruana Loes.","34","2442.294118","722.948279","123.984607","15954.297806","Salacia juruana Loes.","34","1343.264706","176.301276","30.235419","697.342134","Salacia juruana Loes.","34","19035.352941","5764.270744","988.564277","748329.325098"
"21","Salacia kanukuensis A.C.Sm.","3","24.966667","1.137248","0.65659","1.036064","Salacia kanukuensis A.C.Sm.","3","1824.333333","666.476056","384.79013","180815.375131","Salacia kanukuensis A.C.Sm.","3","1506.333333","196.207373","113.28038","7903.210855","Salacia kanukuensis A.C.Sm.","3","13408.666667","6101.915218","3522.942394","8481065.684447"
"22","Salacia krigsneri Lombardi","1","24.9",NA,NA,"3.108191","Salacia krigsneri Lombardi","1","1223",NA,NA,"542446.125393","Salacia krigsneri Lombardi","1","1355",NA,NA,"23709.632564","Salacia krigsneri Lombardi","1","8934",NA,NA,"25443197.05334"
"23","Salacia maburensis Mennega","4","25.475","0.403113","0.201556","0.777048","Salacia maburensis Mennega","4","1884.5","545.984432","272.992216","135611.531348","Salacia maburensis Mennega","4","1579.75","26.399179","13.19959","5927.408141","Salacia maburensis Mennega","4","12351","1416.895903","708.447952","6360799.263335"
"24","Salacia macrantha A.C.Sm.","50","24.452","1.528136","0.216111","0.062164","Salacia macrantha A.C.Sm.","50","2546.26","962.375013","136.10038","10848.922508","Salacia macrantha A.C.Sm.","50","1328.2","161.026934","22.772647","474.192651","Salacia macrantha A.C.Sm.","50","19112","6355.581301","898.814927","508863.941067"
"25","Salacia macrocremastra Lombardi","2","21.7","1.697056","1.2","1.554095","Salacia macrocremastra Lombardi","2","3012","603.869191","427","271223.062696","Salacia macrocremastra Lombardi","2","1551.5","54.447222","38.5","11854.816282","Salacia macrocremastra Lombardi","2","16233.5","491.439213","347.5","12721598.52667"
"26","Salacia mennegana Lombardi","2","24.9","1.414214","1","1.554095","Salacia mennegana Lombardi","2","3864.5","1747.260856","1235.5","271223.062696","Salacia mennegana Lombardi","2","1599","69.296465","49","11854.816282","Salacia mennegana Lombardi","2","20212","3121.169332","2207","12721598.52667"
"27","Salacia miqueliana Loes.","7","25.471429","0.442396","0.16721","0.444027","Salacia miqueliana Loes.","7","2624.571429","847.283081","320.242903","77492.303628","Salacia miqueliana Loes.","7","1568.714286","40.023802","15.127575","3387.090366","Salacia miqueliana Loes.","7","16442.285714","1757.376616","664.225927","3634742.436191"
"28","Salacia negrensis Lombardi","7","25.485714","0.676827","0.255817","0.444027","Salacia negrensis Lombardi","7","2744.142857","475.804382","179.837152","77492.303628","Salacia negrensis Lombardi","7","1461.857143","127.911986","48.346186","3387.090366","Salacia negrensis Lombardi","7","18244","3434.271344","1298.032559","3634742.436191"
"29","Salacia nemorosa Lombardi","1","20.9",NA,NA,"3.108191","Salacia nemorosa Lombardi","1","1705",NA,NA,"542446.125393","Salacia nemorosa Lombardi","1","1244",NA,NA,"23709.632564","Salacia nemorosa Lombardi","1","10580",NA,NA,"25443197.05334"
"30","Salacia ulei Loes.","12","25.166667","0.445856","0.128708","0.259016","Salacia ulei Loes.","12","2840","633.104472","182.761519","45203.843783","Salacia ulei Loes.","12","1216.916667","41.685965","12.033702","1975.802714","Salacia ulei Loes.","12","22442.25","4044.267438","1167.479447","2120266.421112"
"31","Salacia wrightii Urb.","1","25.6",NA,NA,"3.108191","Salacia wrightii Urb.","1","1492",NA,NA,"542446.125393","Salacia wrightii Urb.","1","1914",NA,NA,"23709.632564","Salacia wrightii Urb.","1","6351",NA,NA,"25443197.05334"
"32","Tontelea attenuata Miers","60","24.466667","1.692422","0.218491","0.051803","Tontelea attenuata Miers","60","2662.916667","922.894512","119.145169","9040.768757","Tontelea attenuata Miers","60","1356.233333","148.390617","19.157146","395.160543","Tontelea attenuata Miers","60","19765.883333","6727.154661","868.471932","424053.284222"
"33","Tontelea emarginata A.C.Sm.","22","24.072727","1.598565","0.340815","0.141281","Tontelea emarginata A.C.Sm.","22","2635.409091","1246.194881","265.689641","24656.642063","Tontelea emarginata A.C.Sm.","22","1412.5","186.789352","39.823624","1077.710571","Tontelea emarginata A.C.Sm.","22","19327.318182","10000.34732","2132.081212","1156508.95697"
