"","species","temp","prec","pet","aridity","lon","lat"
"1","Hidalgoa ternata La Llave",230,2288,1437,13855,-97.308889,20.008889
"2","Hidalgoa ternata La Llave",258,2452,1769,16110,-94.368639,18.108417
"3","Hidalgoa ternata La Llave",182,4269,1656,30541,-91.305278,15.939722
"4","Hidalgoa ternata La Llave",267,2567,1821,17846,-92.803056,17.543056
"5","Hidalgoa ternata La Llave",229,2989,1669,12033,-95.06981,18.47414
"6","Hidalgoa ternata La Llave",256,2508,1655,22086,-94.613333,17.256389
"7","Hidalgoa ternata La Llave",263,2577,1754,15750,-93.383889,17.651944
"8","Hidalgoa ternata La Llave",237,3932,1650,20088,-96.508333,17.958333
"9","Hidalgoa ternata La Llave",258,2511,1732,16087,-95.04736,17.1764
"10","Hidalgoa ternata La Llave",234,3310,1684,12511,-95.059722,18.489167
"11","Hidalgoa ternata La Llave",257,2943,1724,24614,-93.112222,17.421111
"12","Hidalgoa ternata La Llave",192,1867,1585,8972,-92.81,17.0167
"13","Hidalgoa ternata La Llave",155,1427,1330,10673,-97.05,19.45
"14","Hidalgoa ternata La Llave",227,1270,1725,8303,-92.117778,15.478333
"15","Hidalgoa ternata La Llave",192,1406,1461,13002,-96.935278,18.968333
"16","Hidalgoa uspanapa B.L.Turner",259,2174,1729,17845,-94.166667,17.2
"17","Tropaeolum adpressum Hughes",97,1185,915,14822,-78.5,-2.18333
"18","Tropaeolum adpressum Hughes",207,1671,1127,24678,-77.4089,0.3039
"19","Tropaeolum adpressum Hughes",175,1622,1139,20192,-77.73333,-0.23333
"20","Tropaeolum adpressum Hughes",190,1480,1243,15418,-78.625,0.116667
"21","Tropaeolum adpressum Hughes",142,1497,1239,9407,-78.71666,-0.45
"22","Tropaeolum adpressum Hughes",169,2244,1195,13150,-77.874167,1.153333
"23","Tropaeolum adpressum Hughes",207,3588,1233,32948,-76.605278,1.124444
"24","Tropaeolum asplundii Sparre",184,1581,1267,11482,-78.1,0.9
"25","Tropaeolum brideanum Sparre",196,1827,1251,13592,-78.435278,-3.578611
"26","Tropaeolum capillare Buchenau",152,1134,1661,4891,-64.28833,-21.78444
"27","Tropaeolum capillare Buchenau",200,693,1701,4471,-64.0075,-20.363611
"28","Tropaeolum cochabambae Buchenau",139,1208,1396,7453,-68.76666,-15.30972
"29","Tropaeolum cochabambae Buchenau",120,1039,1545,4445,-64.79777,-17.78111
"30","Tropaeolum cochabambae Buchenau",144,2131,1311,10925,-72.5,-12.5
"31","Tropaeolum cochabambae Buchenau",183,3275,1253,17626,-70.9,-13.416667
"32","Tropaeolum cochabambae Buchenau",143,592,1815,3618,-66.166667,-17.416667
"33","Tropaeolum curvirostre Sparre",137,898,1212,11128,-74.261193,4.477207
"34","Tropaeolum cuspidatum Buchenau",116,926,1306,7751,-69.02111,-14.78666
"35","Tropaeolum cuspidatum Buchenau",117,1598,1247,7722,-72.244444,-12.622778
"36","Tropaeolum cuspidatum Buchenau",134,1432,1438,6771,-67.783333,-16.266667
"37","Tropaeolum cuspidatum Buchenau",131,1631,1506,7771,-65.8766,-17.1975
"38","Tropaeolum cuspidatum Buchenau",136,1186,1321,6752,-67.916667,-16.25
"39","Tropaeolum cuspidatum Buchenau",186,1187,1646,7253,-67.72722,-16.18889
"40","Tropaeolum cuspidatum Buchenau",191,1130,1409,9715,-68.4172,-14.72
"41","Tropaeolum deckerianum Moritzi & Karst.",144,1581,1270,14698,-72.673056,5.747333
"42","Tropaeolum deckerianum Moritzi & Karst.",226,2801,1532,21109,-76.4,6.75
"43","Tropaeolum deckerianum Moritzi & Karst.",163,1521,1278,10560,-72.531389,7.423333
"44","Tropaeolum deckerianum Moritzi & Karst.",153,1157,1011,13566,-77.534444,0.516945
"45","Tropaeolum deckerianum Moritzi & Karst.",113,1641,1377,7595,-70.2,9.2167
"46","Tropaeolum deckerianum Moritzi & Karst.",117,2098,1289,19450,-76.07559,6.42252
"47","Tropaeolum deckerianum Moritzi & Karst.",163,1539,1187,15584,-76.06666,2.21666
