"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Mutisia alata Hieron.","2","5.648782","0.007969","0.005635","4e-05","Mutisia alata Hieron.","2","6.861259","0.479653","0.339166","0.073516","Mutisia alata Hieron.","2","6.934132","0.1039","0.073468","0.006117","Mutisia alata Hieron.","2","9.106056","0.391704","0.276977","0.080246"
"2","Mutisia anderssonii Sodiro ex Hieron.","3","5.636851","0.007631","0.004406","2.7e-05","Mutisia anderssonii Sodiro ex Hieron.","3","7.210344","0.500735","0.289099","0.049011","Mutisia anderssonii Sodiro ex Hieron.","3","6.896504","0.243994","0.14087","0.004078","Mutisia anderssonii Sodiro ex Hieron.","3","9.224246","0.562873","0.324975","0.053497"
"3","Mutisia campanulata Less.","7","5.672344","0.007108","0.002687","1.1e-05","Mutisia campanulata Less.","7","7.405277","0.164691","0.062247","0.021005","Mutisia campanulata Less.","7","7.090678","0.079738","0.030138","0.001748","Mutisia campanulata Less.","7","9.458331","0.162288","0.061339","0.022927"
"4","Mutisia coccinea A.St.-Hil.","12","5.681022","0.008338","0.002407","7e-06","Mutisia coccinea A.St.-Hil.","12","7.205029","0.182675","0.052734","0.012253","Mutisia coccinea A.St.-Hil.","12","7.194858","0.104534","0.030176","0.00102","Mutisia coccinea A.St.-Hil.","12","9.27396","0.198139","0.057198","0.013374"
"5","Mutisia friesiana Cabrera","2","5.632095","0.00709","0.005013","4e-05","Mutisia friesiana Cabrera","2","5.570293","0.150559","0.106461","0.073516","Mutisia friesiana Cabrera","2","7.547661","0.104686","0.074024","0.006117","Mutisia friesiana Cabrera","2","6.85468","0.096115","0.067964","0.080246"
"6","Mutisia hamata Reiche","3","5.629215","0.008481","0.004897","2.7e-05","Mutisia hamata Reiche","3","5.41436","0.620661","0.358339","0.049011","Mutisia hamata Reiche","3","7.549583","0.024613","0.01421","0.004078","Mutisia hamata Reiche","3","7.031575","0.447706","0.258483","0.053497"
"7","Mutisia intermedia Hieron.","1","5.637465",NA,NA,"8e-05","Mutisia intermedia Hieron.","1","6.791221",NA,NA,"0.147033","Mutisia intermedia Hieron.","1","6.769642",NA,NA,"0.012234","Mutisia intermedia Hieron.","1","9.466145",NA,NA,"0.160492"
"8","Mutisia lanata Ruiz & Pav.","19","5.654282","0.012974","0.002976","4e-06","Mutisia lanata Ruiz & Pav.","19","6.932862","0.639199","0.146642","0.007739","Mutisia lanata Ruiz & Pav.","19","7.259496","0.118618","0.027213","0.000644","Mutisia lanata Ruiz & Pav.","19","8.683211","0.425337","0.097579","0.008447"
"9","Mutisia lanigera Wedd.","1","5.621306",NA,NA,"8e-05","Mutisia lanigera Wedd.","1","5.32301",NA,NA,"0.147033","Mutisia lanigera Wedd.","1","7.323831",NA,NA,"0.012234","Mutisia lanigera Wedd.","1","7.506042",NA,NA,"0.160492"
"10","Mutisia lehmannii Hieron.","1","5.637108",NA,NA,"8e-05","Mutisia lehmannii Hieron.","1","6.526495",NA,NA,"0.147033","Mutisia lehmannii Hieron.","1","6.771936",NA,NA,"0.012234","Mutisia lehmannii Hieron.","1","9.50718",NA,NA,"0.160492"
