"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Mutisia alata Hieron.","2","10.8","2.262742","1.6","3.446079","Mutisia alata Hieron.","2","1010","466.690476","330","276157.700674","Mutisia alata Hieron.","2","1029.5","106.773124","75.5","13587.46165","Mutisia alata Hieron.","2","9357.5","3574.424779","2527.5","13238272.328537"
"2","Mutisia anderssonii Sodiro ex Hieron.","3","7.433333","2.138535","1.234684","2.297386","Mutisia anderssonii Sodiro ex Hieron.","3","1473.666667","755.621819","436.258461","184105.133783","Mutisia anderssonii Sodiro ex Hieron.","3","1009.333333","258.643255","149.327753","9058.307767","Mutisia anderssonii Sodiro ex Hieron.","3","11122.666667","5067.390091","2925.659033","8825514.885691"
"3","Mutisia campanulata Less.","7","17.571429","2.063746","0.780023","0.984594","Mutisia campanulata Less.","7","1664.571429","290.156198","109.668734","78902.200193","Mutisia campanulata Less.","7","1204","96.112781","36.327217","3882.1319","Mutisia campanulata Less.","7","12963.714286","2185.51319","826.046341","3782363.522439"
"4","Mutisia coccinea A.St.-Hil.","12","20.108333","2.43365","0.702534","0.574347","Mutisia coccinea A.St.-Hil.","12","1369.416667","297.077418","85.758864","46026.283446","Mutisia coccinea A.St.-Hil.","12","1339.166667","137.622562","39.728212","2264.576942","Mutisia coccinea A.St.-Hil.","12","10856.25","2255.547308","651.120423","2206378.721423"
"5","Mutisia friesiana Cabrera","2","6.1","1.979899","1.4","3.446079","Mutisia friesiana Cabrera","2","264","39.59798","28","276157.700674","Mutisia friesiana Cabrera","2","1901.5","198.697006","140.5","13587.46165","Mutisia friesiana Cabrera","2","950.5","91.216775","64.5","13238272.328537"
"6","Mutisia hamata Reiche","3","5.3","2.357965","1.361372","2.297386","Mutisia hamata Reiche","3","257.666667","173.116531","99.948876","184105.133783","Mutisia hamata Reiche","3","1900.333333","46.608297","26.909313","9058.307767","Mutisia hamata Reiche","3","1211","550.711358","317.953351","8825514.885691"
"7","Mutisia intermedia Hieron.","1","7.6",NA,NA,"6.892158","Mutisia intermedia Hieron.","1","890",NA,NA,"552315.401348","Mutisia intermedia Hieron.","1","871",NA,NA,"27174.923301","Mutisia intermedia Hieron.","1","12915",NA,NA,"26476544.657074"
"8","Mutisia lanata Ruiz & Pav.","19","12.384211","3.696434","0.84802","0.362745","Mutisia lanata Ruiz & Pav.","19","1173.526316","508.039518","116.552259","29069.23165","Mutisia lanata Ruiz & Pav.","19","1430.947368","167.120207","38.340005","1430.259121","Mutisia lanata Ruiz & Pav.","19","6362.368421","2311.34776","530.259543","1393502.350372"
"9","Mutisia lanigera Wedd.","1","3.1",NA,NA,"6.892158","Mutisia lanigera Wedd.","1","205",NA,NA,"552315.401348","Mutisia lanigera Wedd.","1","1516",NA,NA,"27174.923301","Mutisia lanigera Wedd.","1","1819",NA,NA,"26476544.657074"
"10","Mutisia lehmannii Hieron.","1","7.5",NA,NA,"6.892158","Mutisia lehmannii Hieron.","1","683",NA,NA,"552315.401348","Mutisia lehmannii Hieron.","1","873",NA,NA,"27174.923301","Mutisia lehmannii Hieron.","1","13456",NA,NA,"26476544.657074"
"11","Mutisia mandoniana Wedd. ex Cabrera","4","11.125","8.384261","4.192131","1.72304","Mutisia mandoniana Wedd. ex Cabrera","4","1357.75","381.375034","190.687517","138078.850337","Mutisia mandoniana Wedd. ex Cabrera","4","1364.75","181.975044","90.987522","6793.730825","Mutisia mandoniana Wedd. ex Cabrera","4","10074.75","6016.906258","3008.453129","6619136.164268"
"12","Mutisia mathewsii Hook. & Arn.","3","11.5","12.297967","7.100235","2.297386","Mutisia mathewsii Hook. & Arn.","3","1161.333333","542.883351","313.433849","184105.133783","Mutisia mathewsii Hook. & Arn.","3","1201","320.157774","184.843177","9058.307767","Mutisia mathewsii Hook. & Arn.","3","9900.333333","3713.746671","2144.13264","8825514.885691"
"13","Mutisia microphylla Willd. ex DC.","1","7.2",NA,NA,"6.892158","Mutisia microphylla Willd. ex DC.","1","1066",NA,NA,"552315.401348","Mutisia microphylla Willd. ex DC.","1","918",NA,NA,"27174.923301","Mutisia microphylla Willd. ex DC.","1","10648",NA,NA,"26476544.657074"
"14","Mutisia pulcherrima Muschl.","1","11.4",NA,NA,"6.892158","Mutisia pulcherrima Muschl.","1","1437",NA,NA,"552315.401348","Mutisia pulcherrima Muschl.","1","1235",NA,NA,"27174.923301","Mutisia pulcherrima Muschl.","1","9781",NA,NA,"26476544.657074"
"15","Mutisia stuebelii Hieron.","1","11.7",NA,NA,"6.892158","Mutisia stuebelii Hieron.","1","1774",NA,NA,"552315.401348","Mutisia stuebelii Hieron.","1","1117",NA,NA,"27174.923301","Mutisia stuebelii Hieron.","1","16110",NA,NA,"26476544.657074"
"16","Mutisia venusta S.F.Blake","3","13.133333","1.357694","0.783865","2.297386","Mutisia venusta S.F.Blake","3","1374","890.389241","514.066468","184105.133783","Mutisia venusta S.F.Blake","3","1385.333333","186.934035","107.926415","9058.307767","Mutisia venusta S.F.Blake","3","8930","1740.496768","1004.876278","8825514.885691"
"17","Mutisia wurdackii Cabrera","2","17.25","1.202082","0.85","3.446079","Mutisia wurdackii Cabrera","2","949.5","62.932504","44.5","276157.700674","Mutisia wurdackii Cabrera","2","1280","12.727922","9","13587.46165","Mutisia wurdackii Cabrera","2","7442","4.242641","3","13238272.328537"
"18","Antigonon flavescens S.Watson","26","24.942308","3.027761","0.593793","0.265083","Antigonon flavescens S.Watson","26","1078.269231","391.017601","76.684861","21242.900052","Antigonon flavescens S.Watson","26","1866.307692","136.467071","26.763395","1045.189358","Antigonon flavescens S.Watson","26","6111.076923","1890.132883","370.685556","1018328.640657"
"19","Antigonon guatimalense Meisn.","9","25.311111","1.98774","0.66258","0.765795","Antigonon guatimalense Meisn.","9","1269.111111","566.400575","188.800192","61368.377928","Antigonon guatimalense Meisn.","9","1883.333333","98.671171","32.89039","3019.435922","Antigonon guatimalense Meisn.","9","8143.222222","3429.361448","1143.120483","2941838.29523"
"20","Apodanthera argentea Cogn.","3","20.533333","4.062429","2.345444","2.297386","Apodanthera argentea Cogn.","3","1718","373.486278","215.632403","184105.133783","Apodanthera argentea Cogn.","3","1266","99.714593","57.570247","9058.307767","Apodanthera argentea Cogn.","3","11869","3945.706908","2278.054945","8825514.885691"
"21","Apodanthera biflora Cogn.","2","14.8","14.142136","10","3.446079","Apodanthera biflora Cogn.","2","693","166.8772","118","276157.700674","Apodanthera biflora Cogn.","2","1098","444.063059","314","13587.46165","Apodanthera biflora Cogn.","2","6213.5","4831.660636","3416.5","13238272.328537"
"22","Apodanthera congestiflora Cogn.","20","25.18","1.38016","0.308613","0.344608","Apodanthera congestiflora Cogn.","20","693.75","137.754501","30.802843","27615.770067","Apodanthera congestiflora Cogn.","20","1657.2","134.155683","29.998123","1358.746165","Apodanthera congestiflora Cogn.","20","4039.6","881.247883","197.053017","1323827.232854"
"23","Apodanthera crispa Cogn.","5","18.42","1.316055","0.588558","1.378432","Apodanthera crispa Cogn.","5","601.2","259.939801","116.248613","110463.08027","Apodanthera crispa Cogn.","5","1947.8","114.451737","51.184373","5434.98466","Apodanthera crispa Cogn.","5","3223.2","1381.016184","617.609213","5295308.931415"
"24","Apodanthera eriocalyx Cogn.","1","25.7",NA,NA,"6.892158","Apodanthera eriocalyx Cogn.","1","1760",NA,NA,"552315.401348","Apodanthera eriocalyx Cogn.","1","1366",NA,NA,"27174.923301","Apodanthera eriocalyx Cogn.","1","13308",NA,NA,"26476544.657074"
