"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Desmoncus chinantlensis Liebm. ex Mart.","20","25.135","1.241932","0.277704","0.103069","Desmoncus chinantlensis Liebm. ex Mart.","20","1967.05","623.130169","139.336142","35649.033038","Desmoncus chinantlensis Liebm. ex Mart.","20","1767.1","109.383873","24.458978","1284.433692","Desmoncus chinantlensis Liebm. ex Mart.","20","12015","4204.635888","940.185167","1959661.294691"
"2","Desmoncus cirrhifer A.H.Gentry & Zardini","15","23.686667","4.669027","1.205538","0.137425","Desmoncus cirrhifer A.H.Gentry & Zardini","15","4551.333333","2051.903565","529.799222","47532.04405","Desmoncus cirrhifer A.H.Gentry & Zardini","15","1340.933333","242.103126","62.510758","1712.578256","Desmoncus cirrhifer A.H.Gentry & Zardini","15","28755","12066.425107","3115.537566","2612881.726254"
"3","Desmoncus giganteus A.J.Hend.","22","24.645455","0.436138","0.092985","0.093699","Desmoncus giganteus A.J.Hend.","22","3041.772727","683.889711","145.805776","32408.211852","Desmoncus giganteus A.J.Hend.","22","1238","92.965431","19.820296","1167.666993","Desmoncus giganteus A.J.Hend.","22","23874","5356.676937","1142.04736","1781510.267901"
"4","Desmoncus horridus Splitg. ex Mart.","5","25.74","0.350714","0.156844","0.412276","Desmoncus horridus Splitg. ex Mart.","5","2222.8","684.85159","306.274942","142596.13215","Desmoncus horridus Splitg. ex Mart.","5","1503.8","182.911727","81.800611","5137.734767","Desmoncus horridus Splitg. ex Mart.","5","14910.8","5877.78608","2628.625846","7838645.178763"
"5","Desmoncus interjectus A.J.Hend.","2","24.55","0.353553","0.25","1.030689","Desmoncus interjectus A.J.Hend.","2","3697.5","14.849242","10.5","356490.330376","Desmoncus interjectus A.J.Hend.","2","1220","11.313708","8","12844.336918","Desmoncus interjectus A.J.Hend.","2","25237","1166.726189","825","19596612.946907"
"6","Desmoncus latisectus Burret","6","25.516667","0.160208","0.065405","0.343563","Desmoncus latisectus Burret","6","1760.666667","93.86089","38.318548","118830.110125","Desmoncus latisectus Burret","6","1405.833333","65.505471","26.742497","4281.445639","Desmoncus latisectus Burret","6","12107.5","747.252501","305.064556","6532204.315636"
"7","Desmoncus leptoclonos Drude","6","25.2","1.062073","0.433589","0.343563","Desmoncus leptoclonos Drude","6","1486.333333","95.021401","38.792325","118830.110125","Desmoncus leptoclonos Drude","6","1586.5","42.674348","17.42173","4281.445639","Desmoncus leptoclonos Drude","6","9812","635.186587","259.313838","6532204.315636"
"8","Desmoncus longifolius Mart.","2","25.4","0.424264","0.3","1.030689","Desmoncus longifolius Mart.","2","2296.5","758.725576","536.5","356490.330376","Desmoncus longifolius Mart.","2","1269","137.178716","97","12844.336918","Desmoncus longifolius Mart.","2","19866.5","9275.119649","6558.5","19596612.946907"
"9","Desmoncus loretanus A.J.Hend.","1","25.1",NA,NA,"2.061378","Desmoncus loretanus A.J.Hend.","1","2902",NA,NA,"712980.660752","Desmoncus loretanus A.J.Hend.","1","1111",NA,NA,"25688.673836","Desmoncus loretanus A.J.Hend.","1","26391",NA,NA,"39193225.893814"
"10","Desmoncus madrensis A.J.Hend.","3","24.833333","0.208167","0.120185","0.687126","Desmoncus madrensis A.J.Hend.","3","1931","680.222758","392.726792","237660.220251","Desmoncus madrensis A.J.Hend.","3","1361.666667","9.291573","5.364492","8562.891279","Desmoncus madrensis A.J.Hend.","3","18980.666667","938.659328","541.935216","13064408.631271"
