"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Herreria glaziovii Lecomte","13","5.692389","0.004385","0.001216","6e-06","Herreria glaziovii Lecomte","13","6.932779","0.273922","0.075972","0.010724","Herreria glaziovii Lecomte","13","7.281671","0.087668","0.024315","0.000872","Herreria glaziovii Lecomte","13","8.777855","0.333805","0.092581","0.011639"
"2","Herreria grandiflora Griseb.","2","5.692865","0.010008","0.007077","3.7e-05","Herreria grandiflora Griseb.","2","6.922327","0.211066","0.149246","0.069706","Herreria grandiflora Griseb.","2","7.400125","0.066529","0.047043","0.005669","Herreria grandiflora Griseb.","2","8.697705","0.484786","0.342795","0.075653"
"3","Herreria latifolia Woodson","4","5.69684","0.002077","0.001038","1.8e-05","Herreria latifolia Woodson","4","7.080748","0.211767","0.105884","0.034853","Herreria latifolia Woodson","4","7.445136","0.076267","0.038134","0.002834","Herreria latifolia Woodson","4","8.921692","0.295077","0.147538","0.037827"
"4","Herreria montevidensis Klotzsch ex Griseb.","20","5.690438","0.010922","0.002442","4e-06","Herreria montevidensis Klotzsch ex Griseb.","20","6.897554","0.284507","0.063618","0.006971","Herreria montevidensis Klotzsch ex Griseb.","20","7.449108","0.082347","0.018413","0.000567","Herreria montevidensis Klotzsch ex Griseb.","20","8.633848","0.3835","0.085753","0.007565"
"5","Lescaillea equisetiformis Griseb.","1","5.696926",NA,NA,"7.4e-05","Lescaillea equisetiformis Griseb.","1","7.163172",NA,NA,"0.139413","Lescaillea equisetiformis Griseb.","1","7.429521",NA,NA,"0.011337","Lescaillea equisetiformis Griseb.","1","9.061608",NA,NA,"0.151306"
"6","Mikania acuminata DC.","13","5.677456","0.006839","0.001897","6e-06","Mikania acuminata DC.","13","7.385421","0.249611","0.06923","0.010724","Mikania acuminata DC.","13","7.194259","0.084879","0.023541","0.000872","Mikania acuminata DC.","13","9.316503","0.192814","0.053477","0.011639"
"7","Mikania additicia B.L.Rob.","3","5.66483","0.010717","0.006187","2.5e-05","Mikania additicia B.L.Rob.","3","7.319012","0.197493","0.114023","0.046471","Mikania additicia B.L.Rob.","3","7.050388","0.042295","0.024419","0.003779","Mikania additicia B.L.Rob.","3","9.609035","0.223839","0.129234","0.050435"
"8","Mikania amblyolepis B.L.Rob.","6","5.703724","0.002722","0.001111","1.2e-05","Mikania amblyolepis B.L.Rob.","6","7.52059","0.271451","0.110819","0.023235","Mikania amblyolepis B.L.Rob.","6","7.551376","0.100888","0.041187","0.00189","Mikania amblyolepis B.L.Rob.","6","9.138698","0.347864","0.142015","0.025218"
"9","Mikania amorimii Borges & Forzza","1","5.68409",NA,NA,"7.4e-05","Mikania amorimii Borges & Forzza","1","7.483244",NA,NA,"0.139413","Mikania amorimii Borges & Forzza","1","7.172425",NA,NA,"0.011337","Mikania amorimii Borges & Forzza","1","9.421735",NA,NA,"0.151306"
"10","Mikania andrei B.L.Rob.","2","5.649138","0.00697","0.004929","3.7e-05","Mikania andrei B.L.Rob.","2","7.174906","0.091961","0.065026","0.069706","Mikania andrei B.L.Rob.","2","6.93604","0.150255","0.106246","0.005669","Mikania andrei B.L.Rob.","2","9.322586","0.05712","0.04039","0.075653"
