"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1","Hidalgoa ternata La Llave",5.690511,0.00299,1.3e-05,7.788131,0.092809,0.014949,7.401133,0.0225,0.001041,9.627754,0.094219,0.017594,"Mechanism_6"
"2","Hidalgoa uspanapa B.L.Turner",5.700611,NA,0.000188,7.684324,NA,0.224238,7.455298,NA,0.015611,9.789479,NA,0.263907,"Mechanism_6"
"3","Tropaeolum adpressum Hughes",5.670171,0.005151,2.7e-05,7.486067,0.136908,0.032034,7.047799,0.041025,0.00223,9.758563,0.158014,0.037701,"Mechanism_6"
"4","Tropaeolum asplundii Sparre",5.675212,NA,0.000188,7.365813,NA,0.224238,7.144407,NA,0.015611,9.348536,NA,0.263907,"Mechanism_6"
"5","Tropaeolum brideanum Sparre",5.679319,NA,0.000188,7.510431,NA,0.224238,7.131699,NA,0.015611,9.517237,NA,0.263907,"Mechanism_6"
"6","Tropaeolum capillare Buchenau",5.67243,0.008255,9.4e-05,6.787268,0.246238,0.112119,7.427073,0.011898,0.007805,8.45026,0.044892,0.131953,"Mechanism_6"
"7","Tropaeolum cochabambae Buchenau",5.661997,0.003557,3.8e-05,7.236932,0.295804,0.044848,7.279966,0.066088,0.003122,8.917105,0.289531,0.052781,"Mechanism_6"
"8","Tropaeolum curvirostre Sparre",5.658959,NA,0.000188,6.80017,NA,0.224238,7.100027,NA,0.015611,9.31722,NA,0.263907,"Mechanism_6"
"9","Tropaeolum cuspidatum Buchenau",5.661496,0.004077,2.7e-05,7.151237,0.07751,0.032034,7.247761,0.03579,0.00223,8.939165,0.046513,0.037701,"Mechanism_6"
"10","Tropaeolum deckerianum Moritzi & Karst.",5.666022,0.003249,1.6e-05,7.414967,0.085765,0.018686,7.130973,0.031291,0.001301,9.544938,0.081324,0.021992,"Mechanism_6"
"11","Tropaeolum garciae Sparre",5.667983,NA,0.000188,7.844633,NA,0.224238,7.186144,NA,0.015611,9.655667,NA,0.263907,"Mechanism_6"
"12","Tropaeolum hirtifolium Hughes",5.665215,NA,0.000188,7.375882,NA,0.224238,7.166266,NA,0.015611,9.592946,NA,0.263907,"Mechanism_6"
