"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"13","Tropaeolum huigrense Killip",5.676583,NA,0.000188,6.645091,NA,0.224238,7.049255,NA,0.015611,9.163039,NA,0.263907,"Mechanism_6"
"14","Tropaeolum kerneisinum Hughes",5.668785,0.010872,6.3e-05,7.3268,0.1182,0.074746,6.995213,0.033918,0.005204,9.64302,0.302967,0.087969,"Mechanism_6"
"15","Tropaeolum kuntzeanum Buchenau",5.666499,0.011147,4.7e-05,7.166679,0.13412,0.056059,7.342665,0.0685,0.003903,8.73421,0.14223,0.065977,"Mechanism_6"
"16","Tropaeolum lindenii Wallis",5.659565,0.009583,6.3e-05,7.588533,0.076705,0.074746,7.077016,0.168895,0.005204,9.760048,0.046549,0.087969,"Mechanism_6"
"17","Tropaeolum longifolium Turcz.",5.665368,0.006408,9.4e-05,7.796244,0.331161,0.112119,7.2513,0.065913,0.007805,9.548871,0.119717,0.131953,"Mechanism_6"
"18","Tropaeolum magnificum Sparre",5.655918,0.007392,3.8e-05,7.359358,0.204854,0.044848,7.067163,0.076917,0.003122,9.26409,0.095537,0.052781,"Mechanism_6"
"19","Tropaeolum minus L.",5.681569,0.00596,4.7e-05,5.086722,0.669323,0.056059,7.281001,0.030655,0.003903,6.791547,0.851328,0.065977,"Mechanism_6"
"20","Tropaeolum moritzianum Klotzsch",5.67854,0.008029,2.7e-05,7.792085,0.162752,0.032034,7.261289,0.103614,0.00223,9.78522,0.180421,0.037701,"Mechanism_6"
"21","Tropaeolum orinocense P.E.Berry",5.691879,NA,0.000188,7.473069,NA,0.224238,7.261927,NA,0.015611,9.762212,NA,0.263907,"Mechanism_6"
"22","Tropaeolum papillosum Hughes",5.691541,NA,0.000188,6.900731,NA,0.224238,7.273786,NA,0.015611,8.770129,NA,0.263907,"Mechanism_6"
"23","Tropaeolum pellucidum Sparre",5.653366,NA,0.000188,7.26333,NA,0.224238,7.18007,NA,0.015611,9.471088,NA,0.263907,"Mechanism_6"
"24","Tropaeolum peltophorum Benth.",5.666066,0.005366,9.4e-05,6.716605,0.034496,0.112119,7.186956,0.109457,0.007805,8.713721,0.145074,0.131953,"Mechanism_6"
"25","Tropaeolum pendulum Klotzsch",5.66128,0.00848,2.7e-05,7.565791,0.26577,0.032034,7.072843,0.092391,0.00223,9.676736,0.25071,0.037701,"Mechanism_6"
"26","Tropaeolum pentagonum Hughes",5.650557,NA,0.000188,7.403061,NA,0.224238,7.227662,NA,0.015611,8.935245,NA,0.263907,"Mechanism_6"
"27","Tropaeolum pentaphyllum Lam.",5.667622,0.00553,9.4e-05,6.059811,0.122274,0.112119,7.458132,0.010381,0.007805,8.138772,0.027444,0.131953,"Mechanism_6"
"28","Tropaeolum peregrinum L.",5.663179,0.00346,2.3e-05,6.67672,0.215371,0.02803,7.292486,0.029987,0.001951,8.785318,0.140067,0.032988,"Mechanism_6"
"29","Tropaeolum pubescens Kunth",5.66481,0.004919,1.7e-05,7.478866,0.11661,0.020385,7.071414,0.032492,0.001419,9.541966,0.120444,0.023992,"Mechanism_6"
"30","Tropaeolum seemannii Buchenau",5.650309,0.003815,6.3e-05,6.329198,0.226992,0.074746,7.383641,0.058245,0.005204,8.471802,0.142194,0.087969,"Mechanism_6"
"31","Tropaeolum smithii DC.",5.646075,0.004365,6.3e-05,6.695908,0.063047,0.074746,6.905732,0.060837,0.005204,9.17968,0.210403,0.087969,"Mechanism_6"
"32","Tropaeolum stipulatum Buchenau & Sodiro",5.655467,NA,0.000188,7.289611,NA,0.224238,7.032624,NA,0.015611,9.308283,NA,0.263907,"Mechanism_6"
"33","Tropaeolum unilobatum Sparre",5.667291,NA,0.000188,6.508769,NA,0.224238,7.385231,NA,0.015611,8.30177,NA,0.263907,"Mechanism_6"
"34","Tropaeolum warmingianum Rohrb.",5.675632,0.007916,4.7e-05,6.776335,0.263315,0.056059,7.410401,0.066587,0.003903,8.706577,0.248541,0.065977,"Mechanism_6"
"35","Belemia fucsioides Pires",5.696926,NA,0.000188,7.057898,NA,0.224238,7.237059,NA,0.015611,9.072801,NA,0.263907,"Mechanism_6"
"36","Fuertesia domingensis Urb.",5.697597,NA,0.000188,7.091742,NA,0.224238,7.567346,NA,0.015611,8.323608,NA,0.263907,"Mechanism_6"
"37","Perianthomega vellozoi Bureau",5.683475,0.002954,1.3e-05,6.79784,0.088601,0.016017,7.452745,0.010282,0.001115,8.550067,0.087201,0.01885,"Mechanism_6"
"38","Manihot breviloba P.Carvalho & M.Martins",5.701613,0.000668,9.4e-05,7.294006,0.037709,0.112119,7.419229,0.017388,0.007805,9.138473,0.095486,0.131953,"Mechanism_6"
"39","Clematis acapulcensis Hook. & Arn.",5.688889,0.001615,5e-06,7.163645,0.07421,0.005606,7.483108,0.015906,4e-04,8.881985,0.078858,0.006767,"Mechanism_6"
"40","Clematis alborosea Ulbr.",5.62492,NA,0.000188,7.060476,NA,0.224238,7.293698,NA,0.015611,8.849944,NA,0.263907,"Mechanism_6"
"41","Clematis caleoides Standl. & Steyerm.",5.666527,0.008525,6.3e-05,7.588085,0.124771,0.074746,7.327367,0.029242,0.005204,9.182179,0.05539,0.087969,"Mechanism_6"
"42","Clematis campestris A.St.-Hil.",5.686191,0.002516,8e-06,6.763899,0.111119,0.009749,7.439751,0.023264,0.000679,8.609379,0.09431,0.011474,"Mechanism_6"
"43","Clematis dioica L.",5.686672,0.001461,2e-06,7.066494,0.045184,0.002875,7.4781,0.008226,2e-04,8.812042,0.047851,0.003383,"Mechanism_6"
"44","Clematis flammulastrum Griseb.",5.68392,0.00017,9.4e-05,7.395774,0.174669,0.112119,7.353656,0.011524,0.007805,9.346348,0.162763,0.131953,"Mechanism_6"
"45","Clematis grossa Benth.",5.681263,0.001797,4e-06,7.230204,0.06152,0.004231,7.449197,0.010353,0.000295,9.002697,0.064022,0.004979,"Mechanism_6"
"46","Clematis guadeloupae Pers.",5.683668,0.002878,7e-06,7.42943,0.084045,0.008305,7.224121,0.027471,0.000578,9.441951,0.086141,0.009774,"Mechanism_6"
"47","Clematis haenkeana C.Presl",5.669986,0.002758,4e-06,7.171261,0.085656,0.004231,7.240268,0.025273,0.000295,9.137979,0.087649,0.004979,"Mechanism_6"
"48","Clematis peruviana DC.",5.652257,0.009642,3.1e-05,5.484462,0.598497,0.037373,7.28934,0.082722,0.002602,6.935014,0.952277,0.043984,"Mechanism_6"
"49","Clematis polygama Jacq.",5.686632,0.001868,4e-06,7.347783,0.073359,0.004771,7.444858,0.011808,0.000332,9.058405,0.080444,0.005615,"Mechanism_6"
"50","Clematis populifolia Turcz.",5.6649,0.007535,3.1e-05,7.514116,0.249993,0.037373,7.146666,0.09119,0.002602,9.613475,0.089913,0.043984,"Mechanism_6"
"51","Clematis seemannii Kuntze",5.648353,0.009867,2.7e-05,6.514788,0.206581,0.032034,7.194783,0.06562,0.00223,8.703106,0.179345,0.037701,"Mechanism_6"
"52","Clematis ulbrichiana Pilg.",5.658262,NA,0.000188,7.395108,NA,0.224238,7.03966,NA,0.015611,9.804772,NA,0.263907,"Mechanism_6"
"53","Clematis uruboensis Lourteig",5.69491,NA,0.000188,7.165493,NA,0.224238,7.49887,NA,0.015611,8.762959,NA,0.263907,"Mechanism_6"
"54","Solanum aspersum S.Knapp",5.66374,0.008877,3.8e-05,7.584744,0.213498,0.044848,7.167698,0.05692,0.003122,9.64336,0.143897,0.052781,"Mechanism_6"
"55","Solanum calileguae Cabrera",5.664868,NA,0.000188,6.139885,NA,0.224238,7.462789,NA,0.015611,8.279697,NA,0.263907,"Mechanism_6"
"56","Solanum dichroandrum Dunal",5.661964,0.005342,1.6e-05,7.435785,0.111492,0.018686,7.201386,0.030273,0.001301,9.323935,0.111621,0.021992,"Mechanism_6"
"57","Solanum flaccidum Vell.",5.681106,0.00119,2.3e-05,7.211361,0.039306,0.02803,7.168303,0.027248,0.001951,9.286487,0.035954,0.032988,"Mechanism_6"
"58","Solanum laxum Spreng.",5.68525,0.005844,3.1e-05,7.272099,0.0891,0.037373,7.275164,0.025354,0.002602,9.096313,0.091404,0.043984,"Mechanism_6"
"59","Solanum luculentum C.V.Morton ex S.Knapp",5.668297,0.005525,6.3e-05,7.751995,0.119764,0.074746,7.245716,0.052793,0.005204,9.796088,0.098853,0.087969,"Mechanism_6"
"60","Solanum odoriferum Vell.",5.679563,0.00379,3.8e-05,7.331063,0.071407,0.044848,7.125152,0.019663,0.003122,9.378417,0.066383,0.052781,"Mechanism_6"
"61","Solanum pyrifolium Lam.",5.661744,NA,0.000188,7.138867,NA,0.224238,7.294377,NA,0.015611,9.260558,NA,0.263907,"Mechanism_6"
"62","Solanum sanchez-vegae S.Knapp",5.651097,0.006793,6.3e-05,6.676745,0.441441,0.074746,7.143498,0.088408,0.005204,8.964323,0.403678,0.087969,"Mechanism_6"
"63","Solanum uncinellum Lindl.",5.694231,0.000914,1e-06,7.618088,0.034689,0.001686,7.270877,0.012463,0.000117,9.540032,0.038585,0.001984,"Mechanism_6"
"64","Solanum viscosissimum Sendtn.",5.682424,0.002386,1.3e-05,7.224052,0.103271,0.016017,7.206021,0.026778,0.001115,9.163861,0.096305,0.01885,"Mechanism_6"
