"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Anthurium algentryi Croat","1","26.3",NA,NA,"8.632925","Anthurium algentryi Croat","1","5349",NA,NA,"1071311.764898","Anthurium algentryi Croat","1","1504",NA,NA,"25797.477588","Anthurium algentryi Croat","1","41560",NA,NA,"45606626.865292"
"2","Anthurium anchicayense Croat","1","19.7",NA,NA,"8.632925","Anthurium anchicayense Croat","1","6042",NA,NA,"1071311.764898","Anthurium anchicayense Croat","1","1263",NA,NA,"25797.477588","Anthurium anchicayense Croat","1","23967",NA,NA,"45606626.865292"
"3","Anthurium andraeanum Linden ex André","3","21.566667","4.692902","2.709448","2.877642","Anthurium andraeanum Linden ex André","3","2927","421.401234","243.296116","357103.921633","Anthurium andraeanum Linden ex André","3","1452","138.043471","79.699435","8599.159196","Anthurium andraeanum Linden ex André","3","15829.333333","1299.456168","750.241368","15202208.955097"
"4","Anthurium atropurpureum R.E.Schult. & Maguire","52","24.196154","1.462869","0.202863","0.166018","Anthurium atropurpureum R.E.Schult. & Maguire","52","2671.5","690.813062","95.798535","20602.149325","Anthurium atropurpureum R.E.Schult. & Maguire","52","1313.557692","140.717129","19.513955","496.105338","Anthurium atropurpureum R.E.Schult. & Maguire","52","20235.826923","5490.312476","761.369352","877050.51664"
"5","Anthurium bakeri Hook.f.","23","24.382609","1.826983","0.380952","0.375345","Anthurium bakeri Hook.f.","23","2840.304348","898.741718","187.400603","46578.772387","Anthurium bakeri Hook.f.","23","1698.782609","82.356739","17.172567","1121.62946","Anthurium bakeri Hook.f.","23","16005.782609","4493.791373","937.020275","1982896.82023"
"6","Anthurium berryi G.S.Bunting","1","12.2",NA,NA,"8.632925","Anthurium berryi G.S.Bunting","1","1718",NA,NA,"1071311.764898","Anthurium berryi G.S.Bunting","1","1320",NA,NA,"25797.477588","Anthurium berryi G.S.Bunting","1","10163",NA,NA,"45606626.865292"
"7","Anthurium bogotense Schott","20","16.02","4.606586","1.030064","0.431646","Anthurium bogotense Schott","20","2384.25","1200.958033","268.54238","53565.588245","Anthurium bogotense Schott","20","1251.5","144.589255","32.33114","1289.873879","Anthurium bogotense Schott","20","17216.1","6465.355527","1445.697446","2280331.343265"
"8","Anthurium bonplandii G.S.Bunting","56","24.544643","1.404528","0.187688","0.154159","Anthurium bonplandii G.S.Bunting","56","2758.642857","723.247938","96.648071","19130.56723","Anthurium bonplandii G.S.Bunting","56","1428.428571","135.218592","18.069344","460.669243","Anthurium bonplandii G.S.Bunting","56","19045.571429","4995.304915","667.525698","814404.051166"
"9","Anthurium breviscapum Kunth","47","22.353191","3.572957","0.521169","0.183679","Anthurium breviscapum Kunth","47","2483.829787","995.618124","145.225829","22793.867338","Anthurium breviscapum Kunth","47","1250.12766","112.842256","16.459735","548.882502","Anthurium breviscapum Kunth","47","20072.148936","8346.543276","1217.468464","970353.763091"
"10","Anthurium caramantae Engl.","2","14.65","0.777817","0.55","4.316462","Anthurium caramantae Engl.","2","2386","168.291414","119","535655.882449","Anthurium caramantae Engl.","2","1305","188.090404","133","12898.738794","Anthurium caramantae Engl.","2","16846.5","84.145707","59.5","22803313.432646"
"11","Anthurium cataniapoense Croat","4","25.25","1.084743","0.542372","2.158231","Anthurium cataniapoense Croat","4","2647","364.198664","182.099332","267827.941225","Anthurium cataniapoense Croat","4","1587.75","157.209786","78.604893","6449.369397","Anthurium cataniapoense Croat","4","15860","4133.105693","2066.552847","11401656.716323"
"12","Anthurium chrysolithos Croat & Oberle","2","21.55","1.909188","1.35","4.316462","Anthurium chrysolithos Croat & Oberle","2","3050.5","467.397582","330.5","535655.882449","Anthurium chrysolithos Croat & Oberle","2","1525.5","3.535534","2.5","12898.738794","Anthurium chrysolithos Croat & Oberle","2","20696.5","836.507322","591.5","22803313.432646"
"13","Anthurium coclense Croat","2","23.25","2.05061","1.45","4.316462","Anthurium coclense Croat","2","3198.5","857.720526","606.5","535655.882449","Anthurium coclense Croat","2","1557","83.4386","59","12898.738794","Anthurium coclense Croat","2","21264.5","3441.488704","2433.5","22803313.432646"
"14","Anthurium coripatense N.E.Br. ex Engl.","23","14.33913","3.493336","0.728411","0.375345","Anthurium coripatense N.E.Br. ex Engl.","23","1244.217391","603.297752","125.796277","46578.772387","Anthurium coripatense N.E.Br. ex Engl.","23","1332.608696","156.240124","32.578318","1121.62946","Anthurium coripatense N.E.Br. ex Engl.","23","8653.73913","3413.12258","711.685255","1982896.82023"
"15","Anthurium crassivenium Engl.","4","13.675","4.994914","2.497457","2.158231","Anthurium crassivenium Engl.","4","1614.25","600.095756","300.047878","267827.941225","Anthurium crassivenium Engl.","4","1129","195.690231","97.845116","6449.369397","Anthurium crassivenium Engl.","4","15428.25","1697.067348","848.533674","11401656.716323"
"16","Anthurium cucullispathum Croat","9","21.877778","2.491374","0.830458","0.959214","Anthurium cucullispathum Croat","9","3875.777778","1435.33792","478.445973","119034.640544","Anthurium cucullispathum Croat","8","1476.875","125.32066","44.307544","3224.684699","Anthurium cucullispathum Croat","8","21827.125","3792.308398","1340.783492","5700828.358161"
"17","Anthurium cupulispathum Croat & J.Rodr.","9","19.733333","4.587483","1.529161","0.959214","Anthurium cupulispathum Croat & J.Rodr.","9","1621.555556","862.123702","287.374567","119034.640544","Anthurium cupulispathum Croat & J.Rodr.","9","1154.333333","142.834695","47.611565","2866.386399","Anthurium cupulispathum Croat & J.Rodr.","9","13424.555556","7176.905585","2392.301862","5067402.985032"
"18","Anthurium eminens Schott","75","23.417333","2.774954","0.320424","0.115106","Anthurium eminens Schott","75","2524.093333","1025.533575","118.418417","14284.156865","Anthurium eminens Schott","74","1302.324324","132.574312","15.411451","348.614562","Anthurium eminens Schott","74","20118.959459","6845.0899","795.725538","616305.76845"
"19","Anthurium erythrostachyum Croat","1","18.9",NA,NA,"8.632925","Anthurium erythrostachyum Croat","1","3536",NA,NA,"1071311.764898","Anthurium erythrostachyum Croat","1","1454",NA,NA,"25797.477588","Anthurium erythrostachyum Croat","1","14578",NA,NA,"45606626.865292"
"20","Anthurium fendleri Schott","42","24.342857","2.406712","0.371364","0.205546","Anthurium fendleri Schott","42","2479.595238","1194.946474","184.384244","25507.422974","Anthurium fendleri Schott","41","1549.390244","168.230776","26.273233","629.20677","Anthurium fendleri Schott","41","15143.682927","7016.491799","1095.79192","1112356.752812"
"21","Anthurium formosum Schott","43","21.697674","3.745187","0.571136","0.200766","Anthurium formosum Schott","43","3023.209302","1608.75232","245.332429","24914.227091","Anthurium formosum Schott","43","1413.906977","193.048454","29.439613","599.941339","Anthurium formosum Schott","43","21008.418605","9892.899181","1508.652982","1060619.229425"
"22","Anthurium friedrichsthalii Schott","30","23.91","2.876582","0.52519","0.287764","Anthurium friedrichsthalii Schott","30","3416.7","1500.130549","273.885114","35710.392163","Anthurium friedrichsthalii Schott","29","1551.517241","132.318237","24.57088","889.568193","Anthurium friedrichsthalii Schott","29","20913.413793","8140.962344","1511.738756","1572642.3057"
"23","Anthurium gracilistipum Croat","1","18.8",NA,NA,"8.632925","Anthurium gracilistipum Croat","1","2609",NA,NA,"1071311.764898","Anthurium gracilistipum Croat","1","1244",NA,NA,"25797.477588","Anthurium gracilistipum Croat","1","16993",NA,NA,"45606626.865292"
"24","Anthurium grex-avium Madison","4","16.875","1.990603","0.995301","2.158231","Anthurium grex-avium Madison","4","1618.75","846.961382","423.480691","267827.941225","Anthurium grex-avium Madison","4","1201.25","117.178994","58.589497","6449.369397","Anthurium grex-avium Madison","4","11680.25","4277.218518","2138.609259","11401656.716323"
"25","Anthurium hacumense Engl.","11","23.481818","1.934848","0.583379","0.784811","Anthurium hacumense Engl.","11","3274.545455","923.364864","278.404982","97391.978627","Anthurium hacumense Engl.","11","1583.727273","56.075112","16.907282","2345.225235","Anthurium hacumense Engl.","11","18701.090909","2791.142686","841.561184","4146056.987754"
"26","Anthurium humboldtianum Kunth","7","18","3.849242","1.454877","1.233275","Anthurium humboldtianum Kunth","7","1414.142857","562.868969","212.744473","153044.537843","Anthurium humboldtianum Kunth","7","1475.285714","109.951071","41.557599","3685.353941","Anthurium humboldtianum Kunth","7","8126.714286","2850.831149","1077.512893","6515232.409327"
"27","Anthurium johnmackii Croat & Oberle","1","16",NA,NA,"8.632925","Anthurium johnmackii Croat & Oberle","1","2191",NA,NA,"1071311.764898","Anthurium johnmackii Croat & Oberle","1","1396",NA,NA,"25797.477588","Anthurium johnmackii Croat & Oberle","1","16745",NA,NA,"45606626.865292"
"28","Anthurium julianii G.S.Bunting","2","12.9","2.262742","1.6","4.316462","Anthurium julianii G.S.Bunting","2","1666.5","359.917352","254.5","535655.882449","Anthurium julianii G.S.Bunting","2","1278.5","84.145707","59.5","12898.738794","Anthurium julianii G.S.Bunting","2","8813.5","1120.764248","792.5","22803313.432646"
"29","Anthurium lancea Sodiro","10","18.33","3.962617","1.25309","0.863292","Anthurium lancea Sodiro","10","2095.2","1047.246315","331.168363","107131.17649","Anthurium lancea Sodiro","10","1177.2","91.432793","28.913588","2579.747759","Anthurium lancea Sodiro","10","15480.6","6354.792508","2009.561838","4560662.686529"
"30","Anthurium lancifolium Schott","10","23.54","2.441857","0.772183","0.863292","Anthurium lancifolium Schott","10","3380.1","735.151451","232.475301","107131.17649","Anthurium lancifolium Schott","10","1585.3","96.207011","30.423328","2579.747759","Anthurium lancifolium Schott","10","19183.1","3102.308726","981.036158","4560662.686529"
"31","Anthurium lehmannii Engl.","4","12.225","1.691892","0.845946","2.158231","Anthurium lehmannii Engl.","4","1935.25","987.107348","493.553674","267827.941225","Anthurium lehmannii Engl.","4","1199.5","17.935068","8.967534","6449.369397","Anthurium lehmannii Engl.","4","12113.5","4720.859844","2360.429922","11401656.716323"
"32","Anthurium longicaudatum Engl.","5","19.56","5.191146","2.321551","1.726585","Anthurium longicaudatum Engl.","5","2699.6","1983.832982","887.197081","214262.35298","Anthurium longicaudatum Engl.","5","1153.4","74.941978","33.515071","5159.495518","Anthurium longicaudatum Engl.","5","18823.6","5817.111036","2601.491142","9121325.373058"
"33","Anthurium longigeniculatum Engl.","8","16.875","3.446634","1.218569","1.079116","Anthurium longigeniculatum Engl.","8","2804.5","1381.408908","488.401803","133913.970612","Anthurium longigeniculatum Engl.","8","1233.125","136.41579","48.230265","3224.684699","Anthurium longigeniculatum Engl.","8","17535.375","5385.902231","1904.203995","5700828.358161"
"34","Anthurium longissimum Pittier","5","21.48","4.486313","2.00634","1.726585","Anthurium longissimum Pittier","5","1606.8","555.496355","248.425522","214262.35298","Anthurium longissimum Pittier","5","1467","192.223828","85.965109","5159.495518","Anthurium longissimum Pittier","5","12144.6","4924.240784","2202.187426","9121325.373058"
"35","Anthurium macarenense R.E.Schult. & Idrobo","9","14.711111","2.486184","0.828728","0.959214","Anthurium macarenense R.E.Schult. & Idrobo","9","2277","661.432536","220.477512","119034.640544","Anthurium macarenense R.E.Schult. & Idrobo","9","1225.111111","72.077119","24.025706","2866.386399","Anthurium macarenense R.E.Schult. & Idrobo","9","13485.666667","3911.600472","1303.866824","5067402.985032"
"36","Anthurium membranaceum Sodiro","5","15.82","2.780647","1.243543","1.726585","Anthurium membranaceum Sodiro","5","2393.2","877.520769","392.439218","214262.35298","Anthurium membranaceum Sodiro","5","1218.8","44.240253","19.784843","5159.495518","Anthurium membranaceum Sodiro","5","13631.2","4306.681054","1926.006319","9121325.373058"
"37","Anthurium michelii Guillaumin","38","22.139474","3.302541","0.535743","0.227182","Anthurium michelii Guillaumin","38","2888.078947","1149.717742","186.508846","28192.414866","Anthurium michelii Guillaumin","36","1356.305556","218.350677","36.39178","716.5966","Anthurium michelii Guillaumin","36","20796.75","6534.223283","1089.037214","1266850.746258"
"38","Anthurium microspadix Schott","73","19.947945","3.362295","0.393527","0.118259","Anthurium microspadix Schott","73","2490.150685","1222.04214","143.029214","14675.503629","Anthurium microspadix Schott","73","1409.136986","221.140435","25.88253","353.390104","Anthurium microspadix Schott","73","17063.534247","8962.04355","1048.927858","624748.313223"
"39","Anthurium mindense Sodiro","17","19.629412","4.347092","1.054325","0.507819","Anthurium mindense Sodiro","17","2417","1042.08301","252.742254","63018.339112","Anthurium mindense Sodiro","17","1171.235294","106.714297","25.882019","1517.498682","Anthurium mindense Sodiro","17","20503.176471","9102.0327","2207.56719","2682742.756782"
"40","Anthurium monticola Engl.","2","26.4","0.141421","0.1","4.316462","Anthurium monticola Engl.","2","6292","475.175757","336","535655.882449","Anthurium monticola Engl.","2","1384","84.852814","60","12898.738794","Anthurium monticola Engl.","2","38655.5","13966.066035","9875.5","22803313.432646"
"41","Anthurium multisulcatum Engl.","1","19.6",NA,NA,"8.632925","Anthurium multisulcatum Engl.","1","1192",NA,NA,"1071311.764898","Anthurium multisulcatum Engl.","1","1439",NA,NA,"25797.477588","Anthurium multisulcatum Engl.","1","12990",NA,NA,"45606626.865292"
"42","Anthurium nigrescens Engl.","51","17.711765","4.811596","0.673758","0.169273","Anthurium nigrescens Engl.","51","2267.54902","1349.811221","189.011377","21006.113037","Anthurium nigrescens Engl.","51","1297.470588","157.760876","22.090941","505.832894","Anthurium nigrescens Engl.","51","15888.882353","8050.752992","1127.330908","894247.585594"
"43","Anthurium nitidum Benth.","1","14.3",NA,NA,"8.632925","Anthurium nitidum Benth.","1","1792",NA,NA,"1071311.764898","Anthurium nitidum Benth.","1","1171",NA,NA,"25797.477588","Anthurium nitidum Benth.","1","16757",NA,NA,"45606626.865292"
"44","Anthurium nymphaeifolium K.Koch & C.D.Bouché","33","19.424242","4.637418","0.807271","0.261604","Anthurium nymphaeifolium K.Koch & C.D.Bouché","33","1902.666667","1093.43866","190.343239","32463.992876","Anthurium nymphaeifolium K.Koch & C.D.Bouché","33","1443.848485","180.801189","31.473447","781.741745","Anthurium nymphaeifolium K.Koch & C.D.Bouché","33","12777.363636","6607.383086","1150.19776","1382018.995918"
"45","Anthurium oxybelium Schott","39","14.207692","5.12519","0.820687","0.221357","Anthurium oxybelium Schott","39","1694.846154","769.516579","123.221269","27469.532433","Anthurium oxybelium Schott","39","1201.897436","147.229644","23.575611","661.473784","Anthurium oxybelium Schott","39","13789.538462","6930.424924","1109.756148","1169400.688854"
"46","Anthurium oxycarpum Poepp.","55","24.101818","1.504375","0.20285","0.156962","Anthurium oxycarpum Poepp.","55","2590.909091","953.613639","128.585237","19478.395725","Anthurium oxycarpum Poepp.","55","1284.381818","117.937286","15.90266","469.045047","Anthurium oxycarpum Poepp.","55","21008.218182","7258.190068","978.694149","829211.397551"
"47","Anthurium pallidicaudex Croat & M.M.Mora","4","24.65","1.70196","0.85098","2.158231","Anthurium pallidicaudex Croat & M.M.Mora","4","4387.75","1621.11163","810.555815","267827.941225","Anthurium pallidicaudex Croat & M.M.Mora","3","1490","87.891979","50.744458","8599.159196","Anthurium pallidicaudex Croat & M.M.Mora","3","27993.666667","5554.106079","3206.66464","15202208.955097"
"48","Anthurium panamense Croat","7","23.185714","3.252911","1.229485","1.233275","Anthurium panamense Croat","7","4428.714286","1976.119743","746.903057","153044.537843","Anthurium panamense Croat","6","1433.833333","154.348199","63.012388","4299.579598","Anthurium panamense Croat","6","30504.333333","13125.753566","5358.566454","7601104.477549"
"49","Anthurium pendulifolium N.E.Br.","21","24.452381","0.708251","0.154553","0.411092","Anthurium pendulifolium N.E.Br.","21","2881.333333","732.310476","159.803247","51014.845948","Anthurium pendulifolium N.E.Br.","21","1227.380952","100.042729","21.831113","1228.451314","Anthurium pendulifolium N.E.Br.","21","23438.666667","6906.504885","1507.122925","2171744.136442"
"50","Anthurium pluviaticum R.E.Schult.","5","26.28","0.319374","0.142828","1.726585","Anthurium pluviaticum R.E.Schult.","5","6617.2","642.89867","287.513026","214262.35298","Anthurium pluviaticum R.E.Schult.","5","1416.8","24.73257","11.060742","5159.495518","Anthurium pluviaticum R.E.Schult.","5","45320.6","3099.273189","1386.037106","9121325.373058"
"51","Anthurium polyschistum R.E.Schult. & Idrobo","17","23.541176","2.676999","0.649268","0.507819","Anthurium polyschistum R.E.Schult. & Idrobo","17","2874.764706","903.50813","219.132909","63018.339112","Anthurium polyschistum R.E.Schult. & Idrobo","17","1206.941176","61.614193","14.943637","1517.498682","Anthurium polyschistum R.E.Schult. & Idrobo","17","24028.058824","6422.913781","1557.785408","2682742.756782"
"52","Anthurium pulchellum Engl.","11","15.172727","4.101973","1.236791","0.784811","Anthurium pulchellum Engl.","11","2694.454545","1262.956481","380.795707","97391.978627","Anthurium pulchellum Engl.","11","1226.818182","148.079585","44.647675","2345.225235","Anthurium pulchellum Engl.","11","21321.454545","11008.505733","3319.189365","4146056.987754"
"53","Anthurium pulverulentum Sodiro","9","20.122222","4.165266","1.388422","0.959214","Anthurium pulverulentum Sodiro","9","2630.111111","1311.649195","437.216398","119034.640544","Anthurium pulverulentum Sodiro","9","1162.333333","81.778665","27.259555","2866.386399","Anthurium pulverulentum Sodiro","9","20011.222222","7324.285422","2441.428474","5067402.985032"
"54","Anthurium ravenii Croat & R.A.Baker","14","23.957143","1.976288","0.528185","0.616637","Anthurium ravenii Croat & R.A.Baker","14","3128.642857","725.4631","193.888169","76522.268921","Anthurium ravenii Croat & R.A.Baker","14","1624.928571","90.020907","24.059099","1842.676971","Anthurium ravenii Croat & R.A.Baker","14","17793.928571","3147.326203","841.15831","3257616.204664"
"55","Anthurium roraimense N.E.Br. ex Oliv.","12","20.558333","3.105847","0.896581","0.71941","Anthurium roraimense N.E.Br. ex Oliv.","12","2949.416667","793.022006","228.925734","89275.980408","Anthurium roraimense N.E.Br. ex Oliv.","12","1475.416667","112.551773","32.490898","2149.789799","Anthurium roraimense N.E.Br. ex Oliv.","12","15577.333333","3564.67508","1029.033059","3800552.238774"
"56","Anthurium rotundistigmatum Croat","13","22.923077","3.77451","1.046861","0.664071","Anthurium rotundistigmatum Croat","13","3139.769231","1545.800233","428.727846","82408.5973","Anthurium rotundistigmatum Croat","13","1577.692308","156.313459","43.353553","1984.421353","Anthurium rotundistigmatum Croat","13","18188.307692","8324.622047","2308.834741","3508202.066561"
"57","Anthurium sanguineum Engl.","16","14.49375","4.941183","1.235296","0.539558","Anthurium sanguineum Engl.","16","1659.4375","501.648877","125.412219","66956.985306","Anthurium sanguineum Engl.","16","1163.625","206.827102","51.706776","1612.342349","Anthurium sanguineum Engl.","16","14295.3125","4241.452011","1060.363003","2850414.179081"
"58","Anthurium sarmentosum Engl.","1","15.9",NA,NA,"8.632925","Anthurium sarmentosum Engl.","1","2486",NA,NA,"1071311.764898","Anthurium sarmentosum Engl.","1","1159",NA,NA,"25797.477588","Anthurium sarmentosum Engl.","1","19058",NA,NA,"45606626.865292"
