"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Chamaedorea elatior Mart.","15","5.687059","0.009358","0.002416","6e-06","Chamaedorea elatior Mart.","15","7.591603","0.438381","0.113189","0.010962","Chamaedorea elatior Mart.","15","7.402559","0.066059","0.017056","0.000951","Chamaedorea elatior Mart.","15","9.289006","0.460986","0.119026","0.011972"
"2","Aetheolaena involucrata Cass.","3","5.630315","0.001294","0.000747","3e-05","Aetheolaena involucrata Cass.","3","7.020316","0.047894","0.027652","0.054812","Aetheolaena involucrata Cass.","3","6.758025","0.050425","0.029113","0.004756","Aetheolaena involucrata Cass.","3","9.345682","0.064516","0.037248","0.059862"
"3","Alloispermum steyermarkii H.Rob.","3","5.663216","0.010071","0.005814","3e-05","Alloispermum steyermarkii H.Rob.","3","6.934857","0.151451","0.08744","0.054812","Alloispermum steyermarkii H.Rob.","3","7.187169","0.095738","0.055274","0.004756","Alloispermum steyermarkii H.Rob.","3","9.184183","0.063965","0.03693","0.059862"
"4","Archibaccharis subsessilis S.F.Blake","2","5.659134","0.000739","0.000523","4.5e-05","Archibaccharis subsessilis S.F.Blake","2","7.634124","0.191279","0.135255","0.082218","Archibaccharis subsessilis S.F.Blake","2","7.289171","0.019797","0.013999","0.007133","Archibaccharis subsessilis S.F.Blake","2","9.064641","0.103876","0.073451","0.089793"
"5","Baccharis anomala DC.","3","5.681814","0.004581","0.002645","3e-05","Baccharis anomala DC.","3","7.172871","0.063667","0.036758","0.054812","Baccharis anomala DC.","3","7.22195","0.087862","0.050727","0.004756","Baccharis anomala DC.","3","9.23179","0.229176","0.132315","0.059862"
"6","Baccharis bifrons Baker","1","5.694574",NA,NA,"9e-05","Baccharis bifrons Baker","1","6.96885",NA,NA,"0.164437","Baccharis bifrons Baker","1","7.234177",NA,NA,"0.014267","Baccharis bifrons Baker","1","9.0043",NA,NA,"0.179585"
"7","Baccharis floribundoides Cuatrec.","1","5.661397",NA,NA,"9e-05","Baccharis floribundoides Cuatrec.","1","7.898411",NA,NA,"0.164437","Baccharis floribundoides Cuatrec.","1","6.974479",NA,NA,"0.014267","Baccharis floribundoides Cuatrec.","1","10.05139",NA,NA,"0.179585"
"8","Baccharis oxyodonta DC.","3","5.684973","0.008384","0.004841","3e-05","Baccharis oxyodonta DC.","3","7.205469","0.02228","0.012863","0.054812","Baccharis oxyodonta DC.","3","7.264564","0.125013","0.072176","0.004756","Baccharis oxyodonta DC.","3","9.220634","0.155018","0.0895","0.059862"
"9","Baccharis quitensis Kunth","19","5.668013","0.01557","0.003572","5e-06","Baccharis quitensis Kunth","19","6.845509","0.411354","0.094371","0.008655","Baccharis quitensis Kunth","19","7.341707","0.109321","0.02508","0.000751","Baccharis quitensis Kunth","19","8.698387","0.373616","0.085713","0.009452"
"10","Baccharis saliens Rusby","2","5.643494","0.005508","0.003895","4.5e-05","Baccharis saliens Rusby","2","7.32532","0.076808","0.054311","0.082218","Baccharis saliens Rusby","2","7.156302","0.032535","0.023006","0.007133","Baccharis saliens Rusby","2","8.829926","0.111395","0.078768","0.089793"
"11","Baccharis serranoi H.Rob.","3","5.656878","0.017662","0.010197","3e-05","Baccharis serranoi H.Rob.","3","6.823196","0.320537","0.185062","0.054812","Baccharis serranoi H.Rob.","3","7.343774","0.095827","0.055326","0.004756","Baccharis serranoi H.Rob.","3","8.462161","0.076792","0.044336","0.059862"
"12","Barnadesia polyacantha Wedd.","14","5.657582","0.021109","0.005642","6e-06","Barnadesia polyacantha Wedd.","14","7.003619","0.487452","0.130277","0.011745","Barnadesia polyacantha Wedd.","14","7.28198","0.116393","0.031107","0.001019","Barnadesia polyacantha Wedd.","14","8.815161","0.4431","0.118423","0.012828"
"13","Bidens holwayi Sherff & S.F.Blake","4","5.673429","0.013278","0.006639","2.2e-05","Bidens holwayi Sherff & S.F.Blake","4","7.223536","0.348697","0.174348","0.041109","Bidens holwayi Sherff & S.F.Blake","4","7.318108","0.209931","0.104966","0.003567","Bidens holwayi Sherff & S.F.Blake","4","9.165834","0.500743","0.250372","0.044896"
"14","Bidens rubifolia Kunth","12","5.666064","0.015013","0.004334","7e-06","Bidens rubifolia Kunth","12","7.277735","0.43815","0.126483","0.013703","Bidens rubifolia Kunth","12","7.167115","0.084377","0.024358","0.001189","Bidens rubifolia Kunth","12","9.357147","0.233473","0.067398","0.014965"
"15","Calea saxatilis Cuatrec.","1","5.68409",NA,NA,"9e-05","Calea saxatilis Cuatrec.","1","7.619724",NA,NA,"0.164437","Calea saxatilis Cuatrec.","1","7.212294",NA,NA,"0.014267","Calea saxatilis Cuatrec.","1","9.50963",NA,NA,"0.179585"
"16","Calea solidaginea Kunth","3","5.678628","0.00473","0.002731","3e-05","Calea solidaginea Kunth","3","6.709593","0.292553","0.168906","0.054812","Calea solidaginea Kunth","3","7.443495","0.022561","0.013026","0.004756","Calea solidaginea Kunth","3","8.49575","0.16004","0.092399","0.059862"
