"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Hidalgoa ternata La Llave","15","5.690511","0.011582","0.00299","1.3e-05","Hidalgoa ternata La Llave","15","7.788131","0.359446","0.092809","0.014949","Hidalgoa ternata La Llave","15","7.401133","0.087142","0.0225","0.001041","Hidalgoa ternata La Llave","15","9.627754","0.36491","0.094219","0.017594"
"2","Hidalgoa uspanapa B.L.Turner","1","5.700611",NA,NA,"0.000188","Hidalgoa uspanapa B.L.Turner","1","7.684324",NA,NA,"0.224238","Hidalgoa uspanapa B.L.Turner","1","7.455298",NA,NA,"0.015611","Hidalgoa uspanapa B.L.Turner","1","9.789479",NA,NA,"0.263907"
"3","Tropaeolum adpressum Hughes","7","5.670171","0.013628","0.005151","2.7e-05","Tropaeolum adpressum Hughes","7","7.486067","0.362225","0.136908","0.032034","Tropaeolum adpressum Hughes","7","7.047799","0.108542","0.041025","0.00223","Tropaeolum adpressum Hughes","7","9.758563","0.418066","0.158014","0.037701"
"4","Tropaeolum asplundii Sparre","1","5.675212",NA,NA,"0.000188","Tropaeolum asplundii Sparre","1","7.365813",NA,NA,"0.224238","Tropaeolum asplundii Sparre","1","7.144407",NA,NA,"0.015611","Tropaeolum asplundii Sparre","1","9.348536",NA,NA,"0.263907"
"5","Tropaeolum brideanum Sparre","1","5.679319",NA,NA,"0.000188","Tropaeolum brideanum Sparre","1","7.510431",NA,NA,"0.224238","Tropaeolum brideanum Sparre","1","7.131699",NA,NA,"0.015611","Tropaeolum brideanum Sparre","1","9.517237",NA,NA,"0.263907"
"6","Tropaeolum capillare Buchenau","2","5.67243","0.011674","0.008255","9.4e-05","Tropaeolum capillare Buchenau","2","6.787268","0.348233","0.246238","0.112119","Tropaeolum capillare Buchenau","2","7.427073","0.016827","0.011898","0.007805","Tropaeolum capillare Buchenau","2","8.45026","0.063487","0.044892","0.131953"
"7","Tropaeolum cochabambae Buchenau","5","5.661997","0.007954","0.003557","3.8e-05","Tropaeolum cochabambae Buchenau","5","7.236932","0.661438","0.295804","0.044848","Tropaeolum cochabambae Buchenau","5","7.279966","0.147778","0.066088","0.003122","Tropaeolum cochabambae Buchenau","5","8.917105","0.647412","0.289531","0.052781"
"8","Tropaeolum curvirostre Sparre","1","5.658959",NA,NA,"0.000188","Tropaeolum curvirostre Sparre","1","6.80017",NA,NA,"0.224238","Tropaeolum curvirostre Sparre","1","7.100027",NA,NA,"0.015611","Tropaeolum curvirostre Sparre","1","9.31722",NA,NA,"0.263907"
"9","Tropaeolum cuspidatum Buchenau","7","5.661496","0.010788","0.004077","2.7e-05","Tropaeolum cuspidatum Buchenau","7","7.151237","0.205071","0.07751","0.032034","Tropaeolum cuspidatum Buchenau","7","7.247761","0.094692","0.03579","0.00223","Tropaeolum cuspidatum Buchenau","7","8.939165","0.123061","0.046513","0.037701"
"10","Tropaeolum deckerianum Moritzi & Karst.","12","5.666022","0.011254","0.003249","1.6e-05","Tropaeolum deckerianum Moritzi & Karst.","12","7.414967","0.297099","0.085765","0.018686","Tropaeolum deckerianum Moritzi & Karst.","12","7.130973","0.108395","0.031291","0.001301","Tropaeolum deckerianum Moritzi & Karst.","12","9.544938","0.281713","0.081324","0.021992"
"11","Tropaeolum garciae Sparre","1","5.667983",NA,NA,"0.000188","Tropaeolum garciae Sparre","1","7.844633",NA,NA,"0.224238","Tropaeolum garciae Sparre","1","7.186144",NA,NA,"0.015611","Tropaeolum garciae Sparre","1","9.655667",NA,NA,"0.263907"
