"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1","Mutisia alata Hieron.",5.648782,0.005635,4e-05,6.861259,0.339166,0.073516,6.934132,0.073468,0.006117,9.106056,0.276977,0.080246,"Mechanism_2"
"2","Mutisia anderssonii Sodiro ex Hieron.",5.636851,0.004406,2.7e-05,7.210344,0.289099,0.049011,6.896504,0.14087,0.004078,9.224246,0.324975,0.053497,"Mechanism_2"
"3","Mutisia campanulata Less.",5.672344,0.002687,1.1e-05,7.405277,0.062247,0.021005,7.090678,0.030138,0.001748,9.458331,0.061339,0.022927,"Mechanism_2"
"4","Mutisia coccinea A.St.-Hil.",5.681022,0.002407,7e-06,7.205029,0.052734,0.012253,7.194858,0.030176,0.00102,9.27396,0.057198,0.013374,"Mechanism_2"
"5","Mutisia friesiana Cabrera",5.632095,0.005013,4e-05,5.570293,0.106461,0.073516,7.547661,0.074024,0.006117,6.85468,0.067964,0.080246,"Mechanism_2"
"6","Mutisia hamata Reiche",5.629215,0.004897,2.7e-05,5.41436,0.358339,0.049011,7.549583,0.01421,0.004078,7.031575,0.258483,0.053497,"Mechanism_2"
"7","Mutisia intermedia Hieron.",5.637465,NA,8e-05,6.791221,NA,0.147033,6.769642,NA,0.012234,9.466145,NA,0.160492,"Mechanism_2"
"8","Mutisia lanata Ruiz & Pav.",5.654282,0.002976,4e-06,6.932862,0.146642,0.007739,7.259496,0.027213,0.000644,8.683211,0.097579,0.008447,"Mechanism_2"
"9","Mutisia lanigera Wedd.",5.621306,NA,8e-05,5.32301,NA,0.147033,7.323831,NA,0.012234,7.506042,NA,0.160492,"Mechanism_2"
"10","Mutisia lehmannii Hieron.",5.637108,NA,8e-05,6.526495,NA,0.147033,6.771936,NA,0.012234,9.50718,NA,0.160492,"Mechanism_2"
