"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Chamaedorea elatior Mart.","15","21.886667","2.755998","0.711596","0.512665","Chamaedorea elatior Mart.","15","2147","823.127919","212.530715","41629.047864","Chamaedorea elatior Mart.","15","1643.466667","106.080069","27.389756","2034.229904","Chamaedorea elatior Mart.","15","11876.2","5027.214256","1298.021139","1968960.888872"
"2","Aetheolaena involucrata Cass.","3","5.6","0.360555","0.208167","2.563323","Aetheolaena involucrata Cass.","3","1120","54.009258","31.18226","208145.239321","Aetheolaena involucrata Cass.","3","861.666667","43.108391","24.888641","10171.149518","Aetheolaena involucrata Cass.","3","11465.333333","750.641281","433.382946","9844804.444361"
"3","Alloispermum steyermarkii H.Rob.","3","14.933333","2.900575","1.674648","2.563323","Alloispermum steyermarkii H.Rob.","3","1035.333333","156.068361","90.10611","208145.239321","Alloispermum steyermarkii H.Rob.","3","1326.333333","123.783413","71.466387","10171.149518","Alloispermum steyermarkii H.Rob.","3","9755","615.895283","355.587307","9844804.444361"
"4","Archibaccharis subsessilis S.F.Blake","2","13.75","0.212132","0.15","3.844984","Archibaccharis subsessilis S.F.Blake","2","2086.5","396.686904","280.5","312217.858982","Archibaccharis subsessilis S.F.Blake","2","1464.5","28.991378","20.5","15256.724277","Archibaccharis subsessilis S.F.Blake","2","8667.5","898.732719","635.5","14767206.666542"
"5","Baccharis anomala DC.","3","20.333333","1.342882","0.775313","2.563323","Baccharis anomala DC.","3","1305.333333","82.354923","47.547637","208145.239321","Baccharis anomala DC.","3","1372.666667","119.717724","69.11906","10171.149518","Baccharis anomala DC.","3","10400.666667","2448.31459","1413.535088","9844804.444361"
"6","Baccharis bifrons Baker","1","24.1",NA,NA,"7.689968","Baccharis bifrons Baker","1","1063",NA,NA,"624435.717964","Baccharis bifrons Baker","1","1386",NA,NA,"30513.448554","Baccharis bifrons Baker","1","8138",NA,NA,"29534413.333083"
"7","Baccharis floribundoides Cuatrec.","1","14.4",NA,NA,"7.689968","Baccharis floribundoides Cuatrec.","1","2693",NA,NA,"624435.717964","Baccharis floribundoides Cuatrec.","1","1069",NA,NA,"30513.448554","Baccharis floribundoides Cuatrec.","1","23188",NA,NA,"29534413.333083"
"8","Baccharis oxyodonta DC.","3","21.266667","2.470493","1.42634","2.563323","Baccharis oxyodonta DC.","3","1347","30.116441","17.387735","208145.239321","Baccharis oxyodonta DC.","3","1436.333333","183.372117","105.869941","10171.149518","Baccharis oxyodonta DC.","3","10186","1615.450092","932.680545","9844804.444361"
"9","Baccharis quitensis Kunth","19","16.342105","4.502014","1.032833","0.404735","Baccharis quitensis Kunth","19","1019.368421","437.319386","100.327948","32865.037788","Baccharis quitensis Kunth","19","1551.789474","160.64266","36.853954","1605.970977","Baccharis quitensis Kunth","19","6403.315789","2436.252269","558.914602","1554442.807004"
"10","Baccharis saliens Rusby","2","9.3","1.555635","1.1","3.844984","Baccharis saliens Rusby","2","1520.5","116.672619","82.5","312217.858982","Baccharis saliens Rusby","2","1282.5","41.7193","29.5","15256.724277","Baccharis saliens Rusby","2","6857","762.26111","539","14767206.666542"
