"","lon","lat"
"1",-52.8731,-10.8339
"2",-64.435,-16.7261
"3",-74.14,-9.1839
"4",-72.8667,3.8811
"5",-65.9119,7.0758
"6",-70.8906,-35.8156
"7",-64.9208,-35.3869
"8",-79.016069,21.6229002
"9",-78.7520357,-1.4238195
"10",-58.1689,-23.2025
"11",-56.018068,-32.7995198
"12",-55.625,4.1006
"13",-52.9708,3.8558
"14",-58.7017,4.7364
"15",-83.9519,10.0114
"16",-90.1792,15.7422
"17",-89.35083,16.08111
"18",-89.93333,13.81667
"19",-78.1869,-1.4628
