"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1576","Aristolochia chiquitensis Duch.",5.698932,0.001424,1.2e-05,7.296684,0.136962,0.023235,7.376043,0.065261,0.00189,9.142261,0.256852,0.025218,"Mechanism_1"
"1577","Aristolochia clavidenia Griseb.",5.697258,0.002348,3.7e-05,7.142577,0.165295,0.069706,7.469226,0.087724,0.005669,9.092279,0.335911,0.075653,"Mechanism_1"
"1578","Aristolochia consimilis Mast.",5.701446,0.000167,3.7e-05,7.771949,0.073466,0.069706,7.444819,0.00526,0.005669,9.497997,0.054087,0.075653,"Mechanism_1"
"1579","Aristolochia cordiflora Mutis ex Kunth",5.698113,0.001261,5e-06,7.944332,0.092074,0.009958,7.336832,0.028747,0.000872,9.843397,0.085228,0.011639,"Mechanism_1"
"1580","Aristolochia cordigera Willd. ex Klotzsch",5.703384,0.003099,2.5e-05,6.826384,0.123652,0.046471,7.426487,0.021365,0.003779,8.73677,0.152918,0.050435,"Mechanism_1"
"1581","Aristolochia cornuta Mast.",5.696589,0.001343,3.7e-05,8.057392,0.086997,0.069706,7.097684,0.037207,0.005669,10.037793,0.028281,0.075653,"Mechanism_1"
"1582","Aristolochia cruenta Barringer",5.691709,0.001181,3.7e-05,8.146652,0.114616,0.069706,7.356251,0.007663,0.005669,9.716885,0.015636,0.075653,"Mechanism_1"
"1583","Aristolochia cynanchifolia Mart. & Zucc.",5.686124,0.001959,2.5e-05,7.20251,0.058643,0.046471,7.157571,0.026114,0.003779,9.201707,0.05332,0.050435,"Mechanism_1"
"1584","Aristolochia daemoninoxia Mast.",5.695155,0.002228,1.8e-05,7.562441,0.144822,0.034853,7.375672,0.021293,0.002834,9.454662,0.02863,0.037827,"Mechanism_1"
"1585","Aristolochia dalyi F.González",5.697708,0.000975,2.5e-05,7.613043,0.234371,0.046471,7.145213,0.051214,0.003779,9.776058,0.156121,0.050435,"Mechanism_1"
"1586","Aristolochia deltoidea Kunth",5.682834,0.011403,3.7e-05,6.632625,0.051986,0.069706,7.233394,0.089776,0.005669,8.962446,0.042591,0.075653,"Mechanism_1"
"1587","Aristolochia didyma S.Moore",5.697322,0.000813,4e-06,7.638034,0.078092,0.006971,7.235606,0.02384,0.000567,9.696405,0.061464,0.007565,"Mechanism_1"
"1588","Aristolochia elegans Mast.",5.687487,0.002142,3e-06,7.108539,0.091239,0.005163,7.398351,0.026905,0.00042,8.957261,0.099687,0.005604,"Mechanism_1"
"1589","Aristolochia eriantha Mart. & Zucc.",5.694226,0.004711,3.7e-05,6.820421,0.068151,0.069706,7.379424,0.104945,0.005669,8.581354,0.05006,0.075653,"Mechanism_1"
"1590","Aristolochia esperanzae Kuntze",5.693083,0.001011,2e-06,7.129398,0.04111,0.0034,7.398186,0.010283,0.000277,8.965503,0.041175,0.00369,"Mechanism_1"
"1591","Aristolochia fimbriata Cham.",5.684842,0.005624,1.5e-05,6.856499,0.13605,0.027883,7.466976,0.038805,0.002267,8.409732,0.21234,0.030261,"Mechanism_1"
"1592","Aristolochia floribunda Lem.",5.69491,NA,7.4e-05,7.244228,NA,0.139413,7.203406,NA,0.011337,9.572689,NA,0.151306,"Mechanism_1"
"1593","Aristolochia foetida Kunth",5.685843,0.003559,6e-06,6.927369,0.09108,0.010724,7.528811,0.013991,0.000872,8.604458,0.062227,0.011639,"Mechanism_1"
"1594","Aristolochia fosteri Barringer",5.666254,NA,7.4e-05,7.179308,NA,0.139413,7.181592,NA,0.011337,9.144201,NA,0.151306,"Mechanism_1"
"1595","Aristolochia fragrantissima Ruiz",5.695772,0.000815,1.1e-05,7.851754,0.174919,0.019916,7.119631,0.031848,0.00162,9.95964,0.17535,0.021615,"Mechanism_1"
"1596","Aristolochia gibertii Hook.",5.694695,0.001153,9e-06,7.059988,0.060335,0.017427,7.489549,0.020456,0.001417,8.739574,0.100476,0.018913,"Mechanism_1"
"1597","Aristolochia gigantea Mart. & Zucc.",5.692852,0.000968,3e-06,6.815571,0.04954,0.005577,7.34163,0.015133,0.000453,8.719367,0.044883,0.006052,"Mechanism_1"
"1598","Aristolochia gracilipedunculata F.González",5.690866,0.000675,3.7e-05,7.134614,0.125205,0.069706,7.183077,0.008352,0.005669,9.138709,0.033618,0.075653,"Mechanism_1"
"1599","Aristolochia grandiflora Sw.",5.698923,0.000565,2e-06,7.68534,0.062766,0.003873,7.458276,0.011759,0.000324,9.480834,0.066918,0.004323,"Mechanism_1"
"1600","Aristolochia hians Willd.",5.69423,0.003702,3.7e-05,7.594369,0.160112,0.069706,7.366495,0.034126,0.005669,9.542611,0.054488,0.075653,"Mechanism_1"
"1601","Aristolochia hilariana Duch.",5.686467,NA,7.4e-05,7.469654,NA,0.139413,7.156956,NA,0.011337,9.345308,NA,0.151306,"Mechanism_1"
"1602","Aristolochia hoehneana O.C.Schmidt",5.695403,0.002094,1.2e-05,7.295425,0.057192,0.023235,7.342383,0.031691,0.00189,9.245934,0.081557,0.025218,"Mechanism_1"
"1603","Aristolochia holostylis F.González",5.699963,0.000773,3e-06,7.247056,0.039705,0.005809,7.381326,0.014705,0.000472,9.061843,0.052693,0.006304,"Mechanism_1"
"1604","Aristolochia hypoglauca Kuhlm.",5.686228,0.003489,2.5e-05,7.292128,0.08336,0.046471,7.156923,0.017117,0.003779,9.200766,0.023189,0.050435,"Mechanism_1"
