"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1","Anthodon decussatum Ruiz & Pav.",5.695867,0.00117,1e-06,7.56642,0.067442,0.002918,7.283274,0.015703,0.000271,9.547192,0.057391,0.003042,"Mechanism_5"
"2","Cheiloclinium anomalum Miers",5.695005,0.00108,1e-06,7.739188,0.062208,0.003891,7.229058,0.020309,0.000361,9.73196,0.060693,0.004056,"Mechanism_5"
"3","Cheiloclinium brevipetiolatum Lombardi",5.699048,0.001229,1.2e-05,7.50507,0.092445,0.038913,7.360552,0.02,0.003611,9.404071,0.054223,0.040561,"Mechanism_5"
"4","Cheiloclinium habropodum A.C.Sm.",5.696254,NA,3.6e-05,8.157944,NA,0.116739,7.269617,NA,0.010833,10.068578,NA,0.121683,"Mechanism_5"
"5","Cheiloclinium obtusum A.C.Sm.",5.697367,0.000748,2e-06,7.79688,0.045476,0.005559,7.203421,0.026323,0.000516,9.823402,0.042549,0.005794,"Mechanism_5"
"6","Cuervea crenulata Mennega",5.695578,0.002134,1.2e-05,6.825877,0.108116,0.038913,7.31599,0.052289,0.003611,8.717436,0.084111,0.040561,"Mechanism_5"
"7","Elachyptera coriacea Lombardi",5.686107,0.006446,1.8e-05,6.801494,0.07167,0.05837,7.35894,0.032475,0.005416,8.709154,0.187571,0.060842,"Mechanism_5"
"8","Hippocratea volubilis L.",5.696216,0.000381,0,7.402397,0.023618,0.000314,7.3545,0.006804,2.9e-05,9.278429,0.025088,0.00033,"Mechanism_5"
"9","Peritassa bullata A.C.Sm.",5.695329,0.000793,9e-06,8.083879,0.117148,0.029185,7.075723,0.007534,0.002708,10.12234,0.055248,0.030421,"Mechanism_5"
"10","Peritassa flaviflora A.C.Sm.",5.69056,0.002388,5e-06,7.142176,0.071741,0.016677,7.182656,0.020288,0.001548,9.187355,0.060731,0.017383,"Mechanism_5"
"11","Peritassa manaoara Lombardi",5.700611,NA,3.6e-05,7.808729,NA,0.116739,7.201916,NA,0.010833,9.801344,NA,0.121683,"Mechanism_5"
"12","Peritassa sadleri Lombardi",5.682048,NA,3.6e-05,7.109062,NA,0.116739,7.113142,NA,0.010833,9.292473,NA,0.121683,"Mechanism_5"
"13","Salacia acevedoi Lombardi",5.697428,0.00151,1.8e-05,7.516096,0.352923,0.05837,7.217003,0.012111,0.005416,9.678922,0.110837,0.060842,"Mechanism_5"
"14","Salacia alwynii Mennega",5.697373,0.000375,4e-06,7.936526,0.070326,0.012971,7.180927,0.04528,0.001204,10.028689,0.066828,0.01352,"Mechanism_5"
"15","Salacia amplectens A.C.Sm.",5.697614,0.000653,2e-06,7.854648,0.059836,0.007296,7.297793,0.0358,0.000677,9.714395,0.080118,0.007605,"Mechanism_5"
"16","Salacia caloneura A.C.Sm.",5.698644,0.000422,4e-06,7.910985,0.04898,0.014592,7.135054,0.024478,0.001354,9.962067,0.05838,0.01521,"Mechanism_5"
"17","Salacia cauliflora A.C.Sm.",5.698825,0.000381,2e-06,7.839332,0.052808,0.007783,7.175355,0.024597,0.000722,9.830044,0.052609,0.008112,"Mechanism_5"
"18","Salacia gigantea Loes.",5.69579,0.001428,2e-06,7.927637,0.064598,0.005306,7.164728,0.018911,0.000492,9.952059,0.05744,0.005531,"Mechanism_5"
"19","Salacia insignis A.C.Sm.",5.697894,0.000497,1e-06,7.855559,0.03754,0.002918,7.228243,0.018865,0.000271,9.82281,0.042282,0.003042,"Mechanism_5"
"20","Salacia juruana Loes.",5.696295,0.000743,1e-06,7.760696,0.048959,0.003434,7.194827,0.021857,0.000319,9.811106,0.051046,0.003579,"Mechanism_5"
"21","Salacia kanukuensis A.C.Sm.",5.69748,0.002204,1.2e-05,7.465933,0.205523,0.038913,7.311562,0.07734,0.003611,9.439412,0.248054,0.040561,"Mechanism_5"
"22","Salacia krigsneri Lombardi",5.697261,NA,3.6e-05,7.109062,NA,0.116739,7.211557,NA,0.010833,9.09762,NA,0.121683,"Mechanism_5"
"23","Salacia maburensis Mennega",5.699188,0.000676,9e-06,7.51395,0.130548,0.029185,7.364917,0.008343,0.002708,9.416556,0.05735,0.030421,"Mechanism_5"
"24","Salacia macrantha A.C.Sm.",5.695744,0.000732,1e-06,7.763165,0.059309,0.002335,7.184734,0.016517,0.000217,9.79749,0.051622,0.002434,"Mechanism_5"
"25","Salacia macrocremastra Lombardi",5.686458,0.00407,1.8e-05,8.000208,0.142727,0.05837,7.34667,0.024819,0.005416,9.694603,0.02141,0.060842,"Mechanism_5"
"26","Salacia mennegana Lombardi",5.697256,0.003355,1.8e-05,8.205677,0.331318,0.05837,7.376664,0.030654,0.005416,9.908034,0.10963,0.060842,"Mechanism_5"
"27","Salacia miqueliana Loes.",5.699176,0.00056,5e-06,7.836182,0.104865,0.016677,7.357731,0.009694,0.001548,9.703172,0.037538,0.017383,"Mechanism_5"
"28","Salacia negrensis Lombardi",5.699222,0.000856,5e-06,7.904646,0.064394,0.016677,7.284299,0.032187,0.001548,9.79539,0.074976,0.017383,"Mechanism_5"
"29","Salacia nemorosa Lombardi",5.68375,NA,3.6e-05,7.44132,NA,0.116739,7.126087,NA,0.010833,9.266721,NA,0.121683,"Mechanism_5"
"30","Salacia ulei Loes.",5.698155,0.000432,3e-06,7.927487,0.067403,0.009728,7.103542,0.009832,0.000903,10.001769,0.057547,0.01014,"Mechanism_5"
"31","Salacia wrightii Urb.",5.699607,NA,3.6e-05,7.307873,NA,0.116739,7.556951,NA,0.010833,8.756368,NA,0.121683,"Mechanism_5"
"32","Tontelea attenuata Miers",5.69579,0.00074,1e-06,7.830937,0.044251,0.001946,7.2067,0.013917,0.000181,9.841012,0.04088,0.002028,"Mechanism_5"
"33","Tontelea emarginata A.C.Sm.",5.694468,0.00115,2e-06,7.77965,0.095605,0.005306,7.244716,0.028351,0.000492,9.750792,0.106221,0.005531,"Mechanism_5"
