"","species","temp","prec","pet","aridity","lon","lat"
"1","Desmoncus chinantlensis Liebm. ex Mart.",251,1300,1704,7804,-89.01,18.11
"2","Desmoncus chinantlensis Liebm. ex Mart.",236,2050,1740,14917,-91.200833,16.875
"3","Desmoncus chinantlensis Liebm. ex Mart.",265,2425,1852,16527,-92.5,17.63
"4","Desmoncus chinantlensis Liebm. ex Mart.",243,2622,1772,14450,-91.245,17.027778
"5","Desmoncus chinantlensis Liebm. ex Mart.",256,1206,1761,6805,-88.34,19.64
"6","Desmoncus chinantlensis Liebm. ex Mart.",253,1418,1697,6845,-88.79,18.42
"7","Desmoncus chinantlensis Liebm. ex Mart.",260,1435,1859,7712,-90.786944,17.933333
"8","Desmoncus chinantlensis Liebm. ex Mart.",265,1357,2000,7372,-91.830831,18.643331
"9","Desmoncus chinantlensis Liebm. ex Mart.",265,1350,1992,7283,-91.806667,18.650556
"10","Desmoncus chinantlensis Liebm. ex Mart.",243,1661,1712,9597,-89.613056,17.225
"11","Desmoncus chinantlensis Liebm. ex Mart.",259,2255,1683,12971,-94.775,17.758333
"12","Desmoncus chinantlensis Liebm. ex Mart.",248,1479,1834,10034,-87.785,14.931111
"13","Desmoncus chinantlensis Liebm. ex Mart.",222,3398,1591,14309,-95.12,18.58
"14","Desmoncus chinantlensis Liebm. ex Mart.",260,1880,1852,11561,-86.769722,15.749444
"15","Desmoncus chinantlensis Liebm. ex Mart.",252,3123,1657,18521,-96.4,18.19
"16","Desmoncus chinantlensis Liebm. ex Mart.",259,2531,1752,14424,-94.12,18.05
"17","Desmoncus chinantlensis Liebm. ex Mart.",248,1865,1718,13426,-94.666667,16.916667
"18","Desmoncus chinantlensis Liebm. ex Mart.",225,2063,1665,14562,-89.026389,16.672778
"19","Desmoncus chinantlensis Liebm. ex Mart.",262,2298,1654,21455,-96.24,17.81
"20","Desmoncus chinantlensis Liebm. ex Mart.",255,1625,1847,9725,-90.236667,17.259444
"21","Desmoncus cirrhifer A.H.Gentry & Zardini",257,7653,1310,47185,-77.366667,4.033333
"22","Desmoncus cirrhifer A.H.Gentry & Zardini",263,6517,1452,45417,-76.974569,5.422382
"23","Desmoncus cirrhifer A.H.Gentry & Zardini",259,8015,1331,44383,-77.606667,2.798889
"24","Desmoncus cirrhifer A.H.Gentry & Zardini",245,5753,1131,32272,-78.432778,1.416944
"25","Desmoncus cirrhifer A.H.Gentry & Zardini",234,1964,1090,15498,-79.8,0.25
"26","Desmoncus cirrhifer A.H.Gentry & Zardini",232,2804,1004,26531,-79.3,-0.63333
"27","Desmoncus cirrhifer A.H.Gentry & Zardini",224,2053,1261,17785,-78.46666,0.86666
"28","Desmoncus cirrhifer A.H.Gentry & Zardini",265,5197,1544,37855,-76.761111,6.286667
"29","Desmoncus cirrhifer A.H.Gentry & Zardini",264,2627,1681,17449,-79.133333,9.4
"30","Desmoncus cirrhifer A.H.Gentry & Zardini",241,6027,1405,39277,-77.14258,5.61231
"31","Desmoncus cirrhifer A.H.Gentry & Zardini",262,6015,1454,25769,-77.033333,3.916667
"32","Desmoncus cirrhifer A.H.Gentry & Zardini",77,2376,817,14513,-78.33333,-1.11666
"33","Desmoncus cirrhifer A.H.Gentry & Zardini",254,4510,1499,32958,-77.366569,6.255558
"34","Desmoncus cirrhifer A.H.Gentry & Zardini",220,3614,1521,22034,-75.052002,7.216667
"35","Desmoncus cirrhifer A.H.Gentry & Zardini",256,3145,1614,12399,-77.388333,8.658333
"36","Desmoncus giganteus A.J.Hend.",243,2672,1389,17163,-73.59,1.68
"37","Desmoncus giganteus A.J.Hend.",247,3585,1303,27435,-75.65,1.18
"38","Desmoncus giganteus A.J.Hend.",250,3286,1214,24244,-69.898611,-4.005694
"39","Desmoncus giganteus A.J.Hend.",241,3085,1446,19857,-69.56,3.55
"40","Desmoncus giganteus A.J.Hend.",252,2510,1201,21019,-74.313,-4.314
"41","Desmoncus giganteus A.J.Hend.",249,2605,1180,22832,-74.271,-3.979
"42","Desmoncus giganteus A.J.Hend.",250,2836,1170,21261,-73.536,-4.328
"43","Desmoncus giganteus A.J.Hend.",247,3348,1163,27495,-73.427,-3.015
"44","Desmoncus giganteus A.J.Hend.",246,3721,1168,31437,-76.933,-0.733
"45","Desmoncus giganteus A.J.Hend.",248,2261,1248,18089,-75.8,-4.35
"46","Desmoncus giganteus A.J.Hend.",240,3326,1302,24282,-70.39,1.35
"47","Desmoncus giganteus A.J.Hend.",240,2902,1224,23599,-74.77,-0.15
"48","Desmoncus giganteus A.J.Hend.",252,2553,1171,22321,-73.1639,-5.2917
"49","Desmoncus giganteus A.J.Hend.",238,3869,1156,28557,-76.2,-1.05
"50","Desmoncus giganteus A.J.Hend.",250,2939,1149,23237,-73.116,-4.1
"51","Desmoncus giganteus A.J.Hend.",254,1329,1457,13831,-78.3397,-5.0556
"52","Desmoncus giganteus A.J.Hend.",245,3698,1178,29869,-77.3,-2.13333
"53","Desmoncus giganteus A.J.Hend.",247,3621,1230,24102,-70.852778,-1.259167
"54","Desmoncus giganteus A.J.Hend.",246,4223,1159,36779,-77.6,-1.066667
"55","Desmoncus giganteus A.J.Hend.",241,3811,1210,29515,-76.166,0.016
"56","Desmoncus giganteus A.J.Hend.",248,2262,1321,17748,-77.683333,-3.833333
