"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Herreria glaziovii Lecomte","13","23.453846","1.298471","0.360131","0.489331","Herreria glaziovii Lecomte","13","1060.076923","275.039834","76.282325","37970.114075","Herreria glaziovii Lecomte","13","1458.692308","132.073455","36.630586","1971.444588","Herreria glaziovii Lecomte","13","6810.769231","2075.322632","575.590936","1766799.3263"
"2","Herreria grandiflora Griseb.","2","23.6","2.969848","2.1","3.180654","Herreria grandiflora Griseb.","2","1026","214.960461","152","246805.741489","Herreria grandiflora Griseb.","2","1638","108.894444","77","12814.389823","Herreria grandiflora Griseb.","2","6344.5","2960.656093","2093.5","11484195.620953"
"3","Herreria latifolia Woodson","4","24.775","0.618466","0.309233","1.590327","Herreria latifolia Woodson","4","1208.75","250.464069","125.232034","123402.870745","Herreria latifolia Woodson","4","1715.25","130.45146","65.22573","6407.194911","Herreria latifolia Woodson","4","7736.5","2207.857257","1103.928629","5742097.810477"
"4","Herreria montevidensis Klotzsch ex Griseb.","20","22.89","3.196528","0.714765","0.318065","Herreria montevidensis Klotzsch ex Griseb.","20","1027.3","285.168851","63.765694","24680.574149","Herreria montevidensis Klotzsch ex Griseb.","20","1723.75","137.338566","30.709837","1281.438982","Herreria montevidensis Klotzsch ex Griseb.","20","6047.35","2558.418041","572.079665","1148419.562095"
"5","Lescaillea equisetiformis Griseb.","1","24.8",NA,NA,"6.361308","Lescaillea equisetiformis Griseb.","1","1291",NA,NA,"493611.482978","Lescaillea equisetiformis Griseb.","1","1685",NA,NA,"25628.779645","Lescaillea equisetiformis Griseb.","1","8618",NA,NA,"22968391.241906"
"6","Mikania acuminata DC.","13","19.061538","1.99814","0.554184","0.489331","Mikania acuminata DC.","13","1657.153846","388.232286","107.676263","37970.114075","Mikania acuminata DC.","13","1336.230769","114.764363","31.829907","1971.444588","Mikania acuminata DC.","13","11298.384615","1959.89934","543.578274","1766799.3263"
"7","Mikania additicia B.L.Rob.","3","15.4","3.1","1.789786","2.120436","Mikania additicia B.L.Rob.","3","1527.666667","283.373134","163.605555","164537.160993","Mikania additicia B.L.Rob.","3","1154","49.386233","28.513155","8542.926548","Mikania additicia B.L.Rob.","3","15159.333333","3578.358888","2065.966467","7656130.413969"
"8","Mikania amblyolepis B.L.Rob.","6","26.833333","0.816497","0.333334","1.060218","Mikania amblyolepis B.L.Rob.","6","1905.666667","550.464047","224.726006","82268.580496","Mikania amblyolepis B.L.Rob.","6","1911.5","194.644034","79.463094","4271.463274","Mikania amblyolepis B.L.Rob.","6","9764.166667","3148.909933","1285.537097","3828065.206984"
"9","Mikania amorimii Borges & Forzza","1","21",NA,NA,"6.361308","Mikania amorimii Borges & Forzza","1","1778",NA,NA,"493611.482978","Mikania amorimii Borges & Forzza","1","1303",NA,NA,"25628.779645","Mikania amorimii Borges & Forzza","1","12354",NA,NA,"22968391.241906"
"10","Mikania andrei B.L.Rob.","2","10.9","1.979899","1.4","3.180654","Mikania andrei B.L.Rob.","2","1309","120.208153","85","246805.741489","Mikania andrei B.L.Rob.","2","1034.5","154.856385","109.5","12814.389823","Mikania andrei B.L.Rob.","2","11197","639.22453","452","11484195.620953"
"11","Mikania angularis Humb. & Bonpl.","9","20.788889","3.896295","1.298765","0.706812","Mikania angularis Humb. & Bonpl.","9","2892.777778","1766.593528","588.864509","54845.720331","Mikania angularis Humb. & Bonpl.","9","1360.777778","143.605169","47.86839","2847.642183","Mikania angularis Humb. & Bonpl.","9","18282.555556","10382.652613","3460.884204","2552043.471323"
"12","Mikania aquaria B.L.Rob.","4","23.2","1.794436","0.897218","1.590327","Mikania aquaria B.L.Rob.","4","2296.25","324.643779","162.32189","123402.870745","Mikania aquaria B.L.Rob.","4","1363.75","66.404694","33.202347","6407.194911","Mikania aquaria B.L.Rob.","4","13802.5","3850.550653","1925.275326","5742097.810477"
"13","Mikania archeri B.L.Rob.","1","14.7",NA,NA,"6.361308","Mikania archeri B.L.Rob.","1","2416",NA,NA,"493611.482978","Mikania archeri B.L.Rob.","1","1398",NA,NA,"25628.779645","Mikania archeri B.L.Rob.","1","17154",NA,NA,"22968391.241906"
"14","Mikania argyreiae DC.","11","20.5","2.760797","0.832412","0.578301","Mikania argyreiae DC.","11","1539.818182","286.994013","86.531951","44873.77118","Mikania argyreiae DC.","11","1269.727273","96.661358","29.144496","2329.889059","Mikania argyreiae DC.","11","10870.818182","2469.192978","744.489695","2088035.567446"
"15","Mikania argyropappa Sch.Bip. ex Baker","1","20.8",NA,NA,"6.361308","Mikania argyropappa Sch.Bip. ex Baker","1","1968",NA,NA,"493611.482978","Mikania argyropappa Sch.Bip. ex Baker","1","1492",NA,NA,"25628.779645","Mikania argyropappa Sch.Bip. ex Baker","1","10438",NA,NA,"22968391.241906"
"16","Mikania aristei B.L.Rob.","3","10.233333","0.702377","0.405518","2.120436","Mikania aristei B.L.Rob.","3","1689.333333","433.646553","250.365954","164537.160993","Mikania aristei B.L.Rob.","3","1122","27.055499","15.6205","8542.926548","Mikania aristei B.L.Rob.","3","12404.333333","2619.910749","1512.606176","7656130.413969"
"17","Mikania arthroclada B.L.Rob.","1","10.2",NA,NA,"6.361308","Mikania arthroclada B.L.Rob.","1","2433",NA,NA,"493611.482978","Mikania arthroclada B.L.Rob.","1","1278",NA,NA,"25628.779645","Mikania arthroclada B.L.Rob.","1","8522",NA,NA,"22968391.241906"
"18","Mikania aschersonii Hieron.","23","18.9","3.867933","0.80652","0.276579","Mikania aschersonii Hieron.","23","2098.608696","1135.057978","236.675949","21461.368825","Mikania aschersonii Hieron.","23","1359.391304","170.211029","35.491453","1114.294767","Mikania aschersonii Hieron.","23","15664.043478","8315.070291","1733.81201","998625.70617"
"19","Mikania banisteriae DC.","120","20.45","4.467492","0.407824","0.053011","Mikania banisteriae DC.","120","2480.5","1066.411386","97.349595","4113.429025","Mikania banisteriae DC.","120","1376.15","186.599497","17.034126","213.573164","Mikania banisteriae DC.","120","16643.008333","7631.327314","696.641686","191403.260349"
"20","Mikania barahonensis Urb.","1","18.2",NA,NA,"6.361308","Mikania barahonensis Urb.","1","1392",NA,NA,"493611.482978","Mikania barahonensis Urb.","1","1519",NA,NA,"25628.779645","Mikania barahonensis Urb.","1","10744",NA,NA,"22968391.241906"
"21","Mikania bogotensis Benth.","8","14.2875","4.0105","1.417926","0.795164","Mikania bogotensis Benth.","8","1614.875","707.09596","249.996174","61701.435372","Mikania bogotensis Benth.","8","1174.375","152.996674","54.092493","3203.597456","Mikania bogotensis Benth.","8","12453.75","3316.257088","1172.473938","2871048.905238"
