"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"20","Tropaeolum moritzianum Klotzsch","7","19.428571","6.197503","2.342436","2.275947","Tropaeolum moritzianum Klotzsch","7","2600.714286","959.255043","362.564327","81142.884799","Tropaeolum moritzianum Klotzsch","7","1469","379.611205","143.479549","4467.848344","Tropaeolum moritzianum Klotzsch","7","19559.714286","9210.811595","3481.35955","4055444.949863"
"21","Tropaeolum orinocense P.E.Berry","1","23.3",NA,NA,"15.931629","Tropaeolum orinocense P.E.Berry","1","1760",NA,NA,"568000.19359","Tropaeolum orinocense P.E.Berry","1","1425",NA,NA,"31274.938411","Tropaeolum orinocense P.E.Berry","1","17365",NA,NA,"28388114.649038"
"22","Tropaeolum papillosum Hughes","1","23.2",NA,NA,"15.931629","Tropaeolum papillosum Hughes","1","993",NA,NA,"568000.19359","Tropaeolum papillosum Hughes","1","1442",NA,NA,"31274.938411","Tropaeolum papillosum Hughes","1","6439",NA,NA,"28388114.649038"
"23","Tropaeolum pellucidum Sparre","1","12.1",NA,NA,"15.931629","Tropaeolum pellucidum Sparre","1","1427",NA,NA,"568000.19359","Tropaeolum pellucidum Sparre","1","1313",NA,NA,"31274.938411","Tropaeolum pellucidum Sparre","1","12979",NA,NA,"28388114.649038"
"24","Tropaeolum peltophorum Benth.","2","15.75","2.192031","1.55","7.965814","Tropaeolum peltophorum Benth.","2","826.5","40.305087","28.5","284000.096795","Tropaeolum peltophorum Benth.","2","1330","205.060967","145","15637.469206","Tropaeolum peltophorum Benth.","2","6150","1252.993216","886","14194057.324519"
"25","Tropaeolum pendulum Klotzsch","7","14.428571","6.488635","2.452474","2.275947","Tropaeolum pendulum Klotzsch","7","2290.714286","1165.039873","440.343682","81142.884799","Tropaeolum pendulum Klotzsch","7","1209.571429","290.744938","109.891257","4467.848344","Tropaeolum pendulum Klotzsch","7","18539.142857","9025.435547","3411.29399","4055444.949863"
"26","Tropaeolum pentagonum Hughes","1","11.3",NA,NA,"15.931629","Tropaeolum pentagonum Hughes","1","1641",NA,NA,"568000.19359","Tropaeolum pentagonum Hughes","1","1377",NA,NA,"31274.938411","Tropaeolum pentagonum Hughes","1","7595",NA,NA,"28388114.649038"
"27","Tropaeolum pentaphyllum Lam.","2","16.2","2.262742","1.6","7.965814","Tropaeolum pentaphyllum Lam.","2","431.5","74.246212","52.5","284000.096795","Tropaeolum pentaphyllum Lam.","2","1734","25.455844","18","15637.469206","Tropaeolum pentaphyllum Lam.","2","3426","132.936075","94","14194057.324519"
"28","Tropaeolum peregrinum L.","8","14.925","2.813615","0.994763","1.991454","Tropaeolum peregrinum L.","8","941.25","622.314516","220.021407","71000.024199","Tropaeolum peregrinum L.","8","1473.875","126.148934","44.600383","3909.367301","Tropaeolum peregrinum L.","8","6989.625","2693.219313","952.19682","3548514.33113"
"29","Tropaeolum pubescens Kunth","11","15.418182","4.753697","1.433294","1.44833","Tropaeolum pubescens Kunth","11","1912.181818","915.224543","275.950583","51636.381235","Tropaeolum pubescens Kunth","11","1184.454545","140.669374","42.413412","2843.176219","Tropaeolum pubescens Kunth","11","15132.545455","7463.841576","2250.432909","2580737.695367"
"30","Tropaeolum seemannii Buchenau","3","11.233333","1.882374","1.086789","5.310543","Tropaeolum seemannii Buchenau","3","588.333333","207.964741","120.068499","189333.397863","Tropaeolum seemannii Buchenau","3","1615","166.934119","96.379459","10424.97947","Tropaeolum seemannii Buchenau","3","4871","1111.886685","641.948077","9462704.883013"
"31","Tropaeolum smithii DC.","3","10.033333","2.138535","1.234684","5.310543","Tropaeolum smithii DC.","3","812.333333","89.623286","51.744028","189333.397863","Tropaeolum smithii DC.","3","1001.666667","105.006349","60.625444","10424.97947","Tropaeolum smithii DC.","3","10126.333333","3559.811418","2055.25808","9462704.883013"
"32","Tropaeolum stipulatum Buchenau & Sodiro","1","12.7",NA,NA,"15.931629","Tropaeolum stipulatum Buchenau & Sodiro","1","1465",NA,NA,"568000.19359","Tropaeolum stipulatum Buchenau & Sodiro","1","1133",NA,NA,"31274.938411","Tropaeolum stipulatum Buchenau & Sodiro","1","11029",NA,NA,"28388114.649038"
"33","Tropaeolum unilobatum Sparre","1","16.1",NA,NA,"15.931629","Tropaeolum unilobatum Sparre","1","671",NA,NA,"568000.19359","Tropaeolum unilobatum Sparre","1","1612",NA,NA,"31274.938411","Tropaeolum unilobatum Sparre","1","4031",NA,NA,"28388114.649038"
"34","Tropaeolum warmingianum Rohrb.","4","18.55","4.614831","2.307415","3.982907","Tropaeolum warmingianum Rohrb.","4","967.25","470.63034","235.31517","142000.048397","Tropaeolum warmingianum Rohrb.","4","1664.25","225.736388","112.868194","7818.734603","Tropaeolum warmingianum Rohrb.","4","6551.5","2664.545302","1332.272651","7097028.662259"
"35","Belemia fucsioides Pires","1","24.8",NA,NA,"15.931629","Belemia fucsioides Pires","1","1162",NA,NA,"568000.19359","Belemia fucsioides Pires","1","1390",NA,NA,"31274.938411","Belemia fucsioides Pires","1","8715",NA,NA,"28388114.649038"
"36","Fuertesia domingensis Urb.","1","25",NA,NA,"15.931629","Fuertesia domingensis Urb.","1","1202",NA,NA,"568000.19359","Fuertesia domingensis Urb.","1","1934",NA,NA,"31274.938411","Fuertesia domingensis Urb.","1","4120",NA,NA,"28388114.649038"
"37","Perianthomega vellozoi Bureau","14","20.835714","3.244547","0.867142","1.137973","Perianthomega vellozoi Bureau","14","942","305.01778","81.519431","40571.442399","Perianthomega vellozoi Bureau","14","1725.785714","67.189947","17.957269","2233.924172","Perianthomega vellozoi Bureau","14","5428.714286","1789.01496","478.13436","2027722.474931"
"38","Manihot breviloba P.Carvalho & M.Martins","2","26.2","0.282843","0.2","7.965814","Manihot breviloba P.Carvalho & M.Martins","2","1472.5","78.488853","55.5","284000.096795","Manihot breviloba P.Carvalho & M.Martins","2","1668","41.012193","29","15637.469206","Manihot breviloba P.Carvalho & M.Martins","2","9349","1258.650071","890","14194057.324519"
"39","Clematis acapulcensis Hook. & Arn.","40","22.43","3.010256","0.475963","0.398291","Clematis acapulcensis Hook. & Arn.","40","1449.375","784.153821","123.985606","14200.00484","Clematis acapulcensis Hook. & Arn.","39","1785.615385","157.115883","25.158676","801.921498","Clematis acapulcensis Hook. & Arn.","39","8220.025641","5051.608449","808.904735","727900.375616"
"40","Clematis alborosea Ulbr.","1","4.1",NA,NA,"15.931629","Clematis alborosea Ulbr.","1","1165",NA,NA,"568000.19359","Clematis alborosea Ulbr.","1","1471",NA,NA,"31274.938411","Clematis alborosea Ulbr.","1","6974",NA,NA,"28388114.649038"
