"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"1","Anthurium algentryi Croat","1","5.701947",NA,NA,"0.000101","Anthurium algentryi Croat","1","8.584665",NA,NA,"0.153993","Anthurium algentryi Croat","1","7.315884",NA,NA,"0.013528","Anthurium algentryi Croat","1","10.634893",NA,NA,"0.137142"
"2","Anthurium anchicayense Croat","1","5.679661",NA,NA,"0.000101","Anthurium anchicayense Croat","1","8.70649",NA,NA,"0.153993","Anthurium anchicayense Croat","1","7.141245",NA,NA,"0.013528","Anthurium anchicayense Croat","1","10.084433",NA,NA,"0.137142"
"3","Anthurium andraeanum Linden ex André","3","5.685929","0.015992","0.009233","3.4e-05","Anthurium andraeanum Linden ex André","3","7.974617","0.147188","0.084979","0.051331","Anthurium andraeanum Linden ex André","3","7.277662","0.095593","0.055191","0.004509","Anthurium andraeanum Linden ex André","3","9.667302","0.084028","0.048514","0.045714"
"4","Anthurium atropurpureum R.E.Schult. & Maguire","52","5.694885","0.004935","0.000684","2e-06","Anthurium atropurpureum R.E.Schult. & Maguire","52","7.854625","0.278428","0.038611","0.002961","Anthurium atropurpureum R.E.Schult. & Maguire","52","7.175228","0.101974","0.014141","0.00026","Anthurium atropurpureum R.E.Schult. & Maguire","52","9.879034","0.272913","0.037846","0.002637"
"5","Anthurium bakeri Hook.f.","23","5.695506","0.006159","0.001284","4e-06","Anthurium bakeri Hook.f.","23","7.902198","0.32884","0.068568","0.006695","Anthurium bakeri Hook.f.","23","7.436535","0.048752","0.010165","0.000588","Anthurium bakeri Hook.f.","23","9.637647","0.313764","0.065424","0.005963"
"6","Anthurium berryi G.S.Bunting","1","5.653716",NA,NA,"0.000101","Anthurium berryi G.S.Bunting","1","7.448916",NA,NA,"0.153993","Anthurium berryi G.S.Bunting","1","7.185387",NA,NA,"0.013528","Anthurium berryi G.S.Bunting","1","9.226509",NA,NA,"0.137142"
"7","Anthurium bogotense Schott","20","5.666894","0.015942","0.003565","5e-06","Anthurium bogotense Schott","20","7.662317","0.488806","0.1093","0.0077","Anthurium bogotense Schott","20","7.125398","0.120495","0.026944","0.000676","Anthurium bogotense Schott","20","9.685437","0.385158","0.086124","0.006857"
"8","Anthurium bonplandii G.S.Bunting","56","5.696057","0.004731","0.000632","2e-06","Anthurium bonplandii G.S.Bunting","56","7.888519","0.268044","0.035819","0.00275","Anthurium bonplandii G.S.Bunting","56","7.259947","0.094446","0.012621","0.000242","Anthurium bonplandii G.S.Bunting","56","9.819485","0.272845","0.03646","0.002449"
"9","Anthurium breviscapum Kunth","47","5.688607","0.012182","0.001777","2e-06","Anthurium breviscapum Kunth","47","7.707005","0.528643","0.077111","0.003276","Anthurium breviscapum Kunth","47","7.127162","0.0878","0.012807","0.000288","Anthurium breviscapum Kunth","47","9.7861","0.562955","0.082115","0.002918"
"10","Anthurium caramantae Engl.","2","5.662264","0.002703","0.001911","5e-05","Anthurium caramantae Engl.","2","7.776128","0.070591","0.049915","0.076997","Anthurium caramantae Engl.","2","7.168738","0.144633","0.102271","0.006764","Anthurium caramantae Engl.","2","9.731892","0.004995","0.003532","0.068571"
