"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1","Chamaedorea elatior Mart.",5.687059,0.002416,6e-06,7.591603,0.113189,0.010962,7.402559,0.017056,0.000951,9.289006,0.119026,0.011972,"Mechanism_3"
"2","Aetheolaena involucrata Cass.",5.630315,0.000747,3e-05,7.020316,0.027652,0.054812,6.758025,0.029113,0.004756,9.345682,0.037248,0.059862,"Mechanism_3"
"3","Alloispermum steyermarkii H.Rob.",5.663216,0.005814,3e-05,6.934857,0.08744,0.054812,7.187169,0.055274,0.004756,9.184183,0.03693,0.059862,"Mechanism_3"
"4","Archibaccharis subsessilis S.F.Blake",5.659134,0.000523,4.5e-05,7.634124,0.135255,0.082218,7.289171,0.013999,0.007133,9.064641,0.073451,0.089793,"Mechanism_3"
"5","Baccharis anomala DC.",5.681814,0.002645,3e-05,7.172871,0.036758,0.054812,7.22195,0.050727,0.004756,9.23179,0.132315,0.059862,"Mechanism_3"
"6","Baccharis bifrons Baker",5.694574,NA,9e-05,6.96885,NA,0.164437,7.234177,NA,0.014267,9.0043,NA,0.179585,"Mechanism_3"
"7","Baccharis floribundoides Cuatrec.",5.661397,NA,9e-05,7.898411,NA,0.164437,6.974479,NA,0.014267,10.05139,NA,0.179585,"Mechanism_3"
"8","Baccharis oxyodonta DC.",5.684973,0.004841,3e-05,7.205469,0.012863,0.054812,7.264564,0.072176,0.004756,9.220634,0.0895,0.059862,"Mechanism_3"
"9","Baccharis quitensis Kunth",5.668013,0.003572,5e-06,6.845509,0.094371,0.008655,7.341707,0.02508,0.000751,8.698387,0.085713,0.009452,"Mechanism_3"
"10","Baccharis saliens Rusby",5.643494,0.003895,4.5e-05,7.32532,0.054311,0.082218,7.156302,0.023006,0.007133,8.829926,0.078768,0.089793,"Mechanism_3"
"11","Baccharis serranoi H.Rob.",5.656878,0.010197,3e-05,6.823196,0.185062,0.054812,7.343774,0.055326,0.004756,8.462161,0.044336,0.059862,"Mechanism_3"
"12","Barnadesia polyacantha Wedd.",5.657582,0.005642,6e-06,7.003619,0.130277,0.011745,7.28198,0.031107,0.001019,8.815161,0.118423,0.012828,"Mechanism_3"
"13","Bidens holwayi Sherff & S.F.Blake",5.673429,0.006639,2.2e-05,7.223536,0.174348,0.041109,7.318108,0.104966,0.003567,9.165834,0.250372,0.044896,"Mechanism_3"
"14","Bidens rubifolia Kunth",5.666064,0.004334,7e-06,7.277735,0.126483,0.013703,7.167115,0.024358,0.001189,9.357147,0.067398,0.014965,"Mechanism_3"
"15","Calea saxatilis Cuatrec.",5.68409,NA,9e-05,7.619724,NA,0.164437,7.212294,NA,0.014267,9.50963,NA,0.179585,"Mechanism_3"
"16","Calea solidaginea Kunth",5.678628,0.002731,3e-05,6.709593,0.168906,0.054812,7.443495,0.013026,0.004756,8.49575,0.092399,0.059862,"Mechanism_3"
"17","Calea trichotoma Donn.Sm.",5.696346,0.001175,3e-06,7.462842,0.062784,0.004698,7.474815,0.009884,0.00042,9.198151,0.074751,0.005282,"Mechanism_3"
"18","Condylopodium gachalanum S.Díaz & G.P.Méndez",5.652314,NA,9e-05,8.300777,NA,0.164437,7.137278,NA,0.014267,9.577896,NA,0.179585,"Mechanism_3"
