"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"19","Condylopodium hyalinifolium S.Díaz & G.P.Méndez",5.655817,NA,9e-05,7.531552,NA,0.164437,7.137278,NA,0.014267,9.027018,NA,0.179585,"Mechanism_3"
"20","Critonia wilburii R.M.King & H.Rob.",5.688838,NA,9e-05,8.029433,NA,0.164437,7.362645,NA,0.014267,9.797015,NA,0.179585,"Mechanism_3"
"21","Desmanthodium guatemalense Hemsl.",5.677899,0.010262,4.5e-05,7.20543,0.069743,0.082218,7.425394,0.041405,0.007133,9.223495,0.014655,0.089793,"Mechanism_3"
"22","Ericentrodea davidsmithii H.Rob.",5.651056,0.00933,3e-05,6.82515,0.18855,0.054812,7.076925,0.165292,0.004756,9.028837,0.303135,0.059862,"Mechanism_3"
"23","Harnackia bisecta Urb.",5.692553,NA,9e-05,7.470224,NA,0.164437,7.439559,NA,0.014267,9.059517,NA,0.179585,"Mechanism_3"
"24","Ichthyothere scandens S.F.Blake",5.6861,0.001898,4e-06,7.810778,0.108255,0.006852,7.256128,0.02557,0.000594,9.764187,0.090382,0.007483,"Mechanism_3"
"25","Jungia mitis Benoist",5.643856,NA,9e-05,7.407318,NA,0.164437,6.927558,NA,0.014267,9.375261,NA,0.179585,"Mechanism_3"
"26","Jungia rugosa Less.",5.649522,0.00755,1.1e-05,6.576134,0.121054,0.020555,7.053635,0.076849,0.001783,8.780826,0.108774,0.022448,"Mechanism_3"
"27","Jungia weberbaueri Cerrate",5.664252,0.006326,1.3e-05,6.970531,0.141409,0.023491,7.204559,0.067778,0.002038,8.969801,0.147838,0.025655,"Mechanism_3"
"28","Llerasia pascoensis Sagást. & M.O.Dillon",5.669018,NA,9e-05,7.027315,NA,0.164437,7.221836,NA,0.014267,9.157361,NA,0.179585,"Mechanism_3"
"29","Lycoseris peruviana K.Egeröd",5.699272,NA,9e-05,7.185387,NA,0.164437,7.200425,NA,0.014267,9.188401,NA,0.179585,"Mechanism_3"
"30","Montanoa pteropoda S.F.Blake",5.675885,0.011249,3e-05,7.536514,0.187685,0.054812,7.391386,0.06983,0.004756,9.125788,0.153131,0.059862,"Mechanism_3"
"31","Munnozia campii H.Rob.",5.649673,0.003342,4.5e-05,7.065447,0.110808,0.082218,6.860039,0.014159,0.007133,9.218704,0.161632,0.089793,"Mechanism_3"
"32","Munnozia senecionidis Benth.",5.661826,0.001565,2e-06,7.527445,0.067107,0.002936,7.111761,0.016686,0.000255,9.412245,0.052492,0.003207,"Mechanism_3"
"33","Munnozia venosissima Ruiz & Pav.",5.6666,0,4.5e-05,6.706619,0.081226,0.082218,7.244171,0.047485,0.007133,9.03822,0.084709,0.089793,"Mechanism_3"
"34","Oblivia ceronii H.Rob.",5.696254,NA,9e-05,8.348301,NA,0.164437,7.047517,NA,0.014267,10.520617,NA,0.179585,"Mechanism_3"
"35","Otopappus epaleaceus Hemsl.",5.688326,0.002686,7e-06,6.847001,0.067283,0.012649,7.534066,0.008255,0.001097,8.525619,0.05038,0.013814,"Mechanism_3"
"36","Otopappus verbesinoides Benth.",5.686466,0.001655,3e-06,7.47543,0.080084,0.005873,7.437723,0.017344,0.00051,9.243289,0.08763,0.006414,"Mechanism_3"
"37","Pentacalia axillariflora S.Díaz & Pedraza",5.652665,NA,9e-05,7.568379,NA,0.164437,7.118016,NA,0.014267,9.034796,NA,0.179585,"Mechanism_3"
"38","Pentacalia cazaletii H.Rob. & Cuatrec.",5.665215,NA,9e-05,7.753194,NA,0.164437,7.077498,NA,0.014267,9.615205,NA,0.179585,"Mechanism_3"
"39","Pentacalia dorrii H.Rob. & Cuatrec.",5.647741,NA,9e-05,6.952729,NA,0.164437,6.919684,NA,0.014267,9.240967,NA,0.179585,"Mechanism_3"
"40","Pentacalia inquisiviensis H.Rob. & Cuatrec.",5.649502,NA,9e-05,6.72263,NA,0.164437,7.237059,NA,0.014267,8.633553,NA,0.179585,"Mechanism_3"
"41","Pentacalia lewisii H.Rob. & Cuatrec.",5.641375,NA,9e-05,7.080868,NA,0.164437,7.191429,NA,0.014267,8.603187,NA,0.179585,"Mechanism_3"
"42","Pentacalia luteynorum H.Rob. & Cuatrec.",5.679651,0.011118,3e-05,7.539445,0.535674,0.054812,7.112575,0.029107,0.004756,9.726145,0.392741,0.059862,"Mechanism_3"
"43","Pentacalia matagalpensis H.Rob.",5.679661,NA,9e-05,8.163371,NA,0.164437,7.400621,NA,0.014267,9.554781,NA,0.179585,"Mechanism_3"
"44","Pentacalia moronensis H.Rob. & Cuatrec.",5.687145,NA,9e-05,7.103322,NA,0.164437,7.238497,NA,0.014267,9.515396,NA,0.179585,"Mechanism_3"
"45","Pentacalia napoensis H.Rob. & Cuatrec.",5.686128,NA,9e-05,7.795235,NA,0.164437,7.031741,NA,0.014267,10.262245,NA,0.179585,"Mechanism_3"
"46","Pentacalia neblinensis Pruski",5.661397,NA,9e-05,7.889459,NA,0.164437,7.03966,NA,0.014267,10.20474,NA,0.179585,"Mechanism_3"
"47","Pentacalia pailasensis H.Rob. & Cuatrec.",5.665561,NA,9e-05,6.900731,NA,0.164437,7.06732,NA,0.014267,9.253687,NA,0.179585,"Mechanism_3"
"48","Pentacalia palaciosii H.Rob. & Cuatrec.",5.669018,NA,9e-05,7.611348,NA,0.164437,7.015712,NA,0.014267,9.973527,NA,0.179585,"Mechanism_3"
"49","Pentacalia wilburii H.Rob.",5.660353,NA,9e-05,7.98344,NA,0.164437,6.929517,NA,0.014267,10.099137,NA,0.179585,"Mechanism_3"
"50","Pentacalia zakii H.Rob. & Cuatrec.",5.669708,NA,9e-05,7.703008,NA,0.164437,7.104144,NA,0.014267,9.858647,NA,0.179585,"Mechanism_3"
"51","Piptocarpha atratoensis Cuatrec.",5.701947,NA,9e-05,8.892199,NA,0.164437,7.260523,NA,0.014267,10.811202,NA,0.179585,"Mechanism_3"
"52","Piptocarpha auyantepuiensis Aristeg.",5.674868,NA,9e-05,7.929487,NA,0.164437,7.441907,NA,0.014267,9.397732,NA,0.179585,"Mechanism_3"
"53","Piptocarpha boyacensis Cuatrec.",5.669364,NA,9e-05,7.325149,NA,0.164437,7.26543,NA,0.014267,9.409273,NA,0.179585,"Mechanism_3"
"54","Piptocarpha brasiliana Cass.",5.689394,0.002774,3e-05,7.179541,0.122393,0.054812,7.214991,0.022191,0.004756,9.123285,0.105691,0.059862,"Mechanism_3"
"55","Piptocarpha canescens Gleason",5.674851,0.005833,4.5e-05,7.322045,0.294731,0.082218,7.21113,0.010706,0.007133,9.334421,0.17706,0.089793,"Mechanism_3"
"56","Piptocarpha gustavo-valerioana G.Lom.Sm.",5.689488,0.002981,1.3e-05,7.155681,0.143745,0.023491,7.234382,0.027262,0.002038,9.061757,0.160177,0.025655,"Mechanism_3"
"57","Piptocarpha gutierrezii Cuatrec.",5.691445,0.001905,6e-06,7.694907,0.132349,0.011745,7.20169,0.026572,0.001019,9.778458,0.138265,0.012828,"Mechanism_3"
"58","Piptocarpha jauaensis Aristeg. & Steyerm.",5.668673,NA,9e-05,8.05611,NA,0.164437,7.237778,NA,0.014267,9.768069,NA,0.179585,"Mechanism_3"
"59","Piptocarpha matogrossensis H.Rob.",5.697988,0.000351,1.5e-05,7.429429,0.046709,0.027406,7.335536,0.009089,0.002378,9.262535,0.020971,0.029931,"Mechanism_3"
"60","Piptocarpha polycephala Baker",5.681121,0.004215,3e-05,7.842994,0.112513,0.054812,7.355957,0.030849,0.004756,9.523144,0.009104,0.059862,"Mechanism_3"
"61","Piptocarpha richteri Cuatrec.",5.696926,NA,9e-05,8.064636,NA,0.164437,7.074117,NA,0.014267,10.33029,NA,0.179585,"Mechanism_3"
"62","Piptocarpha tetrantha Urb.",5.691708,0.001855,4.5e-05,7.512792,0.409469,0.082218,7.34538,0.035499,0.007133,9.524968,0.000547,0.089793,"Mechanism_3"
"63","Piptocarpha vasquezii H.Rob.",5.696365,0.001169,3e-05,7.515043,0.290828,0.054812,7.213953,0.069495,0.004756,9.778346,0.218238,0.059862,"Mechanism_3"
"64","Piptocoma acevedoi Pruski",5.692216,NA,9e-05,7.418181,NA,0.164437,7.410347,NA,0.014267,9.495519,NA,0.179585,"Mechanism_3"
"65","Piptocoma rufescens Cass.",5.700611,NA,9e-05,7.127694,NA,0.164437,7.502186,NA,0.014267,9.043932,NA,0.179585,"Mechanism_3"
"66","Salmea glaberrima Wright ex Griseb.",5.699607,NA,9e-05,7.307873,NA,0.164437,7.556951,NA,0.014267,8.756368,NA,0.179585,"Mechanism_3"
"67","Salmea orthocephala Standl. & Steyerm.",5.691022,0.002946,2.2e-05,6.953149,0.09867,0.041109,7.505677,0.015637,0.003567,9.061718,0.136364,0.044896,"Mechanism_3"
"68","Salmea pauciceps Griseb.",5.699607,NA,9e-05,7.307873,NA,0.164437,7.556951,NA,0.014267,8.756368,NA,0.179585,"Mechanism_3"
"69","Salmea petrobioides Griseb.",5.697932,NA,9e-05,7.250636,NA,0.164437,7.546974,NA,0.014267,8.837536,NA,0.179585,"Mechanism_3"
"70","Sinclairia discolor Hook. & Arn.",5.682677,0.002637,3e-06,7.524204,0.061766,0.00609,7.406134,0.0196,0.000528,9.261649,0.070423,0.006651,"Mechanism_3"
"71","Stifftia uniflora Ducke",5.697932,NA,9e-05,7.82963,NA,0.164437,7.363914,NA,0.014267,9.697201,NA,0.179585,"Mechanism_3"
"72","Trepadonia oppositifolia H.Rob. & H.Beltrán",5.693564,NA,9e-05,7.424762,NA,0.164437,7.186901,NA,0.014267,9.61086,NA,0.179585,"Mechanism_3"
"73","Trixis chiapensis C.E.Anderson",5.684126,0.004008,1.8e-05,7.292773,0.127477,0.032887,7.465626,0.015617,0.002853,8.903793,0.139915,0.035917,"Mechanism_3"
"74","Trixis inula Crantz",5.690436,0.00126,1e-06,7.083165,0.046792,0.00203,7.494807,0.008807,0.000178,8.813614,0.051971,0.002245,"Mechanism_3"
"75","Trixis proustioides Hieron.",5.667509,0.005109,1.3e-05,6.924842,0.208036,0.023491,7.27581,0.066662,0.002038,8.709922,0.208297,0.025655,"Mechanism_3"
"76","Trixis pruskii D.J.N.Hind",5.688149,0.002041,1.3e-05,6.504421,0.051828,0.023491,7.313305,0.030448,0.002038,8.460317,0.058137,0.025655,"Mechanism_3"
"77","Verbesina fraseri Hemsl.",5.692875,0.003908,3e-05,7.850854,0.195226,0.054812,7.463386,0.030463,0.004756,9.585694,0.019695,0.059862,"Mechanism_3"
"78","Wedelia acapulcensis Kunth",5.691713,0.001469,2e-06,7.197099,0.067762,0.003575,7.490323,0.009832,0.00031,8.931375,0.069812,0.003904,"Mechanism_3"
"79","Zexmenia serrata La Llave",5.69422,0.001711,4e-06,7.498362,0.066251,0.007149,7.428179,0.012737,0.00062,9.34638,0.087179,0.007808,"Mechanism_3"
"80","Burmeistera asclepiadea Gleason",5.673621,0.005076,1e-05,7.796455,0.193129,0.018271,7.172965,0.047505,0.001585,9.825652,0.122241,0.019954,"Mechanism_3"
"81","Burmeistera brachyandra E.Wimm.",5.693892,0.00288,3e-05,7.657896,0.053089,0.054812,6.99008,0.021918,0.004756,9.913163,0.112478,0.059862,"Mechanism_3"
"82","Burmeistera mcvaughii Wilbur",5.656167,NA,9e-05,8.130648,NA,0.164437,6.910751,NA,0.014267,10.372866,NA,0.179585,"Mechanism_3"
"83","Burmeistera puberula E.Wimm.",5.664175,NA,9e-05,7.36897,NA,0.164437,7.127694,NA,0.014267,9.11405,NA,0.179585,"Mechanism_3"
"84","Centropogon argutus E.Wimm.",5.660005,NA,9e-05,6.811244,NA,0.164437,7.157735,NA,0.014267,9.001839,NA,0.179585,"Mechanism_3"
"85","Centropogon densiflorus Benth.",5.658262,NA,9e-05,7.231287,NA,0.164437,7.022868,NA,0.014267,9.390075,NA,0.179585,"Mechanism_3"
"86","Centropogon fulvus Gleason",5.668127,0.020034,4.5e-05,8.079218,0.166429,0.082218,7.160556,0.10697,0.007133,9.742608,0.013771,0.089793,"Mechanism_3"
"87","Centropogon granulosus C.Presl",5.680138,0.00221,2e-06,7.886976,0.058486,0.004011,7.2168,0.026265,0.000357,9.771526,0.045323,0.00449,"Mechanism_3"
"88","Centropogon intonsus Gleason",5.655022,0.00978,3e-05,6.883042,0.117635,0.054812,6.999759,0.163307,0.004756,9.157234,0.282364,0.059862,"Mechanism_3"
"89","Centropogon luteus E.Wimm.",5.661506,0.002618,3e-05,7.160561,0.2139,0.054812,6.953329,0.006094,0.004756,9.534688,0.095261,0.059862,"Mechanism_3"
"90","Centropogon medusa E.Wimm.",5.64527,NA,9e-05,6.625392,NA,0.164437,6.802395,NA,0.014267,9.619,NA,0.179585,"Mechanism_3"
"91","Centropogon pulcher Zahlbr.",5.667378,0.007575,2.2e-05,6.667592,0.225793,0.041109,7.243284,0.0165,0.003567,8.973534,0.287876,0.044896,"Mechanism_3"
"92","Centropogon reflexus C.Presl",5.649987,0.009321,4.5e-05,7.103151,0.273357,0.082218,7.194753,0.010882,0.007133,8.695911,0.104353,0.089793,"Mechanism_3"
"93","Centropogon rubiginosus E.Wimm.",5.642793,NA,9e-05,7.080868,NA,0.164437,6.874198,NA,0.014267,9.471396,NA,0.179585,"Mechanism_3"
"94","Centropogon solanifolius Benth.",5.669787,0.002112,2e-06,7.616042,0.076857,0.004444,7.159331,0.018681,0.000386,9.535187,0.070693,0.004854,"Mechanism_3"
"95","Centropogon trachyanthus E.Wimm.",5.681114,0.012786,4.5e-05,8.223499,0.089618,0.082218,7.025089,0.003113,0.007133,10.148142,0.353688,0.089793,"Mechanism_3"
"96","Centropogon urubambae E.Wimm.",5.67764,0.009149,3e-05,6.806228,0.229273,0.054812,7.270594,0.033302,0.004756,9.331332,0.094306,0.059862,"Mechanism_3"
"97","Centropogon yungasensis Britton",5.668751,0.003052,1e-05,7.248155,0.145927,0.018271,7.193114,0.030354,0.001585,9.227085,0.077384,0.019954,"Mechanism_3"
"98","Siphocampylus aureus Rusby",5.684546,0.010364,4.5e-05,6.950498,0.08565,0.082218,7.478378,0.04294,0.007133,8.495688,0.109515,0.089793,"Mechanism_3"
"99","Siphocampylus ayersiae Lammers",5.650296,0.00519,3e-05,7.213722,0.059494,0.054812,7.173707,0.045347,0.004756,8.89703,0.061147,0.059862,"Mechanism_3"
"100","Siphocampylus brevicalyx E.Wimm.",5.644157,0.01026,4.5e-05,7.206716,0.077418,0.082218,6.834678,0.108445,0.007133,9.565284,0.031339,0.089793,"Mechanism_3"
"101","Siphocampylus brevipedicellatus E.Wimm.",5.678294,NA,9e-05,7.651596,NA,0.164437,7.257003,NA,0.014267,9.499646,NA,0.179585,"Mechanism_3"
"102","Siphocampylus chloroleucus E.Wimm.",5.66086,0.005393,4.5e-05,7.134611,0.092325,0.082218,7.266011,0.015375,0.007133,9.022315,0.147307,0.089793,"Mechanism_3"
"103","Siphocampylus correoides Zahlbr.",5.651428,0.00404,4.5e-05,7.293446,0.022437,0.082218,7.168132,0.011176,0.007133,8.918251,0.167093,0.089793,"Mechanism_3"
"104","Siphocampylus dependens G.Don",5.65992,0.007811,1.3e-05,6.996181,0.122903,0.023491,7.146644,0.023027,0.002038,9.080614,0.123664,0.025655,"Mechanism_3"
"105","Siphocampylus elegans Planch.",5.657564,NA,9e-05,7.063904,NA,0.164437,7.137278,NA,0.014267,9.070503,NA,0.179585,"Mechanism_3"
"106","Siphocampylus fissus Gleason",5.661397,NA,9e-05,7.664347,NA,0.164437,7.178545,NA,0.014267,9.298809,NA,0.179585,"Mechanism_3"
"107","Siphocampylus flagelliformis Zahlbr.",5.648244,0.007224,4.5e-05,7.28744,0.060504,0.082218,7.195148,0.055487,0.007133,8.890158,0.01515,0.089793,"Mechanism_3"
"108","Siphocampylus grandiflorus E.Wimm.",5.650206,NA,9e-05,7.443664,NA,0.164437,7.118016,NA,0.014267,8.933532,NA,0.179585,"Mechanism_3"
"109","Siphocampylus humboldtianus A.DC.",5.672395,0.011694,4.5e-05,6.656541,0.019283,0.082218,7.177605,0.115413,0.007133,9.030235,0.106244,0.089793,"Mechanism_3"
"110","Siphocampylus longipedunculatus Pohl",5.680057,0.004511,2.2e-05,7.340486,0.120028,0.041109,7.1668,0.041234,0.003567,9.363596,0.095848,0.044896,"Mechanism_3"
"111","Siphocampylus membranaceus Britton",5.676925,NA,9e-05,6.613384,NA,0.164437,7.202661,NA,0.014267,9.264165,NA,0.179585,"Mechanism_3"
"112","Siphocampylus nobilis E.Wimm.",5.65861,0.001395,4.5e-05,6.973466,0.162222,0.082218,7.111247,0.046488,0.007133,9.109677,0.107838,0.089793,"Mechanism_3"
"113","Siphocampylus nummularius E.Wimm.",5.637821,NA,9e-05,6.801283,NA,0.164437,7.44132,NA,0.014267,8.032035,NA,0.179585,"Mechanism_3"
"114","Siphocampylus oblongifolius Rusby",5.689515,NA,9e-05,6.961296,NA,0.164437,7.325149,NA,0.014267,9.18533,NA,0.179585,"Mechanism_3"
"115","Siphocampylus odontosepalus Vatke",5.675725,0.001543,4.5e-05,6.987752,0.343963,0.082218,7.235139,0.03099,0.007133,9.00616,0.209367,0.089793,"Mechanism_3"
"116","Siphocampylus onagrius E.Wimm.",5.661397,NA,9e-05,7.664347,NA,0.164437,7.178545,NA,0.014267,9.298809,NA,0.179585,"Mechanism_3"
"117","Siphocampylus penduliflorus Decne. ex Planch.",5.694051,0.00589,4.5e-05,7.577776,0.104707,0.082218,7.176868,0.042774,0.007133,9.961221,0.4651,0.089793,"Mechanism_3"
"118","Siphocampylus pozuzensis E.Wimm.",5.691879,NA,9e-05,7.221105,NA,0.164437,7.185387,NA,0.014267,9.385553,NA,0.179585,"Mechanism_3"
"119","Siphocampylus reflexus Rusby",5.678639,0.018286,4.5e-05,7.289519,0.923049,0.082218,7.456588,0.017617,0.007133,9.188041,0.846869,0.089793,"Mechanism_3"
"120","Siphocampylus sanguineus Zahlbr.",5.653716,NA,9e-05,7.2086,NA,0.164437,7.110696,NA,0.014267,9.214133,NA,0.179585,"Mechanism_3"
"121","Siphocampylus secundus E.Wimm.",5.659466,0.005749,4.5e-05,6.732767,0.008934,0.082218,7.098953,0.022299,0.007133,9.085858,0.146146,0.089793,"Mechanism_3"
"122","Siphocampylus soraticus E.Wimm.",5.65059,0.009761,2.2e-05,6.974121,0.116616,0.041109,7.205006,0.032068,0.003567,8.956412,0.120211,0.044896,"Mechanism_3"
"123","Siphocampylus stenolobus E.Wimm.",5.648607,0.00546,4.5e-05,7.080727,0.228485,0.082218,7.15497,0.084245,0.007133,8.736365,0.303424,0.089793,"Mechanism_3"
"124","Siphocampylus tortuosus Zahlbr.",5.65126,NA,9e-05,6.4708,NA,0.164437,7.122867,NA,0.014267,8.99293,NA,0.179585,"Mechanism_3"
"125","Rochefortia lundellii Camp",5.697736,0.001182,1.3e-05,7.365011,0.156139,0.023491,7.456669,0.023581,0.002038,9.072759,0.188922,0.025655,"Mechanism_3"
"126","Varronia dichotoma Ruiz & Pav.",5.691032,0.001227,1e-06,7.481613,0.059379,0.002164,7.308596,0.016056,0.00019,9.438541,0.055632,0.002394,"Mechanism_3"
"127","Varronia polycephala Lam.",5.69376,0.000761,1e-06,7.376898,0.028229,0.001166,7.331234,0.009417,1e-04,9.257658,0.027217,0.001265,"Mechanism_3"
"128","Tournefortia angustiflora Ruiz & Pav.",5.69602,0.001773,3e-06,7.754983,0.054213,0.005873,7.397918,0.023826,0.000549,9.528355,0.061538,0.006907,"Mechanism_3"
"129","Tournefortia chinchensis Killip",5.648798,NA,9e-05,6.783325,NA,0.164437,7.31322,NA,0.014267,8.485909,NA,0.179585,"Mechanism_3"
"130","Tournefortia coriacea Vaupel",5.696868,0.000772,1.5e-05,7.938965,0.09658,0.027406,7.148482,0.034678,0.002378,9.961207,0.11244,0.029931,"Mechanism_3"
"131","Tournefortia cuspidata Kunth",5.697213,0.000943,2e-06,7.905739,0.054619,0.002885,7.2938,0.019991,0.000255,9.829631,0.050396,0.003207,"Mechanism_3"
"132","Tournefortia melanochaeta DC.",5.696568,0.002104,8e-06,7.868881,0.104283,0.014949,7.30896,0.021325,0.001297,9.626036,0.07437,0.016326,"Mechanism_3"
"133","Tournefortia scabra Lam.",5.693708,0.00566,1.5e-05,7.182119,0.114585,0.027406,7.454914,0.04854,0.002853,8.973467,0.104379,0.035917,"Mechanism_3"
"134","Tournefortia setacea Killip",5.694263,0.002156,1.1e-05,7.635948,0.177995,0.020555,7.293443,0.035967,0.001783,9.755006,0.167253,0.022448,"Mechanism_3"
"135","Tournefortia subsessilis Cham.",5.700833,0.000621,3e-05,7.453546,0.069717,0.054812,7.37355,0.016632,0.007133,9.382771,0.107018,0.089793,"Mechanism_3"
"136","Tournefortia ulei Vaupel",5.698003,0.000702,3e-06,7.836138,0.05912,0.005481,7.30673,0.023192,0.000476,9.765813,0.064237,0.005986,"Mechanism_3"
"137","Tournefortia villosa Salzm. ex DC.",5.691161,0.001647,4e-06,7.098346,0.077776,0.008222,7.271411,0.021907,0.000713,9.026831,0.074848,0.008979,"Mechanism_3"
"138","Celosia nitida Vahl",5.696841,0.001442,4e-06,6.955026,0.086203,0.00783,7.495192,0.0158,0.000713,8.670659,0.091599,0.008979,"Mechanism_3"
"139","Hebanthe spicata Mart.",5.687649,0.002879,4.5e-05,6.649625,0.143841,0.082218,7.375717,0.018161,0.007133,8.534225,0.099327,0.089793,"Mechanism_3"
"140","Iresine diffusa Humb. & Bonpl. ex Willd.",5.683639,0.001101,0,7.286558,0.03677,0.000765,7.341963,0.011423,6.7e-05,9.168121,0.04124,0.000847,"Mechanism_3"
"141","Iresine interrupta Benth.",5.685302,0.001992,2e-06,6.994041,0.054747,0.003824,7.481342,0.010551,0.000332,8.72788,0.060083,0.004176,"Mechanism_3"
"142","Iresine nigra Uline & Bray",5.69223,0.001323,2e-06,7.235196,0.068186,0.004011,7.482694,0.012731,0.000348,8.994823,0.070113,0.00438,"Mechanism_3"
"143","Iresine rzedowskii Zumaya, Flores Olv. & Borsch",5.667637,NA,9e-05,6.932448,NA,0.164437,7.462215,NA,0.014267,8.487146,NA,0.179585,"Mechanism_3"
"144","Cereus mirabella N.P.Taylor",5.696622,0.00111,1e-05,7.056536,0.067196,0.018271,7.433403,0.015815,0.001585,8.879345,0.084311,0.019954,"Mechanism_3"
"145","Haageocereus pacalaensis Backeb.",5.685449,NA,9e-05,4.615121,NA,0.164437,7.293018,NA,0.014267,5.652489,NA,0.179585,"Mechanism_3"
"146","Haageocereus tenuis F.Ritter",5.681176,0.006307,4.5e-05,2.8102,0.325294,0.082218,7.16432,0.209681,0.007133,4.763159,1.872787,0.089793,"Mechanism_3"
"147","Tacinga funalis Britton & Rose",5.694922,0.001694,7e-06,6.434384,0.07471,0.013703,7.385746,0.027958,0.001189,8.223484,0.096459,0.014965,"Mechanism_3"
"148","Bougainvillea spectabilis Willd.",5.689364,0.001403,1e-06,7.016955,0.058423,0.001912,7.331067,0.015634,0.000164,8.947708,0.068594,0.002064,"Mechanism_3"
"149","Colignonia glomerata Griseb.",5.652013,0.008188,1.3e-05,6.988421,0.163766,0.023491,7.255229,0.030577,0.002038,8.854251,0.112567,0.025655,"Mechanism_3"
"150","Colignonia ovalifolia Heimerl",5.650877,0.007786,1.3e-05,7.372567,0.22502,0.023491,6.95081,0.065188,0.002038,9.510079,0.180775,0.025655,"Mechanism_3"
"151","Colignonia rufopilosa Kuntze",5.652819,0.003836,6e-06,7.095568,0.13811,0.011745,7.147323,0.040727,0.001019,9.032811,0.127894,0.012828,"Mechanism_3"
"152","Cryptocarpus pyriformis Kunth",5.694905,0.001372,1.5e-05,6.586072,0.139892,0.027406,7.118743,0.029768,0.004756,9.135459,0.079166,0.059862,"Mechanism_3"
"153","Pisonia aculeata L.",5.695624,0.000539,0,7.15133,0.033981,0.000899,7.428174,0.009392,7.9e-05,8.953114,0.037514,0.000998,"Mechanism_3"
"154","Seguieria aculeata Jacq.",5.691277,0.001177,3e-06,7.008854,0.090217,0.004698,7.33923,0.02269,0.000408,8.934089,0.097573,0.005131,"Mechanism_3"
"155","Seguieria americana L.",5.695741,0.001008,2e-06,7.183141,0.066326,0.003824,7.335705,0.019324,0.000332,9.121755,0.073577,0.004176,"Mechanism_3"
