"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1","Anthurium algentryi Croat",5.701947,NA,0.000101,8.584665,NA,0.153993,7.315884,NA,0.013528,10.634893,NA,0.137142,"Mechanism_4"
"2","Anthurium anchicayense Croat",5.679661,NA,0.000101,8.70649,NA,0.153993,7.141245,NA,0.013528,10.084433,NA,0.137142,"Mechanism_4"
"3","Anthurium andraeanum Linden ex André",5.685929,0.009233,3.4e-05,7.974617,0.084979,0.051331,7.277662,0.055191,0.004509,9.667302,0.048514,0.045714,"Mechanism_4"
"4","Anthurium atropurpureum R.E.Schult. & Maguire",5.694885,0.000684,2e-06,7.854625,0.038611,0.002961,7.175228,0.014141,0.00026,9.879034,0.037846,0.002637,"Mechanism_4"
"5","Anthurium bakeri Hook.f.",5.695506,0.001284,4e-06,7.902198,0.068568,0.006695,7.436535,0.010165,0.000588,9.637647,0.065424,0.005963,"Mechanism_4"
"6","Anthurium berryi G.S.Bunting",5.653716,NA,0.000101,7.448916,NA,0.153993,7.185387,NA,0.013528,9.226509,NA,0.137142,"Mechanism_4"
"7","Anthurium bogotense Schott",5.666894,0.003565,5e-06,7.662317,0.1093,0.0077,7.125398,0.026944,0.000676,9.685437,0.086124,0.006857,"Mechanism_4"
"8","Anthurium bonplandii G.S.Bunting",5.696057,0.000632,2e-06,7.888519,0.035819,0.00275,7.259947,0.012621,0.000242,9.819485,0.03646,0.002449,"Mechanism_4"
"9","Anthurium breviscapum Kunth",5.688607,0.001777,2e-06,7.707005,0.077111,0.003276,7.127162,0.012807,0.000288,9.7861,0.082115,0.002918,"Mechanism_4"
"10","Anthurium caramantae Engl.",5.662264,0.001911,5e-05,7.776128,0.049915,0.076997,7.168738,0.102271,0.006764,9.731892,0.003532,0.068571,"Mechanism_4"
