"","taxa","diversity","node","age_mean","clade","CM"
"45","Ectopopterys",1,"SG",13.698,"Malpighiaceae",1
"52","Heladena",1,"SG",8.79,"Malpighiaceae",1
"54","Henleophytum",1,"SG",8.79,"Malpighiaceae",1
