Family,Genus,Species,CM
Acanthaceae,Aphelandra,Aphelandra tomentosa,3
Acanthaceae,Dasytropis,Dasytropis fragilis,3
Acanthaceae,Dicliptera,Dicliptera purpurascens,3
Acanthaceae,Justicia,Justicia adenothyrsa,3
Acanthaceae,Justicia,Justicia anabasa,3
Acanthaceae,Justicia,Justicia brasiliana,3
Acanthaceae,Justicia,Justicia cydoniifolia,3
Acanthaceae,Justicia,Justicia fuchsiifolia,3
Acanthaceae,Justicia,Justicia graciliflora,3
Acanthaceae,Justicia,Justicia kirkbridei,3
Acanthaceae,Justicia,Justicia megalantha,3
Acanthaceae,Justicia,Justicia monopleurantha,3
Acanthaceae,Justicia,Justicia nicaraguensis,3
Acanthaceae,Justicia,Justicia pyrrhostachya,3
Acanthaceae,Justicia,Justicia sarapiquensis,3
Acanthaceae,Justicia,Justicia scansilis,3
Acanthaceae,Justicia,Justicia schomburgkiana,3
Acanthaceae,Justicia,Justicia spicigera,3
Acanthaceae,Mendoncia,Mendoncia albiflora,1
Acanthaceae,Mendoncia,Mendoncia antioquiensis,1
Acanthaceae,Mendoncia,Mendoncia aspera,1
Acanthaceae,Mendoncia,Mendoncia aurea,1
Acanthaceae,Mendoncia,Mendoncia bahiensis,1
Acanthaceae,Mendoncia,Mendoncia bivalvis,1
Acanthaceae,Mendoncia,Mendoncia blanchetiana,1
Acanthaceae,Mendoncia,Mendoncia brenesii,1
Acanthaceae,Mendoncia,Mendoncia caquetensis,1
Acanthaceae,Mendoncia,Mendoncia cardonae,1
Acanthaceae,Mendoncia,Mendoncia coccinea,1
Acanthaceae,Mendoncia,Mendoncia cordata,1
Acanthaceae,Mendoncia,Mendoncia coriacea,1
Acanthaceae,Mendoncia,Mendoncia costaricana,1
Acanthaceae,Mendoncia,Mendoncia crenata,1
Acanthaceae,Mendoncia,Mendoncia cuatrecasasii,1
Acanthaceae,Mendoncia,Mendoncia garciae,1
Acanthaceae,Mendoncia,Mendoncia gigas,1
Acanthaceae,Mendoncia,Mendoncia gilva,1
Acanthaceae,Mendoncia,Mendoncia glabra,1
Acanthaceae,Mendoncia,Mendoncia glabrescens,1
Acanthaceae,Mendoncia,Mendoncia glomerata,1
Acanthaceae,Mendoncia,Mendoncia gracilis,1
Acanthaceae,Mendoncia,Mendoncia guatemalensis,1
Acanthaceae,Mendoncia,Mendoncia hoffmannseggiana,1
Acanthaceae,Mendoncia,Mendoncia killipii,1
Acanthaceae,Mendoncia,Mendoncia klugii,1
Acanthaceae,Mendoncia,Mendoncia lasiophyta,1
Acanthaceae,Mendoncia,Mendoncia leucantha,1
Acanthaceae,Mendoncia,Mendoncia lindavii,1
Acanthaceae,Mendoncia,Mendoncia litoralis,1
Acanthaceae,Mendoncia,Mendoncia meyeniana,1
Acanthaceae,Mendoncia,Mendoncia microchlamys,1
Acanthaceae,Mendoncia,Mendoncia mirabilis,1
Acanthaceae,Mendoncia,Mendoncia mutisii,1
Acanthaceae,Mendoncia,Mendoncia neblinensis,1
Acanthaceae,Mendoncia,Mendoncia obovata,1
Acanthaceae,Mendoncia,Mendoncia odorata,1
Acanthaceae,Mendoncia,Mendoncia orbicularis,1
Acanthaceae,Mendoncia,Mendoncia pedunculata,1
Acanthaceae,Mendoncia,Mendoncia pennellii,1
Acanthaceae,Mendoncia,Mendoncia peruviana,1
Acanthaceae,Mendoncia,Mendoncia phalacra,1
Acanthaceae,Mendoncia,Mendoncia pilosa,1
Acanthaceae,Mendoncia,Mendoncia puberula,1
Acanthaceae,Mendoncia,Mendoncia retusa,1
Acanthaceae,Mendoncia,Mendoncia robusta,1
Acanthaceae,Mendoncia,Mendoncia rosea,1
Acanthaceae,Mendoncia,Mendoncia sericea,1
Acanthaceae,Mendoncia,Mendoncia smithii,1
Acanthaceae,Mendoncia,Mendoncia speciosa,1
Acanthaceae,Mendoncia,Mendoncia spraguei,1
Acanthaceae,Mendoncia,Mendoncia sprucei,1
Acanthaceae,Mendoncia,Mendoncia squamuligera,1
Acanthaceae,Mendoncia,Mendoncia steyermarkii,1
Acanthaceae,Mendoncia,Mendoncia tarapotana,1
Acanthaceae,Mendoncia,Mendoncia tessmannii,1
Acanthaceae,Mendoncia,Mendoncia tetragona,1
Acanthaceae,Mendoncia,Mendoncia tonduzii,1
Acanthaceae,Mendoncia,Mendoncia tovarensis,1
Acanthaceae,Mendoncia,Mendoncia trichota,1
Acanthaceae,Mendoncia,Mendoncia velloziana,1
Acanthaceae,Mendoncia,Mendoncia villosa,1
Acanthaceae,Mendoncia,Mendoncia williamsii,1
Acanthaceae,Mendoncia,Mendoncia zarucchii,1
Acanthaceae,Neriacanthus,Neriacanthus nitidus,3
Acanthaceae,Odontonema,Odontonema ampelocaule,3
Acanthaceae,Oplonia,Oplonia armata,3
Acanthaceae,Oplonia,Oplonia jamaicensis,3
Acanthaceae,Oplonia,Oplonia spinosa,3
Acanthaceae,Oplonia,Oplonia tetrasticha,3
Acanthaceae,Pachystachys,Pachystachys spicata,3
Acanthaceae,Ruellia,Ruellia affinis,3
Acanthaceae,Ruellia,Ruellia beckii,3
Acanthaceae,Ruellia,Ruellia inflata,3
Acanthaceae,Ruellia,Ruellia sprucei,3
Acanthaceae,Ruellia,Ruellia steyermarkii,3
Acanthaceae,Sapphoa,Sapphoa ekmanii,3
Acanthaceae,Sapphoa,Sapphoa rigidifolia,3
Acanthaceae,Thunbergia,Thunbergia alata,1
Acanthaceae,Thyrsacanthus,Thyrsacanthus boliviensis,3
Acanthaceae,Thyrsacanthus,Thyrsacanthus ramosissimus,3
Acanthaceae,Thyrsacanthus,Thyrsacanthus secundus,3
Adoxaceae,Viburnum,Viburnum undulatum,3
Aizoaceae,Sesuvium,Sesuvium portulacastrum,4
Alstroemeriaceae,Bomarea,Bomarea acutifolia,1
Alstroemeriaceae,Bomarea,Bomarea albimontana,1
Alstroemeriaceae,Bomarea,Bomarea allenii,1
Alstroemeriaceae,Bomarea,Bomarea alstroemerioides,1
Alstroemeriaceae,Bomarea,Bomarea amazonica,1
Alstroemeriaceae,Bomarea,Bomarea amilcariana,1
Alstroemeriaceae,Bomarea,Bomarea anceps,1
Alstroemeriaceae,Bomarea,Bomarea andreana,1
Alstroemeriaceae,Bomarea,Bomarea angulata,1
Alstroemeriaceae,Bomarea,Bomarea angustissima,1
Alstroemeriaceae,Bomarea,Bomarea aurantiaca,1
Alstroemeriaceae,Bomarea,Bomarea bracteata,1
Alstroemeriaceae,Bomarea,Bomarea bracteolata,1
Alstroemeriaceae,Bomarea,Bomarea bredemeyeriana,1
Alstroemeriaceae,Bomarea,Bomarea caldasii,1
Alstroemeriaceae,Bomarea,Bomarea callejasiana,1
Alstroemeriaceae,Bomarea,Bomarea campylophylla,1
Alstroemeriaceae,Bomarea,Bomarea carderi,1
Alstroemeriaceae,Bomarea,Bomarea caucana,1
Alstroemeriaceae,Bomarea,Bomarea caudata,1
Alstroemeriaceae,Bomarea,Bomarea caudatisepala,1
Alstroemeriaceae,Bomarea,Bomarea ceratophora,1
Alstroemeriaceae,Bomarea,Bomarea chaparensis,1
Alstroemeriaceae,Bomarea,Bomarea chiriquina,1
Alstroemeriaceae,Bomarea,Bomarea colombiana,1
Alstroemeriaceae,Bomarea,Bomarea cornigera,1
Alstroemeriaceae,Bomarea,Bomarea cornuta,1
Alstroemeriaceae,Bomarea,Bomarea crinita,1
Alstroemeriaceae,Bomarea,Bomarea declinata,1
Alstroemeriaceae,Bomarea,Bomarea densiflora,1
Alstroemeriaceae,Bomarea,Bomarea denticulata,1
Alstroemeriaceae,Bomarea,Bomarea diffracta,1
Alstroemeriaceae,Bomarea,Bomarea dissitifolia,1
Alstroemeriaceae,Bomarea,Bomarea dolichocarpa,1
Alstroemeriaceae,Bomarea,Bomarea dulcis,1
Alstroemeriaceae,Bomarea,Bomarea edulis,1
Alstroemeriaceae,Bomarea,Bomarea elegans,1
Alstroemeriaceae,Bomarea,Bomarea endotrachys,1
Alstroemeriaceae,Bomarea,Bomarea engleriana,1
Alstroemeriaceae,Bomarea,Bomarea euryantha,1
Alstroemeriaceae,Bomarea,Bomarea formosissima,1
Alstroemeriaceae,Bomarea,Bomarea goniocaulon,1
Alstroemeriaceae,Bomarea,Bomarea graminifolia,1
Alstroemeriaceae,Bomarea,Bomarea hazenii,1
Alstroemeriaceae,Bomarea,Bomarea herbertiana,1
Alstroemeriaceae,Bomarea,Bomarea herrerae,1
Alstroemeriaceae,Bomarea,Bomarea hirsuta,1
Alstroemeriaceae,Bomarea,Bomarea isopetala,1
Alstroemeriaceae,Bomarea,Bomarea klugii,1
Alstroemeriaceae,Bomarea,Bomarea lancifolia,1
Alstroemeriaceae,Bomarea,Bomarea longipes,1
Alstroemeriaceae,Bomarea,Bomarea loreti,1
Alstroemeriaceae,Bomarea,Bomarea lutea,1
Alstroemeriaceae,Bomarea,Bomarea macusanii,1
Alstroemeriaceae,Bomarea,Bomarea moritziana,1
Alstroemeriaceae,Bomarea,Bomarea multiflora,1
Alstroemeriaceae,Bomarea,Bomarea multipes,1
Alstroemeriaceae,Bomarea,Bomarea nematocaulon,1
Alstroemeriaceae,Bomarea,Bomarea obovata,1
Alstroemeriaceae,Bomarea,Bomarea ovata,1
Alstroemeriaceae,Bomarea,Bomarea pardina,1
Alstroemeriaceae,Bomarea,Bomarea parvifolia,1
Alstroemeriaceae,Bomarea,Bomarea patacocensis,1
Alstroemeriaceae,Bomarea,Bomarea patinii,1
Alstroemeriaceae,Bomarea,Bomarea petiolata,6
Alstroemeriaceae,Bomarea,Bomarea praeusta,1
Alstroemeriaceae,Bomarea,Bomarea puracensis,1
Alstroemeriaceae,Bomarea,Bomarea purpurea,1
Alstroemeriaceae,Bomarea,Bomarea rosea,1
Alstroemeriaceae,Bomarea,Bomarea salsilla,1
Alstroemeriaceae,Bomarea,Bomarea sclerophylla,1
Alstroemeriaceae,Bomarea,Bomarea setacea,1
Alstroemeriaceae,Bomarea,Bomarea speciosa,1
Alstroemeriaceae,Bomarea,Bomarea stuebelii,1
Alstroemeriaceae,Bomarea,Bomarea superba,1
Alstroemeriaceae,Bomarea,Bomarea tarmensis,1
Alstroemeriaceae,Bomarea,Bomarea torta,1
Alstroemeriaceae,Bomarea,Bomarea tribrachiata,1
Alstroemeriaceae,Bomarea,Bomarea truxillensis,1
Alstroemeriaceae,Bomarea,Bomarea uncifolia,1
Alstroemeriaceae,Bomarea,Bomarea weigendii,1
Alstroemeriaceae,Bomarea,Bomarea williamsiae,1
Amaranthaceae,Alternanthera,Alternanthera grandis,3
Amaranthaceae,Alternanthera,Alternanthera pubiflora,3
Amaranthaceae,Celosia,Celosia nitida,3
Amaranthaceae,Chamissoa,Chamissoa acuminata,3
Amaranthaceae,Chamissoa,Chamissoa altissima,3
Amaranthaceae,Gomphrena,Gomphrena scandens,3
Amaranthaceae,Gomphrena,Gomphrena vaga,1
Amaranthaceae,Hebanthe,Hebanthe erianthos,1
Amaranthaceae,Hebanthe,Hebanthe grandiflora,1
Amaranthaceae,Hebanthe,Hebanthe hookeriana,1
Amaranthaceae,Hebanthe,Hebanthe occidentalis,1
Amaranthaceae,Hebanthe,Hebanthe pulverulenta,1
Amaranthaceae,Hebanthe,Hebanthe reticulata,3
Amaranthaceae,Hebanthe,Hebanthe spicata,3
Amaranthaceae,Iresine,Iresine angustifolia,3
Amaranthaceae,Iresine,Iresine diffusa,3
Amaranthaceae,Iresine,Iresine interrupta,3
Amaranthaceae,Iresine,Iresine nigra,3
Amaranthaceae,Iresine,Iresine palmeri,3
Amaranthaceae,Iresine,Iresine pedicellata,3
Amaranthaceae,Iresine,Iresine rzedowskii,3
Amaranthaceae,Pedersenia,Pedersenia argentata,1
Amaranthaceae,Pedersenia,Pedersenia completa,3
Amaranthaceae,Pedersenia,Pedersenia costaricensis,3
Amaranthaceae,Pedersenia,Pedersenia domingensis,3
Amaranthaceae,Pedersenia,Pedersenia macrophylla,1
Amaranthaceae,Pedersenia,Pedersenia volubilis,1
Amaranthaceae,Pleuropetalum,Pleuropetalum pleiogynum,3
Anacardiaceae,Attilaea,Attilaea abalak,3
Anacardiaceae,Rhus,Rhus terebinthifolia,3
Anacardiaceae,Toxicodendron,Toxicodendron radicans,4
Annonaceae,Annona,Annona ambotay,3
Annonaceae,Annona,Annona cordifolia,3
Annonaceae,Annona,Annona haematantha,3
Annonaceae,Annona,Annona hypoglauca,3
Annonaceae,Annona,Annona hystricoides,3
Annonaceae,Annona,Annona mammifera,3
Annonaceae,Annona,Annona scandens,3
Annonaceae,Guatteria,Guatteria beckii,3
Annonaceae,Guatteria,Guatteria microsperma,3
Annonaceae,Guatteria,Guatteria scandens,3
Apocynaceae,Allamanda,Allamanda cathartica,3
Apocynaceae,Allamanda,Allamanda doniana,3
Apocynaceae,Allamanda,Allamanda oenotherifolia,3
Apocynaceae,Allamanda,Allamanda schottii,3
Apocynaceae,Allamanda,Allamanda thevetifolia,3
Apocynaceae,Allomarkgrafia,Allomarkgrafia antioquiana,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia brenesiana,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia campanulata,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia ecuatoriana,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia foreroi,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia laxiflora,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia ovalis,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia plumeriiflora,1
Apocynaceae,Allomarkgrafia,Allomarkgrafia tubiflora,1
Apocynaceae,Anechites,Anechites nerium,1
Apocynaceae,Angadenia,Angadenia berteroi,1
Apocynaceae,Angadenia,Angadenia lindeniana,1
Apocynaceae,Araujia,Araujia angustifolia,1
Apocynaceae,Araujia,Araujia brachystephana,1
Apocynaceae,Araujia,Araujia herzogii,1
Apocynaceae,Araujia,Araujia hortorum,1
Apocynaceae,Araujia,Araujia megapotamica,1
Apocynaceae,Araujia,Araujia odorata,1
Apocynaceae,Araujia,Araujia plumosa,1
Apocynaceae,Araujia,Araujia sericifera,1
Apocynaceae,Araujia,Araujia stormiana,1
Apocynaceae,Araujia,Araujia stuckertiana,1
Apocynaceae,Araujia,Araujia variegata,1
Apocynaceae,Asketanthera,Asketanthera calycosa,1
Apocynaceae,Asketanthera,Asketanthera dolichopetala,1
Apocynaceae,Asketanthera,Asketanthera longiflora,1
Apocynaceae,Asketanthera,Asketanthera obtusifolia,1
Apocynaceae,Asketanthera,Asketanthera picardae,1
Apocynaceae,Asketanthera,Asketanthera steyermarkii,1
Apocynaceae,Astephanus,Astephanus peruvianus,1
Apocynaceae,Bahiella,Bahiella blanchetii,1
Apocynaceae,Bahiella,Bahiella infundibuliflora,1
Apocynaceae,Beaumontia,Beaumontia grandiflora,1
Apocynaceae,Blepharodon,Blepharodon amazonicum,1
Apocynaceae,Blepharodon,Blepharodon ampliflorum,1
Apocynaceae,Blepharodon,Blepharodon angustifolium,1
Apocynaceae,Blepharodon,Blepharodon bicolor,1
Apocynaceae,Blepharodon,Blepharodon bicuspidatum,1
Apocynaceae,Blepharodon,Blepharodon colombianum,1
Apocynaceae,Blepharodon,Blepharodon costae,1
Apocynaceae,Blepharodon,Blepharodon cuatrecasasii,1
Apocynaceae,Blepharodon,Blepharodon glaucescens,1
Apocynaceae,Blepharodon,Blepharodon gomphocarpoides,1
Apocynaceae,Blepharodon,Blepharodon grandiflorum,1
Apocynaceae,Blepharodon,Blepharodon harlingii,1
Apocynaceae,Blepharodon,Blepharodon hatschbachii,1
Apocynaceae,Blepharodon,Blepharodon julianii,1
Apocynaceae,Blepharodon,Blepharodon maigualidae,1
Apocynaceae,Blepharodon,Blepharodon manicatum,1
Apocynaceae,Blepharodon,Blepharodon mucronatum,1
Apocynaceae,Blepharodon,Blepharodon nitidum,1
Apocynaceae,Blepharodon,Blepharodon perijaense,1
Apocynaceae,Blepharodon,Blepharodon philibertioides,1
Apocynaceae,Blepharodon,Blepharodon pictum,1
Apocynaceae,Blepharodon,Blepharodon polydori,1
Apocynaceae,Blepharodon,Blepharodon reflexum,1
Apocynaceae,Blepharodon,Blepharodon salicinum,1
Apocynaceae,Blepharodon,Blepharodon tillettii,1
Apocynaceae,Blepharodon,Blepharodon ulei,1
Apocynaceae,Calostigma,Calostigma peruvianum,1
Apocynaceae,Condylocarpon,Condylocarpon amazonicum,1
Apocynaceae,Condylocarpon,Condylocarpon glabrum,1
Apocynaceae,Condylocarpon,Condylocarpon guyanense,1
Apocynaceae,Condylocarpon,Condylocarpon intermedium,1
Apocynaceae,Condylocarpon,Condylocarpon isthmicum,1
Apocynaceae,Condylocarpon,Condylocarpon myrtifolium,1
Apocynaceae,Condylocarpon,Condylocarpon pubiflorum,1
Apocynaceae,Cryptostegia,Cryptostegia grandiflora,1
Apocynaceae,Cryptostegia,Cryptostegia madagascariensis,1
Apocynaceae,Cynanchum,Cynanchum anderssonii,1
Apocynaceae,Cynanchum,Cynanchum balslevii,1
Apocynaceae,Cynanchum,Cynanchum beatricis,1
Apocynaceae,Cynanchum,Cynanchum beckii,1
Apocynaceae,Cynanchum,Cynanchum bernardii,1
Apocynaceae,Cynanchum,Cynanchum bifidum,1
Apocynaceae,Cynanchum,Cynanchum blandum,1
Apocynaceae,Cynanchum,Cynanchum bonariense,1
Apocynaceae,Cynanchum,Cynanchum brachyphyllum,1
Apocynaceae,Cynanchum,Cynanchum bricenoi,1
Apocynaceae,Cynanchum,Cynanchum campii,1
Apocynaceae,Cynanchum,Cynanchum cardozoi,1
Apocynaceae,Cynanchum,Cynanchum carmenaemiliae,1
Apocynaceae,Cynanchum,Cynanchum caudigerum,1
Apocynaceae,Cynanchum,Cynanchum chanchanense,1
Apocynaceae,Cynanchum,Cynanchum chimboracense,1
Apocynaceae,Cynanchum,Cynanchum confusum,1
Apocynaceae,Cynanchum,Cynanchum contrapetalum,1
Apocynaceae,Cynanchum,Cynanchum cristalinense,1
Apocynaceae,Cynanchum,Cynanchum cuatrecasasii,1
Apocynaceae,Cynanchum,Cynanchum densiflorum,1
Apocynaceae,Cynanchum,Cynanchum diazmirandae,1
Apocynaceae,Cynanchum,Cynanchum ellemanniae,1
Apocynaceae,Cynanchum,Cynanchum erikseniae,1
Apocynaceae,Cynanchum,Cynanchum fasciculiflorum,1
Apocynaceae,Cynanchum,Cynanchum fernandezii,1
Apocynaceae,Cynanchum,Cynanchum filisepalum,1
Apocynaceae,Cynanchum,Cynanchum formosum,1
Apocynaceae,Cynanchum,Cynanchum goertsianum,1
Apocynaceae,Cynanchum,Cynanchum huberi,1
Apocynaceae,Cynanchum,Cynanchum intricatum,1
Apocynaceae,Cynanchum,Cynanchum isidrense,1
Apocynaceae,Cynanchum,Cynanchum jaramilloi,1
Apocynaceae,Cynanchum,Cynanchum leptostephanum,1
Apocynaceae,Cynanchum,Cynanchum leucophellum,1
Apocynaceae,Cynanchum,Cynanchum ligulatum,1
Apocynaceae,Cynanchum,Cynanchum longecalicinum,1
Apocynaceae,Cynanchum,Cynanchum longirostrum,1
Apocynaceae,Cynanchum,Cynanchum lopezpalaciosii,1
Apocynaceae,Cynanchum,Cynanchum magdalenicum,1
Apocynaceae,Cynanchum,Cynanchum microstemma,1
Apocynaceae,Cynanchum,Cynanchum montevidense,1
Apocynaceae,Cynanchum,Cynanchum nielsenii,1
Apocynaceae,Cynanchum,Cynanchum nubicola,1
Apocynaceae,Cynanchum,Cynanchum paramorum,1
Apocynaceae,Cynanchum,Cynanchum paraquense,1
Apocynaceae,Cynanchum,Cynanchum pietrangelii,1
Apocynaceae,Cynanchum,Cynanchum prevostii,1
Apocynaceae,Cynanchum,Cynanchum purpureiflorum,1
Apocynaceae,Cynanchum,Cynanchum quitense,1
Apocynaceae,Cynanchum,Cynanchum racemosum,1
Apocynaceae,Cynanchum,Cynanchum riometense,1
Apocynaceae,Cynanchum,Cynanchum rioparanense,1
Apocynaceae,Cynanchum,Cynanchum ruizteranii,1
Apocynaceae,Cynanchum,Cynanchum rusbyi,1
Apocynaceae,Cynanchum,Cynanchum sepicola,1
Apocynaceae,Cynanchum,Cynanchum siderocalyx,1
Apocynaceae,Cynanchum,Cynanchum spruceanum,1
Apocynaceae,Cynanchum,Cynanchum stannardii,1
Apocynaceae,Cynanchum,Cynanchum stenospira,1
Apocynaceae,Cynanchum,Cynanchum tarmense,1
Apocynaceae,Cynanchum,Cynanchum tiaratum,1
Apocynaceae,Cynanchum,Cynanchum trollii,1
Apocynaceae,Cynanchum,Cynanchum unguiculatum,1
Apocynaceae,Cynanchum,Cynanchum velutinum,1
Apocynaceae,Cynanchum,Cynanchum violator,1
Apocynaceae,Cynanchum,Cynanchum wigginsii,1
Apocynaceae,Cynanchum,Cynanchum woodsonianum,1
Apocynaceae,Cynanchum,Cynanchum wurdackii,1
Apocynaceae,Cynanchum,Cynanchum brasiliense,1
Apocynaceae,Cynanchum,Cynanchum calycinum,1
Apocynaceae,Cynanchum,Cynanchum canoi,1
Apocynaceae,Cynanchum,Cynanchum carautanum,1
Apocynaceae,Cynanchum,Cynanchum chimantense,1
Apocynaceae,Cynanchum,Cynanchum cyathiforme,1
Apocynaceae,Cynanchum,Cynanchum hickenii,1
Apocynaceae,Cynanchum,Cynanchum jaliscanum,1
Apocynaceae,Cynanchum,Cynanchum luteynii,1
Apocynaceae,Cynanchum,Cynanchum neei,1
Apocynaceae,Cynanchum,Cynanchum peruvianum,1
Apocynaceae,Cynanchum,Cynanchum roulinioides,1
Apocynaceae,Cynanchum,Cynanchum schizocoronum,1
Apocynaceae,Cynanchum,Cynanchum surrubriflorum,1
Apocynaceae,Dictyanthus,Dictyanthus aeneus,1
Apocynaceae,Dictyanthus,Dictyanthus altatensis,1
Apocynaceae,Dictyanthus,Dictyanthus asper,1
Apocynaceae,Dictyanthus,Dictyanthus ceratopetalus,1
Apocynaceae,Dictyanthus,Dictyanthus eximius,1
Apocynaceae,Dictyanthus,Dictyanthus hamatus,1
Apocynaceae,Dictyanthus,Dictyanthus lautus,1
Apocynaceae,Dictyanthus,Dictyanthus macvaughianus,1
Apocynaceae,Dictyanthus,Dictyanthus parviflorus,1
Apocynaceae,Dictyanthus,Dictyanthus pavonii,1
Apocynaceae,Dictyanthus,Dictyanthus prostratus,1
Apocynaceae,Dictyanthus,Dictyanthus sepicola,1
Apocynaceae,Dictyanthus,Dictyanthus stapeliiflorus,1
Apocynaceae,Dictyanthus,Dictyanthus suffruticosus,1
Apocynaceae,Dictyanthus,Dictyanthus tigrinus,1
Apocynaceae,Dictyanthus,Dictyanthus tuberosus,1
Apocynaceae,Dictyanthus,Dictyanthus yucatanensis,1
Apocynaceae,Ditassa,Ditassa acerifolia,1
Apocynaceae,Ditassa,Ditassa albiflora,1
Apocynaceae,Ditassa,Ditassa albonerva,1
Apocynaceae,Ditassa,Ditassa anderssonii,1
Apocynaceae,Ditassa,Ditassa angustifolia,1
Apocynaceae,Ditassa,Ditassa anomala,1
Apocynaceae,Ditassa,Ditassa auyantepuiensis,1
Apocynaceae,Ditassa,Ditassa ayangannensis,1
Apocynaceae,Ditassa,Ditassa bicolor,1
Apocynaceae,Ditassa,Ditassa bolivarensis,1
Apocynaceae,Ditassa,Ditassa buntingii,1
Apocynaceae,Ditassa,Ditassa carnevalii,1
Apocynaceae,Ditassa,Ditassa caucana,1
Apocynaceae,Ditassa,Ditassa ciliata,1
Apocynaceae,Ditassa,Ditassa conceptionis,1
Apocynaceae,Ditassa,Ditassa colellae,1
Apocynaceae,Ditassa,Ditassa conceptionis,1
Apocynaceae,Ditassa,Ditassa consanguinea,1
Apocynaceae,Ditassa,Ditassa crassa,1
Apocynaceae,Ditassa,Ditassa dardanoi,1
Apocynaceae,Ditassa,Ditassa dolichoglossa,1
Apocynaceae,Ditassa,Ditassa duartei,1
Apocynaceae,Ditassa,Ditassa duidae,1
Apocynaceae,Ditassa,Ditassa edmundoi,1
Apocynaceae,Ditassa,Ditassa emmerichiae,1
Apocynaceae,Ditassa,Ditassa endoleuca,1
Apocynaceae,Ditassa,Ditassa eximia,1
Apocynaceae,Ditassa,Ditassa fiebrigii,1
Apocynaceae,Ditassa,Ditassa foldatsii,1
Apocynaceae,Ditassa,Ditassa fontellae,1
Apocynaceae,Ditassa,Ditassa franciscoi,1
Apocynaceae,Ditassa,Ditassa gillespieae,1
Apocynaceae,Ditassa,Ditassa glazioui,1
Apocynaceae,Ditassa,Ditassa gracilipes,1
Apocynaceae,Ditassa,Ditassa gracilis,1
Apocynaceae,Ditassa,Ditassa grandiflora,1
Apocynaceae,Ditassa,Ditassa hastata,1
Apocynaceae,Ditassa,Ditassa hispida,1
Apocynaceae,Ditassa,Ditassa insignis,1
Apocynaceae,Ditassa,Ditassa itambensis,1
Apocynaceae,Ditassa,Ditassa jahnii,1
Apocynaceae,Ditassa,Ditassa juliani,1
Apocynaceae,Ditassa,Ditassa laevis,1
Apocynaceae,Ditassa,Ditassa lagoensis,1
Apocynaceae,Ditassa,Ditassa lanceolata,1
Apocynaceae,Ditassa,Ditassa lenheirensis,1
Apocynaceae,Ditassa,Ditassa leonii,1
Apocynaceae,Ditassa,Ditassa liesneri,1
Apocynaceae,Ditassa,Ditassa lindemanii,1
Apocynaceae,Ditassa,Ditassa linearis,1
Apocynaceae,Ditassa,Ditassa lisae,1
Apocynaceae,Ditassa,Ditassa longicaulis,1
Apocynaceae,Ditassa,Ditassa longiloba,1
Apocynaceae,Ditassa,Ditassa longisepala,1
Apocynaceae,Ditassa,Ditassa macarenae,1
Apocynaceae,Ditassa,Ditassa mandonii,1
Apocynaceae,Ditassa,Ditassa maricaensis,1
Apocynaceae,Ditassa,Ditassa melantha,1
Apocynaceae,Ditassa,Ditassa mexicana,1
Apocynaceae,Ditassa,Ditassa microneriifolia,1
Apocynaceae,Ditassa,Ditassa mucronata,1
Apocynaceae,Ditassa,Ditassa multinervia,1
Apocynaceae,Ditassa,Ditassa nitida,1
Apocynaceae,Ditassa,Ditassa obcordata,1
Apocynaceae,Ditassa,Ditassa oberdanii,1
Apocynaceae,Ditassa,Ditassa obovata,1
Apocynaceae,Ditassa,Ditassa obscura,1
Apocynaceae,Ditassa,Ditassa oliva-estevae,1
Apocynaceae,Ditassa,Ditassa ottohuberi,1
Apocynaceae,Ditassa,Ditassa oxyphylla,1
Apocynaceae,Ditassa,Ditassa pauciflora,1
Apocynaceae,Ditassa,Ditassa perijensis,1
Apocynaceae,Ditassa,Ditassa poeppigii,1
Apocynaceae,Ditassa,Ditassa pohliana,1
Apocynaceae,Ditassa,Ditassa racemosa,1
Apocynaceae,Ditassa,Ditassa retusa,1
Apocynaceae,Ditassa,Ditassa roraimensis,1
Apocynaceae,Ditassa,Ditassa rotundifolia,1
Apocynaceae,Ditassa,Ditassa sillensis,1
Apocynaceae,Ditassa,Ditassa sipapoana,1
Apocynaceae,Ditassa,Ditassa sobradoi,1
Apocynaceae,Ditassa,Ditassa subalpina,1
Apocynaceae,Ditassa,Ditassa succedanea,1
Apocynaceae,Ditassa,Ditassa sucrensis,1
Apocynaceae,Ditassa,Ditassa surinamensis,1
Apocynaceae,Ditassa,Ditassa tamayoi,1
Apocynaceae,Ditassa,Ditassa tatei,1
Apocynaceae,Ditassa,Ditassa taxifolia,1
Apocynaceae,Ditassa,Ditassa tomentosa,1
Apocynaceae,Ditassa,Ditassa venamensis,1
Apocynaceae,Ditassa,Ditassa verticillata,1
Apocynaceae,Ditassa,Ditassa violascens,1
Apocynaceae,Ditassa,Ditassa weberbaueri,1
Apocynaceae,Ditassa,Ditassa xeroneura,1
Apocynaceae,Echites,Echites agglutinatus,1
Apocynaceae,Echites,Echites brevipedunculatus,1
Apocynaceae,Echites,Echites cajalbanicus,1
Apocynaceae,Echites,Echites darienensis,1
